#frame chA chB nCorr nA nB MNR GNR DICE
16 0 1 0 116 368 0 0 0
17 0 1 0 132 376 0 0 0
18 0 1 0 122 364 0 0 0
19 0 1 0 114 371 0 0 0
20 0 1 2 106 366 0.0188679 0.010154 0.00847458
21 0 1 5 101 339 0.049505 0.0270215 0.0227273
22 0 1 9 169 487 0.0532544 0.0313715 0.027439
23 0 1 13 175 478 0.0742857 0.044948 0.0398162
24 0 1 13 162 433 0.0802469 0.0490842 0.0436975
25 0 1 15 166 449 0.0903614 0.0549432 0.0487805
26 0 1 14 153 460 0.0915033 0.052772 0.045677
27 0 1 15 152 447 0.0986842 0.0575461 0.0500835
28 0 1 29 146 428 0.19863 0.116011 0.101045
29 0 1 24 149 426 0.161074 0.0952606 0.0834783
30 0 1 25 134 402 0.186567 0.107715 0.0932836
31 0 1 13 130 351 0.1 0.0608581 0.0540541
32 0 1 12 108 335 0.111111 0.063088 0.0541761
33 0 1 4 167 394 0.0239521 0.0155939 0.0142602
34 0 1 10 169 447 0.0591716 0.0363834 0.0324675
35 0 1 9 179 479 0.0502793 0.0307361 0.0273556
36 0 1 15 175 476 0.0857143 0.0519719 0.046083
37 0 1 16 182 455 0.0879121 0.0556005 0.0502355
38 0 1 14 178 476 0.0786517 0.0480966 0.0428135
39 0 1 20 178 480 0.11236 0.0684226 0.0607903
40 0 1 18 185 491 0.0972973 0.0597236 0.0532544
41 0 1 18 166 518 0.108434 0.0613838 0.0526316
42 0 1 22 186 520 0.11828 0.0707399 0.0623229
43 0 1 24 182 519 0.131868 0.0780894 0.0684736
44 0 1 20 181 522 0.110497 0.0650662 0.056899
45 0 1 28 184 551 0.152174 0.0879373 0.0761905
46 0 1 36 206 545 0.174757 0.107441 0.0958722
47 0 1 36 214 551 0.168224 0.104838 0.0941176
48 0 1 38 212 571 0.179245 0.109219 0.0970626
49 0 1 50 217 573 0.230415 0.141796 0.126582
50 0 1 41 184 556 0.222826 0.128185 0.110811
51 0 1 39 191 546 0.204188 0.120768 0.105834
52 0 1 53 191 545 0.277487 0.164271 0.144022
53 0 1 33 194 536 0.170103 0.102337 0.090411
54 0 1 34 193 540 0.176166 0.105318 0.0927694
55 0 1 46 192 497 0.239583 0.148912 0.133527
56 0 1 48 192 508 0.25 0.153695 0.137143
57 0 1 54 189 491 0.285714 0.177265 0.158824
58 0 1 45 186 464 0.241935 0.153178 0.138462
59 0 1 55 189 496 0.291005 0.179635 0.160584
60 0 1 47 191 483 0.246073 0.154742 0.139466
61 0 1 46 187 463 0.245989 0.156332 0.141538
62 0 1 56 193 479 0.290155 0.18418 0.166667
63 0 1 57 184 456 0.309783 0.196781 0.178125
64 0 1 60 180 425 0.333333 0.21693 0.198347
65 0 1 47 182 400 0.258242 0.174194 0.161512
66 0 1 58 192 405 0.302083 0.207994 0.194305
67 0 1 62 186 390 0.333333 0.230199 0.215278
68 0 1 62 185 391 0.335135 0.230525 0.215278
69 0 1 38 177 382 0.214689 0.146139 0.135957
70 0 1 57 174 390 0.327586 0.21881 0.202128
71 0 1 33 155 374 0.212903 0.13706 0.124764
72 0 1 39 137 328 0.284672 0.183979 0.167742
73 0 1 26 137 293 0.189781 0.129771 0.12093
74 0 1 18 190 400 0.0947368 0.0652929 0.061017
75 0 1 11 184 359 0.0597826 0.0427993 0.0405157
76 0 1 17 153 340 0.111111 0.0745356 0.0689655
77 0 1 15 157 320 0.0955414 0.0669216 0.0628931
78 0 1 8 138 297 0.057971 0.0395159 0.0367816
79 0 1 24 145 322 0.165517 0.111071 0.102784
80 0 1 25 144 320 0.173611 0.116462 0.107759
81 0 1 13 135 302 0.0962963 0.0643833 0.0594966
82 0 1 28 162 344 0.17284 0.11861 0.110672
83 0 1 23 154 345 0.149351 0.0997833 0.0921844
84 0 1 25 160 352 0.15625 0.105344 0.0976562
85 0 1 36 168 376 0.214286 0.143237 0.132353
86 0 1 39 166 374 0.23494 0.156522 0.144444
87 0 1 18 165 407 0.109091 0.0694598 0.0629371
88 0 1 38 206 451 0.184466 0.12467 0.115677
89 0 1 35 177 364 0.19774 0.137889 0.12939
90 0 1 22 199 400 0.110553 0.0779769 0.0734558
91 0 1 61 229 523 0.266376 0.176263 0.162234
92 0 1 27 228 494 0.118421 0.0804513 0.0747922
93 0 1 26 209 471 0.124402 0.0828686 0.0764706
94 0 1 25 234 499 0.106838 0.0731614 0.0682128
95 0 1 47 268 623 0.175373 0.115023 0.105499
96 0 1 50 277 616 0.180505 0.121043 0.111982
97 0 1 65 289 618 0.224913 0.153805 0.14333
98 0 1 57 284 616 0.200704 0.136278 0.126667
99 0 1 66 278 610 0.23741 0.160272 0.148649
100 0 1 65 271 611 0.239852 0.159738 0.147392
101 0 1 59 268 598 0.220149 0.147378 0.136259
102 0 1 60 310 689 0.193548 0.129826 0.12012
103 0 1 62 306 684 0.202614 0.13552 0.125253
104 0 1 83 307 666 0.270358 0.183557 0.170606
105 0 1 82 293 644 0.279863 0.188772 0.175027
106 0 1 65 287 596 0.226481 0.157163 0.147225
107 0 1 65 287 600 0.226481 0.156638 0.146561
108 0 1 56 263 550 0.212928 0.147241 0.137761
109 0 1 64 285 648 0.224561 0.148926 0.137192
110 0 1 66 266 621 0.24812 0.162389 0.148816
111 0 1 48 255 606 0.188235 0.122105 0.111498
112 0 1 71 250 601 0.284 0.183169 0.166863
113 0 1 47 252 572 0.186508 0.123794 0.114078
114 0 1 53 235 562 0.225532 0.145839 0.132999
115 0 1 49 231 550 0.212121 0.13747 0.12548
116 0 1 43 237 623 0.181435 0.111905 0.1
117 0 1 47 246 610 0.191057 0.121329 0.109813
118 0 1 41 229 567 0.179039 0.113782 0.103015
119 0 1 29 218 534 0.133028 0.0849961 0.0771277
120 0 1 45 228 535 0.197368 0.128845 0.117955
121 0 1 27 201 513 0.134328 0.0840828 0.0756303
122 0 1 39 228 592 0.171053 0.106154 0.0951219
123 0 1 38 222 574 0.171171 0.106451 0.0954774
124 0 1 46 218 571 0.211009 0.13038 0.116603
125 0 1 37 196 457 0.188776 0.123628 0.113323
126 0 1 29 220 494 0.131818 0.0879677 0.0812325
127 0 1 33 225 553 0.146667 0.0935535 0.0848329
128 0 1 28 222 557 0.126126 0.0796258 0.071887
129 0 1 31 221 573 0.140271 0.0871141 0.0780856
130 0 1 25 232 593 0.107759 0.0674014 0.0606061
131 0 1 42 255 618 0.164706 0.1058 0.0962199
132 0 1 34 240 620 0.141667 0.0881409 0.0790698
133 0 1 39 254 630 0.153543 0.0974939 0.0882353
134 0 1 45 267 661 0.168539 0.107116 0.0969828
135 0 1 45 248 631 0.181452 0.113755 0.102389
136 0 1 45 282 674 0.159574 0.103219 0.0941423
137 0 1 32 284 709 0.112676 0.0713128 0.0644512
138 0 1 62 306 724 0.202614 0.131723 0.120388
139 0 1 64 290 720 0.22069 0.14006 0.126733
140 0 1 43 287 725 0.149826 0.0942667 0.0849802
141 0 1 57 299 694 0.190635 0.125129 0.114804
142 0 1 75 303 712 0.247525 0.161473 0.147783
143 0 1 75 312 709 0.240385 0.159463 0.146915
144 0 1 69 313 678 0.220447 0.149783 0.139253
145 0 1 98 338 708 0.289941 0.200332 0.18738
146 0 1 98 332 703 0.295181 0.202852 0.189372
147 0 1 75 332 674 0.225904 0.158549 0.149105
148 0 1 98 311 671 0.315113 0.214528 0.199593
149 0 1 83 318 641 0.261006 0.183838 0.173097
150 0 1 118 345 725 0.342029 0.235941 0.220561
151 0 1 75 325 714 0.230769 0.155693 0.14437
152 0 1 94 335 724 0.280597 0.190869 0.177526
153 0 1 84 320 668 0.2625 0.181684 0.17004
154 0 1 58 305 597 0.190164 0.135922 0.128603
155 0 1 61 307 594 0.198697 0.142846 0.135405
156 0 1 91 318 647 0.286164 0.200621 0.188601
157 0 1 78 323 649 0.241486 0.170361 0.160494
158 0 1 96 312 606 0.307692 0.220779 0.20915
159 0 1 79 300 607 0.263333 0.185128 0.174201
160 0 1 88 307 602 0.286645 0.204699 0.193619
161 0 1 79 316 638 0.25 0.175943 0.165618
162 0 1 75 312 627 0.240385 0.16957 0.159744
163 0 1 81 310 622 0.26129 0.184463 0.17382
164 0 1 100 295 613 0.338983 0.235157 0.220264
165 0 1 101 296 601 0.341216 0.239463 0.225195
166 0 1 108 311 611 0.347267 0.247755 0.234273
167 0 1 84 327 628 0.256881 0.185364 0.175916
168 0 1 79 302 648 0.261589 0.178581 0.166316
169 0 1 95 322 654 0.295031 0.207017 0.194672
170 0 1 127 321 668 0.395639 0.27426 0.256825
171 0 1 84 310 646 0.270968 0.187708 0.175732
172 0 1 93 299 616 0.311037 0.216699 0.203279
173 0 1 75 285 601 0.263158 0.181218 0.1693
174 0 1 82 277 580 0.296029 0.204578 0.191365
175 0 1 63 270 589 0.233333 0.15798 0.146682
176 0 1 32 222 454 0.144144 0.100797 0.0946746
177 0 1 29 235 502 0.123404 0.084433 0.0786974
178 0 1 48 236 519 0.20339 0.137152 0.127152
179 0 1 50 218 476 0.229358 0.155217 0.144092
180 0 1 81 243 462 0.333333 0.241747 0.229787
181 0 1 45 206 482 0.218447 0.142809 0.130814
182 0 1 30 219 467 0.136986 0.0938082 0.0874636
183 0 1 60 213 504 0.28169 0.183124 0.167364
184 0 1 35 210 455 0.166667 0.113228 0.105263
185 0 1 37 196 494 0.188776 0.118908 0.107246
186 0 1 41 209 494 0.196172 0.127599 0.116643
187 0 1 40 201 487 0.199005 0.127849 0.116279
188 0 1 34 173 446 0.196532 0.122402 0.109855
189 0 1 33 200 470 0.165 0.107634 0.0985075
190 0 1 15 146 284 0.10274 0.0736641 0.0697674
191 0 1 9 167 301 0.0538922 0.0401422 0.0384615
192 0 1 20 167 330 0.11976 0.0851951 0.0804829
193 0 1 25 158 308 0.158228 0.113328 0.107296
194 0 1 26 172 375 0.151163 0.102375 0.095064
195 0 1 21 150 275 0.14 0.103397 0.0988235
196 0 1 26 152 324 0.171053 0.11716 0.109244
197 0 1 33 167 366 0.197605 0.13348 0.123827
198 0 1 42 154 381 0.272727 0.173391 0.157009
199 0 1 42 153 361 0.27451 0.17871 0.163424
200 0 1 28 138 363 0.202899 0.125102 0.111776
201 0 1 42 128 359 0.328125 0.195928 0.172485
202 0 1 34 138 375 0.246377 0.14946 0.132554
203 0 1 50 154 402 0.324675 0.200954 0.179856
204 0 1 43 161 425 0.267081 0.164385 0.146758
205 0 1 59 160 435 0.36875 0.223639 0.198319
206 0 1 47 163 441 0.288344 0.175301 0.155629
207 0 1 70 178 420 0.393258 0.256014 0.234114
208 0 1 80 193 449 0.414508 0.271762 0.249221
209 0 1 45 168 350 0.267857 0.185577 0.173745
210 0 1 44 174 338 0.252874 0.181434 0.171875
211 0 1 35 166 292 0.210843 0.158973 0.152838
212 0 1 30 187 395 0.160428 0.110383 0.103093
213 0 1 43 175 320 0.245714 0.181708 0.173737
214 0 1 26 197 308 0.13198 0.105552 0.10297
215 0 1 38 182 318 0.208791 0.157955 0.152
216 0 1 34 239 375 0.142259 0.11357 0.110749
217 0 1 29 224 403 0.129464 0.0965209 0.092504
218 0 1 40 230 486 0.173913 0.11964 0.111732
219 0 1 49 240 525 0.204167 0.138042 0.128105
220 0 1 58 267 594 0.217228 0.145639 0.134727
221 0 1 89 277 642 0.3213 0.211049 0.193689
222 0 1 84 297 671 0.282828 0.188165 0.173554
223 0 1 93 313 670 0.297125 0.203083 0.189217
224 0 1 92 303 644 0.30363 0.208268 0.194298
225 0 1 72 277 568 0.259928 0.181517 0.170414
226 0 1 63 273 600 0.230769 0.155662 0.14433
227 0 1 47 303 682 0.155116 0.103391 0.0954315
228 0 1 82 326 719 0.251534 0.169372 0.156938
229 0 1 84 321 681 0.261682 0.179661 0.167665
230 0 1 76 329 709 0.231003 0.157359 0.146435
231 0 1 52 295 615 0.176271 0.122083 0.114286
232 0 1 69 277 623 0.249097 0.166098 0.153333
233 0 1 62 303 660 0.20462 0.138643 0.128764
234 0 1 68 285 634 0.238596 0.159971 0.147987
235 0 1 63 288 615 0.21875 0.149695 0.139535
236 0 1 82 276 601 0.297101 0.201336 0.187001
237 0 1 65 283 621 0.229682 0.155051 0.143805
238 0 1 62 288 620 0.215278 0.146723 0.136564
239 0 1 46 267 593 0.172285 0.115605 0.106977
240 0 1 51 295 618 0.172881 0.119444 0.11172
241 0 1 36 278 594 0.129496 0.0885904 0.0825688
242 0 1 52 271 597 0.191882 0.12928 0.119816
243 0 1 36 263 591 0.136882 0.0913126 0.0843091
244 0 1 28 233 558 0.120172 0.0776538 0.0707965
245 0 1 27 267 573 0.101124 0.0690289 0.0642857
246 0 1 22 241 550 0.0912863 0.0604272 0.0556258
247 0 1 27 252 558 0.107143 0.0720023 0.0666667
248 0 1 20 247 539 0.0809717 0.0548134 0.0508906
249 0 1 27 235 541 0.114894 0.0757236 0.0695876
250 0 1 28 255 558 0.109804 0.0742285 0.0688807
251 0 1 34 262 560 0.129771 0.0887635 0.0827251
252 0 1 29 234 480 0.123932 0.0865306 0.0812325
253 0 1 31 232 505 0.133621 0.0905674 0.0841248
254 0 1 35 239 480 0.146444 0.103335 0.0973574
255 0 1 28 228 470 0.122807 0.0855346 0.0802292
256 0 1 25 242 484 0.103306 0.0730482 0.0688705
257 0 1 25 248 509 0.100806 0.0703648 0.0660502
258 0 1 24 254 489 0.0944882 0.0680989 0.064603
259 0 1 41 250 490 0.164 0.117143 0.110811
260 0 1 51 241 485 0.211618 0.149173 0.140496
261 0 1 44 231 474 0.190476 0.132971 0.124823
262 0 1 51 242 496 0.210744 0.147205 0.138211
263 0 1 56 238 526 0.235294 0.158273 0.146597
264 0 1 35 250 477 0.14 0.101354 0.0962861
265 0 1 34 250 494 0.136 0.0967488 0.0913979
266 0 1 25 244 499 0.102459 0.0716465 0.0672948
267 0 1 56 258 494 0.217054 0.156861 0.148936
268 0 1 41 264 495 0.155303 0.113417 0.108037
269 0 1 53 251 500 0.211155 0.149608 0.141145
270 0 1 32 217 438 0.147465 0.103797 0.0977099
271 0 1 42 269 521 0.156134 0.11219 0.106329
272 0 1 55 282 558 0.195035 0.13865 0.130952
273 0 1 21 269 505 0.0780669 0.0569767 0.0542636
274 0 1 54 285 557 0.189474 0.135533 0.128266
275 0 1 54 291 578 0.185567 0.131669 0.124281
276 0 1 57 309 583 0.184466 0.134295 0.127803
277 0 1 80 314 649 0.254777 0.177216 0.166147
278 0 1 53 295 582 0.179661 0.12791 0.120867
279 0 1 11 198 304 0.0555556 0.0448356 0.0438247
280 0 1 27 252 456 0.107143 0.0796491 0.0762712
281 0 1 16 244 408 0.0655738 0.0507102 0.0490798
282 0 1 31 275 406 0.112727 0.0927753 0.0910426
283 0 1 61 305 597 0.2 0.142953 0.135255
284 0 1 23 232 452 0.0991379 0.0710256 0.0672515
285 0 1 17 249 432 0.0682731 0.0518331 0.0499266
286 0 1 28 270 445 0.103704 0.0807786 0.0783217
287 0 1 4 180 197 0.0222222 0.0212418 0.0212202
288 0 1 12 170 225 0.0705882 0.0613572 0.0607595
289 0 1 25 218 325 0.114679 0.0939226 0.092081
290 0 1 41 247 383 0.165992 0.133302 0.130159
291 0 1 82 299 643 0.274247 0.187013 0.174098
292 0 1 78 294 623 0.265306 0.182254 0.17012
293 0 1 86 283 652 0.303887 0.200208 0.183957
294 0 1 44 268 513 0.164179 0.118666 0.112676
295 0 1 35 241 448 0.145228 0.106517 0.101597
296 0 1 24 221 341 0.108597 0.0874255 0.0854093
297 0 1 24 181 273 0.132597 0.107967 0.105727
298 0 1 59 252 451 0.234127 0.17501 0.167852
299 0 1 18 193 301 0.0932643 0.0746811 0.0728745
300 0 1 24 200 322 0.12 0.0945733 0.091954
301 0 1 16 197 307 0.0812183 0.0650605 0.0634921
302 0 1 27 221 350 0.122172 0.0970809 0.0945709
303 0 1 32 239 410 0.133891 0.102225 0.0986133
304 0 1 73 211 399 0.345972 0.251591 0.239344
305 0 1 66 211 473 0.312796 0.208916 0.192982
306 0 1 71 197 454 0.360406 0.237409 0.218126
307 0 1 73 202 456 0.361386 0.240527 0.221885
308 0 1 59 186 442 0.317204 0.205771 0.187898
309 0 1 61 175 426 0.348571 0.223412 0.202995
310 0 1 56 186 440 0.301075 0.195752 0.178914
311 0 1 74 177 406 0.418079 0.276046 0.253859
312 0 1 58 176 423 0.329545 0.21257 0.193656
313 0 1 54 175 394 0.308571 0.205649 0.189807
314 0 1 43 176 375 0.244318 0.167377 0.15608
315 0 1 46 202 436 0.227723 0.155003 0.144201
316 0 1 54 186 423 0.290323 0.192516 0.17734
317 0 1 46 172 384 0.267442 0.17899 0.165468
318 0 1 50 199 461 0.251256 0.165079 0.151515
319 0 1 46 190 447 0.242105 0.157844 0.144427
320 0 1 62 194 446 0.319588 0.210777 0.19375
321 0 1 58 189 458 0.306878 0.197135 0.179289
322 0 1 40 211 440 0.189573 0.131278 0.122888
323 0 1 70 208 446 0.336538 0.229826 0.214067
324 0 1 74 204 494 0.362745 0.233106 0.212034
325 0 1 61 209 507 0.291866 0.187393 0.170391
326 0 1 58 212 494 0.273585 0.179224 0.164306
327 0 1 43 208 422 0.206731 0.145138 0.136508
328 0 1 74 265 527 0.279245 0.198017 0.186869
329 0 1 76 262 553 0.290076 0.199664 0.186503
330 0 1 61 259 497 0.235521 0.170021 0.161376
331 0 1 40 243 432 0.164609 0.123457 0.118519
332 0 1 60 254 425 0.23622 0.182616 0.17673
333 0 1 52 236 419 0.220339 0.165364 0.158779
334 0 1 33 193 278 0.170984 0.142467 0.140127
335 0 1 27 223 326 0.121076 0.100139 0.0983607
336 0 1 40 238 362 0.168067 0.136275 0.133333
337 0 1 34 238 376 0.142857 0.113657 0.110749
338 0 1 30 232 391 0.12931 0.0996068 0.0963082
339 0 1 36 246 457 0.146341 0.107368 0.102418
340 0 1 32 257 506 0.124514 0.0887377 0.0838794
341 0 1 40 282 508 0.141844 0.105683 0.101266
342 0 1 43 291 600 0.147766 0.102907 0.0965208
