#frame chA chB nCorr nA nB MNR GNR DICE
23 0 1 0 228 98 0 0 0
24 0 1 0 234 103 0 0 0
25 0 1 0 239 110 0 0 0
26 0 1 0 246 110 0 0 0
27 0 1 1 227 98 0.0102041 0.00670462 0.00615385
28 0 1 1 231 100 0.01 0.00657952 0.0060423
29 0 1 2 231 96 0.0208333 0.0134304 0.0122324
30 0 1 1 231 95 0.0105263 0.00675044 0.00613497
31 0 1 3 216 86 0.0348837 0.0220113 0.0198676
32 0 1 0 280 121 0 0 0
33 0 1 0 194 117 0 0 0
34 0 1 0 284 133 0 0 0
35 0 1 3 264 134 0.0223881 0.0159502 0.0150754
36 0 1 0 320 156 0 0 0
37 0 1 3 327 151 0.0198676 0.0135008 0.0125523
38 0 1 2 332 154 0.012987 0.00884506 0.00823045
39 0 1 2 336 159 0.0125786 0.0086529 0.00808081
40 0 1 5 354 165 0.030303 0.0206884 0.0192678
41 0 1 4 313 155 0.0258065 0.0181603 0.017094
42 0 1 4 432 204 0.0196078 0.0134742 0.0125786
43 0 1 4 417 198 0.020202 0.0139206 0.0130081
44 0 1 2 408 207 0.00966184 0.006882 0.00650406
45 0 1 8 439 203 0.0394089 0.0267985 0.0249221
46 0 1 7 408 197 0.035533 0.0246908 0.0231405
47 0 1 4 417 185 0.0216216 0.0144014 0.013289
48 0 1 7 396 177 0.039548 0.0264401 0.0244328
49 0 1 7 413 175 0.04 0.0260378 0.0238095
50 0 1 4 346 153 0.0261438 0.0173851 0.0160321
51 0 1 10 383 169 0.0591716 0.0393059 0.0362319
52 0 1 5 380 174 0.0287356 0.0194448 0.0180505
53 0 1 11 431 202 0.0544554 0.0372802 0.0347551
54 0 1 6 417 191 0.0314136 0.0212602 0.0197368
55 0 1 4 345 162 0.0246914 0.0169197 0.0157791
56 0 1 6 371 174 0.0344828 0.0236151 0.0220183
57 0 1 9 378 203 0.044335 0.0324899 0.0309811
58 0 1 2 343 184 0.0108696 0.00796112 0.00759013
59 0 1 5 413 206 0.0242718 0.017142 0.0161551
60 0 1 7 385 186 0.0376344 0.0261584 0.0245184
61 0 1 3 402 206 0.0145631 0.010425 0.00986842
62 0 1 4 402 208 0.0192308 0.013833 0.0131148
63 0 1 6 366 202 0.029703 0.0220666 0.0211268
64 0 1 5 383 181 0.0276243 0.0189903 0.0177305
65 0 1 3 326 169 0.0177515 0.0127811 0.0121212
66 0 1 2 336 169 0.0118343 0.008393 0.00792079
67 0 1 2 303 155 0.0129032 0.00922875 0.00873362
68 0 1 2 318 154 0.012987 0.00903766 0.00847458
69 0 1 5 274 149 0.033557 0.0247458 0.0236407
70 0 1 4 285 160 0.025 0.0187317 0.0179775
71 0 1 3 291 174 0.0172414 0.0133321 0.0129032
72 0 1 4 203 149 0.0268456 0.0229995 0.0227273
73 0 1 0 121 92 0 0 0
74 0 1 1 132 82 0.0121951 0.00961183 0.00934579
75 0 1 0 97 71 0 0 0
76 0 1 0 88 70 0 0 0
77 0 1 0 101 85 0 0 0
78 0 1 0 76 78 0 0 0
79 0 1 0 81 82 0 0 0
80 0 1 1 87 82 0.0121951 0.0118395 0.0118343
81 0 1 2 94 72 0.0277778 0.0243108 0.0240964
82 0 1 0 100 77 0 0 0
83 0 1 1 124 85 0.0117647 0.00974046 0.00956938
84 0 1 0 113 83 0 0 0
85 0 1 2 149 105 0.0190476 0.0159898 0.015748
86 0 1 1 125 109 0.00917431 0.00856706 0.00854701
87 0 1 2 140 115 0.0173913 0.0157622 0.0156863
88 0 1 3 155 120 0.025 0.0219971 0.0218182
89 0 1 1 97 97 0.0103093 0.0103093 0.0103093
90 0 1 1 118 92 0.0108696 0.00959765 0.00952381
91 0 1 2 193 143 0.013986 0.0120388 0.0119048
92 0 1 1 187 142 0.00704225 0.0061367 0.00607903
93 0 1 1 174 123 0.00813008 0.00683554 0.00673401
94 0 1 0 193 140 0 0 0
95 0 1 3 275 173 0.017341 0.0137541 0.0133929
96 0 1 2 307 182 0.010989 0.00846107 0.00817996
97 0 1 2 308 192 0.0104167 0.0082244 0.008
98 0 1 9 374 224 0.0401786 0.0310944 0.0301003
99 0 1 11 404 214 0.0514019 0.0374106 0.0355987
100 0 1 6 439 229 0.0262009 0.0189235 0.0179641
101 0 1 12 509 250 0.048 0.0336397 0.0316206
102 0 1 8 550 255 0.0313726 0.0213618 0.0198758
103 0 1 9 543 242 0.0371901 0.0248276 0.0229299
104 0 1 11 533 222 0.0495495 0.0319781 0.0291391
105 0 1 12 562 245 0.0489796 0.0323393 0.0297398
106 0 1 11 516 222 0.0495495 0.0325006 0.0298103
107 0 1 9 539 226 0.039823 0.0257866 0.0235294
108 0 1 5 476 235 0.0212766 0.0149497 0.0140647
109 0 1 6 553 246 0.0243902 0.0162675 0.0150188
110 0 1 10 489 230 0.0434783 0.0298182 0.0278164
111 0 1 6 512 234 0.025641 0.0173344 0.0160858
112 0 1 10 506 227 0.0440529 0.0295061 0.0272851
113 0 1 9 537 233 0.0386266 0.0254435 0.0233766
114 0 1 7 519 246 0.0284553 0.0195906 0.0183007
115 0 1 7 497 248 0.0282258 0.0199386 0.0187919
116 0 1 6 504 256 0.0234375 0.0167038 0.0157895
117 0 1 14 481 244 0.057377 0.0408659 0.0386207
118 0 1 12 464 239 0.0502092 0.0360349 0.0341394
119 0 1 9 410 256 0.0351562 0.0277799 0.027027
120 0 1 11 476 245 0.044898 0.0322111 0.0305132
121 0 1 10 416 234 0.042735 0.0320513 0.0307692
122 0 1 8 426 240 0.0333333 0.0250196 0.024024
123 0 1 9 456 218 0.0412844 0.0285451 0.0267062
124 0 1 9 443 225 0.04 0.0285069 0.0269461
125 0 1 6 371 190 0.0315789 0.0225989 0.0213904
126 0 1 5 361 189 0.026455 0.0191419 0.0181818
127 0 1 5 434 206 0.0242718 0.0167221 0.015625
128 0 1 6 401 203 0.0295567 0.0210296 0.0198676
129 0 1 8 463 201 0.039801 0.0262242 0.0240964
130 0 1 5 448 227 0.0220264 0.015679 0.0148148
131 0 1 9 497 244 0.0368852 0.0258446 0.0242915
132 0 1 9 485 232 0.0387931 0.0268304 0.0251046
133 0 1 11 513 243 0.0452675 0.0311552 0.0291005
134 0 1 14 518 264 0.0530303 0.0378583 0.0358056
135 0 1 11 477 243 0.0452675 0.0323095 0.0305556
136 0 1 8 490 231 0.034632 0.0237786 0.0221914
137 0 1 13 481 240 0.0541667 0.0382618 0.036061
138 0 1 10 559 249 0.0401606 0.0268037 0.0247525
139 0 1 10 532 251 0.0398406 0.0273657 0.0255428
140 0 1 16 547 246 0.0650406 0.0436173 0.0403531
141 0 1 16 567 245 0.0653061 0.0429285 0.0394089
142 0 1 16 564 257 0.0622568 0.0420256 0.0389769
143 0 1 17 581 250 0.068 0.0446058 0.0409146
144 0 1 14 543 228 0.0614035 0.0397888 0.0363165
145 0 1 13 610 253 0.0513834 0.0330916 0.0301275
146 0 1 18 612 246 0.0731707 0.0463905 0.041958
147 0 1 9 601 227 0.0396476 0.0243665 0.0217391
148 0 1 14 629 243 0.0576132 0.0358096 0.0321101
149 0 1 14 547 232 0.0603448 0.0392998 0.0359435
150 0 1 6 511 230 0.026087 0.0175016 0.0161943
151 0 1 7 415 210 0.0333333 0.0237118 0.0224
152 0 1 8 464 220 0.0363636 0.0250392 0.0233918
153 0 1 5 372 211 0.0236967 0.0178467 0.0171527
154 0 1 3 346 175 0.0171429 0.0121917 0.0115163
155 0 1 3 302 155 0.0193548 0.013866 0.0131291
156 0 1 6 372 184 0.0326087 0.0229335 0.0215827
157 0 1 3 349 177 0.0169492 0.0120704 0.0114068
158 0 1 5 336 182 0.0274725 0.0202192 0.019305
159 0 1 7 311 176 0.0397727 0.02992 0.0287474
160 0 1 8 308 175 0.0457143 0.0344584 0.0331263
161 0 1 5 311 175 0.0285714 0.0214324 0.0205761
162 0 1 7 314 173 0.0404624 0.0300338 0.0287474
163 0 1 7 296 168 0.0416667 0.0313905 0.0301724
164 0 1 6 307 180 0.0333333 0.0255238 0.0246407
165 0 1 9 299 158 0.056962 0.0414074 0.0393873
166 0 1 6 336 178 0.0337079 0.0245342 0.0233463
167 0 1 12 324 180 0.0666667 0.0496904 0.047619
168 0 1 7 325 182 0.0384615 0.028782 0.0276134
169 0 1 12 324 175 0.0685714 0.0503953 0.0480962
170 0 1 7 339 179 0.0391061 0.0284166 0.027027
171 0 1 9 331 172 0.0523256 0.0377194 0.0357853
172 0 1 7 344 188 0.037234 0.0275258 0.0263158
173 0 1 7 295 180 0.0388889 0.0303774 0.0294737
174 0 1 5 288 171 0.0292398 0.0225308 0.0217865
175 0 1 0 201 162 0 0 0
176 0 1 0 124 122 0 0 0
177 0 1 1 141 125 0.008 0.00753244 0.0075188
178 0 1 1 234 147 0.00680272 0.0053918 0.00524934
179 0 1 1 205 128 0.0078125 0.00617331 0.00600601
180 0 1 2 160 107 0.0186916 0.0152854 0.0149813
181 0 1 3 210 114 0.0263158 0.0193892 0.0185185
182 0 1 0 205 110 0 0 0
183 0 1 2 191 116 0.0172414 0.0134364 0.0130293
184 0 1 5 169 102 0.0490196 0.0380826 0.0369004
185 0 1 3 191 118 0.0254237 0.0199831 0.0194175
186 0 1 3 205 127 0.023622 0.0185927 0.0180723
187 0 1 3 173 120 0.025 0.0208213 0.0204778
188 0 1 5 208 140 0.0357143 0.0293005 0.0287356
