#frame chA chB nCorr nA nB MNR GNR DICE
22 0 1 0 272 304 0 0 0
23 0 1 0 262 372 0 0 0
24 0 1 0 257 370 0 0 0
25 0 1 0 236 350 0 0 0
26 0 1 0 259 369 0 0 0
27 0 1 2 267 392 0.00749064 0.00618203 0.0060698
28 0 1 3 278 398 0.0107914 0.00901898 0.00887574
29 0 1 6 264 404 0.0227273 0.0183721 0.0179641
30 0 1 8 275 406 0.0290909 0.023942 0.0234949
31 0 1 10 276 396 0.0362319 0.0302481 0.0297619
32 0 1 9 269 390 0.0334572 0.0277865 0.0273141
33 0 1 13 282 391 0.0460993 0.0391499 0.038633
34 0 1 12 269 395 0.0446097 0.0368135 0.0361446
35 0 1 13 275 397 0.0472727 0.0393443 0.0386905
36 0 1 12 261 393 0.045977 0.0374684 0.0366972
37 0 1 8 266 400 0.0300752 0.0245256 0.024024
38 0 1 12 263 395 0.0456274 0.037231 0.0364742
39 0 1 14 262 413 0.0534351 0.0425601 0.0414815
40 0 1 21 272 395 0.0772059 0.0640673 0.0629685
41 0 1 11 270 392 0.0407407 0.0338118 0.0332326
42 0 1 15 266 387 0.056391 0.0467514 0.0459418
43 0 1 16 260 375 0.0615385 0.051241 0.0503937
44 0 1 10 252 376 0.0396825 0.0324867 0.0318471
45 0 1 12 259 372 0.046332 0.0386598 0.0380349
46 0 1 16 270 366 0.0592593 0.0508976 0.0503145
47 0 1 12 253 360 0.0474308 0.0397621 0.0391517
48 0 1 10 250 359 0.04 0.0333797 0.0328407
49 0 1 16 248 365 0.0645161 0.0531799 0.0522023
50 0 1 17 244 340 0.0696721 0.0590221 0.0582192
51 0 1 13 237 345 0.0548523 0.0454632 0.0446735
52 0 1 13 246 345 0.0528455 0.0446238 0.0439932
53 0 1 8 244 329 0.0327869 0.0282356 0.0279232
54 0 1 11 243 345 0.0452675 0.0379909 0.037415
55 0 1 16 242 333 0.0661157 0.0563625 0.0556522
56 0 1 16 240 330 0.0666667 0.0568535 0.0561404
57 0 1 11 226 309 0.0486726 0.0416255 0.0411215
58 0 1 9 232 311 0.0387931 0.0335057 0.0331492
59 0 1 9 221 302 0.040724 0.0348372 0.0344168
60 0 1 12 262 419 0.0458015 0.0362179 0.0352423
61 0 1 10 259 428 0.03861 0.030035 0.0291121
62 0 1 7 249 440 0.0281125 0.0211481 0.0203193
63 0 1 6 258 443 0.0232558 0.0177476 0.0171184
64 0 1 13 250 441 0.052 0.039152 0.0376266
65 0 1 15 256 436 0.0585938 0.0448981 0.0433526
66 0 1 11 256 443 0.0429688 0.0326641 0.0314735
67 0 1 14 255 431 0.054902 0.0422298 0.0408163
68 0 1 14 258 429 0.0542636 0.0420813 0.0407569
69 0 1 12 244 414 0.0491803 0.037756 0.0364742
70 0 1 11 258 406 0.0426357 0.0339875 0.0331325
71 0 1 8 238 391 0.0336134 0.0262249 0.0254372
72 0 1 14 247 382 0.0566802 0.0455772 0.0445151
73 0 1 12 245 400 0.0489796 0.0383326 0.0372093
74 0 1 13 244 389 0.0532787 0.0421962 0.0410742
75 0 1 8 241 390 0.033195 0.0260945 0.0253566
76 0 1 11 242 391 0.0454545 0.0357599 0.0347551
77 0 1 11 234 374 0.0470085 0.0371834 0.0361842
78 0 1 7 229 370 0.0305677 0.024048 0.0233723
79 0 1 13 244 375 0.0532787 0.0429767 0.0420032
80 0 1 11 233 360 0.0472103 0.0379807 0.0370995
81 0 1 12 233 377 0.0515021 0.0404886 0.0393443
82 0 1 16 233 387 0.0686695 0.0532827 0.0516129
83 0 1 12 236 373 0.0508475 0.0404456 0.0394089
84 0 1 13 233 352 0.055794 0.0453935 0.0444444
85 0 1 12 236 342 0.0508475 0.0422389 0.0415225
86 0 1 8 222 340 0.036036 0.0291188 0.0284698
87 0 1 10 222 336 0.045045 0.0366146 0.0358423
88 0 1 14 221 330 0.0633484 0.0518412 0.0508167
89 0 1 8 218 339 0.0366972 0.0294281 0.0287253
90 0 1 10 224 333 0.0446429 0.0366146 0.0359066
91 0 1 16 222 320 0.0720721 0.06003 0.0590406
92 0 1 11 214 314 0.0514019 0.0424347 0.0416667
93 0 1 12 221 317 0.0542986 0.0453373 0.0446097
94 0 1 9 212 309 0.0424528 0.0351638 0.0345489
95 0 1 10 221 295 0.0452489 0.0391645 0.0387597
96 0 1 6 208 298 0.0288462 0.0240997 0.0237154
97 0 1 9 259 386 0.034749 0.0284642 0.027907
98 0 1 12 258 417 0.0465116 0.036585 0.0355556
99 0 1 7 245 415 0.0285714 0.0219529 0.0212121
100 0 1 9 260 419 0.0346154 0.0272677 0.0265096
101 0 1 12 242 412 0.0495868 0.0380036 0.0366972
102 0 1 8 249 414 0.0321285 0.0249167 0.0241327
103 0 1 8 245 419 0.0326531 0.0249689 0.0240964
104 0 1 6 243 397 0.0246914 0.0193176 0.01875
105 0 1 11 237 396 0.0464135 0.0359063 0.0347551
106 0 1 13 240 385 0.0541667 0.0427669 0.0416
107 0 1 8 246 371 0.0325203 0.0264811 0.0259319
108 0 1 12 235 370 0.0510638 0.0406955 0.0396694
109 0 1 8 232 370 0.0344828 0.0273052 0.0265781
110 0 1 11 238 368 0.0462185 0.0371689 0.0363036
111 0 1 16 232 381 0.0689655 0.0538163 0.0522023
112 0 1 14 234 369 0.0598291 0.0476439 0.0464345
113 0 1 11 237 368 0.0464135 0.0372473 0.0363636
114 0 1 8 233 349 0.0343348 0.0280543 0.0274914
115 0 1 12 229 351 0.0524017 0.0423263 0.0413793
116 0 1 10 237 350 0.0421941 0.034721 0.0340715
117 0 1 13 226 344 0.0575221 0.046624 0.045614
118 0 1 10 223 342 0.044843 0.0362105 0.0353982
119 0 1 9 224 341 0.0401786 0.0325643 0.0318584
120 0 1 6 216 338 0.0277778 0.0222058 0.0216607
121 0 1 14 216 334 0.0648148 0.0521228 0.0509091
122 0 1 8 198 328 0.040404 0.0313921 0.0304183
123 0 1 7 216 332 0.0324074 0.0261398 0.0255474
124 0 1 9 208 328 0.0432692 0.0344567 0.0335821
125 0 1 13 209 315 0.062201 0.0506658 0.0496183
126 0 1 12 203 325 0.0591133 0.0467188 0.0454545
127 0 1 13 207 320 0.0628019 0.0505107 0.0493359
128 0 1 17 207 298 0.0821256 0.0684472 0.0673267
129 0 1 14 260 414 0.0538462 0.0426718 0.041543
130 0 1 13 267 425 0.0486891 0.0385916 0.0375723
131 0 1 13 266 435 0.0488722 0.0382171 0.0370899
132 0 1 13 247 427 0.0526316 0.0400296 0.0385757
133 0 1 18 255 434 0.0705882 0.0541075 0.0522496
134 0 1 13 250 441 0.052 0.039152 0.0376266
135 0 1 20 254 419 0.0787402 0.0613064 0.0594354
136 0 1 15 249 409 0.060241 0.0470035 0.0455927
137 0 1 17 257 418 0.0661479 0.0518674 0.0503704
138 0 1 12 234 407 0.0512821 0.0388845 0.0374415
139 0 1 21 244 399 0.0860656 0.0673035 0.0653188
140 0 1 20 234 398 0.0854701 0.0655361 0.0632911
141 0 1 19 234 392 0.0811966 0.0627339 0.0607029
142 0 1 16 236 404 0.0677966 0.0518171 0.05
143 0 1 21 233 397 0.0901288 0.0690472 0.0666667
144 0 1 18 244 379 0.0737705 0.0591913 0.0577849
145 0 1 12 223 380 0.0538117 0.0412228 0.039801
146 0 1 24 227 385 0.105727 0.0811835 0.0784314
147 0 1 17 233 375 0.0729614 0.0575116 0.0559211
148 0 1 15 235 384 0.0638298 0.0499335 0.0484653
149 0 1 14 226 360 0.0619469 0.049082 0.0477816
150 0 1 11 212 342 0.0518868 0.0408519 0.0397112
151 0 1 16 232 341 0.0689655 0.0568851 0.0558464
152 0 1 17 216 339 0.0787037 0.0628235 0.0612613
153 0 1 15 213 337 0.0704225 0.0559869 0.0545455
154 0 1 16 223 338 0.0717489 0.0582786 0.057041
155 0 1 15 208 323 0.0721154 0.0578706 0.0564972
156 0 1 12 205 309 0.0585366 0.0476788 0.0466926
157 0 1 14 256 375 0.0546875 0.0451848 0.044374
158 0 1 24 261 418 0.091954 0.0726612 0.0706922
159 0 1 18 253 420 0.0711462 0.0552189 0.0534918
160 0 1 8 250 420 0.032 0.0246885 0.0238806
161 0 1 13 262 412 0.0496183 0.039568 0.0385757
162 0 1 13 243 394 0.0534979 0.0420138 0.0408163
163 0 1 12 242 388 0.0495868 0.0391614 0.0380952
164 0 1 9 229 395 0.0393013 0.0299245 0.0288462
165 0 1 14 231 403 0.0606061 0.0458849 0.044164
166 0 1 9 229 386 0.0393013 0.0302713 0.0292683
167 0 1 14 223 382 0.0627803 0.0479672 0.046281
168 0 1 17 231 377 0.0735931 0.0576066 0.0559211
169 0 1 16 235 367 0.0680851 0.054482 0.0531561
170 0 1 10 221 365 0.0452489 0.0352093 0.0341297
171 0 1 13 226 372 0.0575221 0.044835 0.0434783
172 0 1 13 229 370 0.0567686 0.0446606 0.0434057
173 0 1 17 228 369 0.0745614 0.0586095 0.0569514
174 0 1 11 229 378 0.0480349 0.0373877 0.0362438
175 0 1 13 218 370 0.059633 0.0457735 0.0442177
176 0 1 12 224 349 0.0535714 0.0429185 0.0418848
177 0 1 8 212 339 0.0377358 0.0298416 0.0290381
178 0 1 13 217 351 0.0599078 0.0471042 0.0457746
179 0 1 11 220 340 0.05 0.04022 0.0392857
180 0 1 13 214 353 0.0607477 0.0472987 0.0458554
181 0 1 8 267 428 0.0299625 0.0236653 0.0230216
182 0 1 12 276 445 0.0434783 0.034241 0.0332871
183 0 1 16 252 433 0.0634921 0.0484368 0.0467153
184 0 1 10 261 472 0.0383142 0.0284911 0.0272851
185 0 1 8 254 438 0.0314961 0.0239848 0.0231214
186 0 1 12 257 442 0.0466926 0.0356044 0.0343348
187 0 1 9 250 425 0.036 0.0276107 0.0266667
188 0 1 13 262 418 0.0496183 0.039283 0.0382353
189 0 1 6 228 422 0.0263158 0.0193432 0.0184615
190 0 1 11 239 407 0.0460251 0.0352693 0.0340557
191 0 1 10 236 422 0.0423729 0.0316875 0.0303951
192 0 1 19 241 416 0.0788382 0.0600065 0.0578387
193 0 1 10 232 402 0.0431034 0.0327449 0.0315457
194 0 1 12 225 374 0.0533333 0.041367 0.0400668
195 0 1 8 224 377 0.0357143 0.0275293 0.0266223
196 0 1 8 214 369 0.0373832 0.0284688 0.0274443
197 0 1 10 285 449 0.0350877 0.0279547 0.027248
198 0 1 7 297 483 0.023569 0.0184819 0.0179487
199 0 1 8 277 488 0.0288809 0.0217591 0.020915
200 0 1 10 284 493 0.0352113 0.026725 0.02574
201 0 1 8 254 475 0.0314961 0.0230317 0.0219479
202 0 1 10 259 483 0.03861 0.0282733 0.0269542
203 0 1 10 265 461 0.0377358 0.0286106 0.0275482
204 0 1 6 261 471 0.0229885 0.0171128 0.0163934
205 0 1 10 255 460 0.0392157 0.0291979 0.027972
206 0 1 8 264 443 0.030303 0.023393 0.0226308
207 0 1 10 245 448 0.0408163 0.0301841 0.02886
208 0 1 9 255 425 0.0352941 0.0273387 0.0264706
209 0 1 20 246 434 0.0813008 0.0612093 0.0588235
210 0 1 9 239 435 0.0376569 0.0279125 0.0267062
211 0 1 7 239 424 0.0292887 0.0219895 0.0211161
212 0 1 4 227 421 0.0176211 0.0129392 0.0123457
213 0 1 6 226 409 0.0265487 0.0197349 0.0188976
214 0 1 8 227 392 0.0352423 0.0268185 0.0258481
215 0 1 9 219 405 0.0410959 0.0302199 0.0288462
216 0 1 3 225 413 0.0133333 0.00984136 0.00940439
217 0 1 10 222 409 0.045045 0.0331865 0.0316957
218 0 1 3 220 375 0.0136364 0.0104447 0.010084
219 0 1 11 273 479 0.040293 0.0304189 0.0292553
220 0 1 8 264 489 0.030303 0.0222656 0.0212483
221 0 1 9 256 485 0.0351562 0.0255418 0.0242915
222 0 1 6 263 458 0.0228137 0.0172878 0.0166436
223 0 1 11 267 469 0.0411985 0.031085 0.0298913
224 0 1 9 264 470 0.0340909 0.02555 0.0245232
225 0 1 11 274 444 0.040146 0.0315374 0.0306407
226 0 1 10 254 467 0.0393701 0.0290352 0.0277393
227 0 1 11 244 434 0.045082 0.0338028 0.0324484
228 0 1 11 269 436 0.0408922 0.0321198 0.0312057
229 0 1 16 232 445 0.0689655 0.0497962 0.0472674
230 0 1 13 255 450 0.0509804 0.0383766 0.0368794
231 0 1 10 246 427 0.0406504 0.0308545 0.0297177
232 0 1 13 252 435 0.0515873 0.0392644 0.0378457
233 0 1 12 228 403 0.0526316 0.0395878 0.0380349
234 0 1 7 238 409 0.0294118 0.0224361 0.0216383
235 0 1 12 229 409 0.0524017 0.0392105 0.0376176
236 0 1 8 232 400 0.0344828 0.0262613 0.0253165
237 0 1 12 220 392 0.0545455 0.0408627 0.0392157
238 0 1 10 209 378 0.0478469 0.035578 0.0340715
239 0 1 12 252 441 0.047619 0.0359966 0.034632
240 0 1 8 266 473 0.0300752 0.0225537 0.0216509
241 0 1 12 276 480 0.0434783 0.032969 0.031746
242 0 1 6 265 473 0.0226415 0.0169472 0.0162602
243 0 1 11 246 469 0.0447154 0.0323846 0.0307692
244 0 1 12 261 479 0.045977 0.0339385 0.0324324
245 0 1 8 243 482 0.0329218 0.0233756 0.022069
246 0 1 14 255 461 0.054902 0.0408326 0.0391061
247 0 1 12 254 459 0.0472441 0.0351446 0.0336606
248 0 1 6 252 466 0.0238095 0.0175089 0.0167131
249 0 1 10 243 462 0.0411523 0.0298453 0.0283688
250 0 1 13 247 445 0.0526316 0.0392116 0.0375723
251 0 1 6 228 443 0.0263158 0.0188791 0.0178838
252 0 1 12 250 434 0.048 0.0364306 0.0350877
253 0 1 11 231 445 0.047619 0.0343089 0.0325444
254 0 1 6 214 405 0.0280374 0.0203806 0.0193861
255 0 1 12 254 429 0.0472441 0.0363526 0.0351391
256 0 1 7 247 439 0.0283401 0.0212578 0.0204082
257 0 1 10 234 438 0.042735 0.031236 0.0297619
258 0 1 12 236 416 0.0508475 0.0382982 0.0368098
259 0 1 7 213 412 0.0328638 0.0236298 0.0224
260 0 1 6 230 418 0.026087 0.0193508 0.0185185
261 0 1 8 222 419 0.036036 0.0262305 0.024961
262 0 1 8 239 434 0.0334728 0.0248397 0.0237741
263 0 1 15 233 425 0.0643777 0.0476671 0.0455927
264 0 1 8 204 396 0.0392157 0.0281467 0.0266667
265 0 1 12 226 413 0.0530973 0.0392782 0.0375587
266 0 1 9 223 407 0.0403587 0.029874 0.0285714
267 0 1 13 230 407 0.0565217 0.0424896 0.0408163
268 0 1 17 228 399 0.0745614 0.0563631 0.0542265
269 0 1 13 200 384 0.065 0.0469097 0.0445205
270 0 1 9 259 434 0.034749 0.026844 0.025974
271 0 1 10 261 474 0.0383142 0.0284309 0.0272109
272 0 1 13 264 477 0.0492424 0.0366338 0.0350877
273 0 1 10 244 478 0.0409836 0.0292814 0.0277008
274 0 1 9 258 470 0.0348837 0.0258454 0.0247253
275 0 1 15 252 465 0.0595238 0.0438192 0.041841
276 0 1 10 256 454 0.0390625 0.0293327 0.028169
277 0 1 8 247 454 0.0323887 0.0238899 0.0228245
278 0 1 13 240 457 0.0541667 0.0392536 0.0373027
279 0 1 9 246 458 0.0365854 0.0268128 0.0255682
280 0 1 11 241 461 0.0456432 0.0330015 0.031339
281 0 1 15 243 466 0.0617284 0.0445754 0.0423131
282 0 1 8 226 450 0.0353982 0.0250859 0.0236686
283 0 1 7 233 425 0.0300429 0.0222447 0.0212766
284 0 1 8 227 441 0.0352423 0.0252847 0.0239521
285 0 1 11 234 456 0.0470085 0.0336746 0.0318841
286 0 1 15 234 453 0.0641026 0.0460717 0.0436681
287 0 1 12 231 434 0.0519481 0.0378992 0.0360902
288 0 1 4 225 430 0.0177778 0.0128598 0.0122137
289 0 1 7 219 435 0.0319635 0.0226794 0.0214067
290 0 1 14 230 429 0.0608696 0.0445693 0.0424886
291 0 1 10 224 422 0.0446429 0.0325252 0.0309598
292 0 1 9 232 423 0.0387931 0.0287295 0.0274809
293 0 1 9 232 430 0.0387931 0.0284947 0.0271903
294 0 1 14 240 451 0.0583333 0.0425534 0.040521
295 0 1 12 234 459 0.0512821 0.0366157 0.034632
296 0 1 10 245 453 0.0408163 0.030017 0.0286533
297 0 1 4 219 443 0.0182648 0.0128421 0.0120846
298 0 1 11 255 426 0.0431373 0.0333747 0.0323054
299 0 1 9 243 430 0.037037 0.0278423 0.0267459
300 0 1 10 255 456 0.0392157 0.0293256 0.0281294
301 0 1 18 244 454 0.0737705 0.0540816 0.0515759
302 0 1 17 241 467 0.0705394 0.0506736 0.0480226
303 0 1 13 244 455 0.0532787 0.039016 0.037196
304 0 1 8 249 458 0.0321285 0.0236896 0.0226308
305 0 1 7 258 476 0.0271318 0.0199749 0.0190736
306 0 1 12 251 473 0.0478088 0.0348268 0.0331492
307 0 1 13 261 481 0.0498084 0.0366902 0.0350404
308 0 1 14 250 485 0.056 0.0402057 0.0380952
309 0 1 10 244 492 0.0409836 0.0288617 0.0271739
310 0 1 14 252 495 0.0555556 0.0396392 0.0374833
311 0 1 13 245 481 0.0530612 0.0378693 0.0358127
312 0 1 17 252 490 0.0674603 0.0483783 0.0458221
313 0 1 8 240 484 0.0333333 0.0234726 0.0220994
314 0 1 15 258 486 0.0581395 0.0423607 0.0403226
315 0 1 11 258 492 0.0426357 0.0308745 0.0293333
316 0 1 17 262 484 0.0648855 0.0477393 0.0455764
317 0 1 16 253 483 0.0632411 0.0457706 0.0434783
318 0 1 6 245 471 0.0244898 0.0176627 0.0167598
319 0 1 11 262 497 0.0419847 0.0304834 0.0289855
320 0 1 7 254 484 0.0275591 0.0199645 0.0189702
321 0 1 11 261 506 0.0421456 0.0302689 0.0286832
322 0 1 10 258 503 0.0387597 0.0277591 0.0262812
323 0 1 16 275 512 0.0581818 0.0426401 0.0406607
324 0 1 18 271 502 0.0664207 0.0488018 0.0465718
325 0 1 11 273 507 0.040293 0.029567 0.0282051
326 0 1 14 284 511 0.0492958 0.0367501 0.0352201
327 0 1 8 271 489 0.0295203 0.0219761 0.0210526
328 0 1 10 282 518 0.035461 0.0261644 0.025
329 0 1 17 268 505 0.0634328 0.04621 0.0439845
330 0 1 13 273 514 0.047619 0.0347041 0.0330369
331 0 1 16 287 494 0.0557491 0.0424928 0.0409731
332 0 1 14 270 523 0.0518519 0.0372559 0.035309
333 0 1 13 276 553 0.0471014 0.0332756 0.0313631
334 0 1 13 290 529 0.0448276 0.0331907 0.031746
335 0 1 9 290 525 0.0310345 0.0230656 0.0220859
336 0 1 11 295 538 0.0372881 0.0276115 0.0264106
337 0 1 12 294 526 0.0408163 0.0305151 0.0292683
338 0 1 10 285 533 0.0350877 0.0256575 0.0244499
339 0 1 13 294 535 0.0442177 0.0327788 0.0313631
340 0 1 13 293 547 0.0443686 0.0324725 0.0309524
341 0 1 12 290 565 0.0413793 0.0296454 0.0280702
342 0 1 11 282 541 0.0390071 0.0281624 0.0267315
343 0 1 16 284 536 0.056338 0.0410089 0.0390244
344 0 1 14 308 559 0.0454545 0.0337401 0.0322953
345 0 1 14 302 568 0.0463576 0.0338026 0.0321839
346 0 1 22 311 565 0.0707396 0.052483 0.0502283
347 0 1 17 317 567 0.0536278 0.0400985 0.0384615
348 0 1 14 296 572 0.0472973 0.0340239 0.0322581
349 0 1 15 305 568 0.0491803 0.0360385 0.0343643
350 0 1 17 307 573 0.0553746 0.0405324 0.0386364
351 0 1 19 312 579 0.0608974 0.044703 0.0426487
352 0 1 10 309 566 0.0323625 0.0239118 0.0228571
353 0 1 10 304 567 0.0328947 0.0240864 0.0229621
354 0 1 21 321 581 0.0654206 0.0486271 0.0465632
355 0 1 6 302 568 0.0198676 0.0144868 0.0137931
356 0 1 20 315 561 0.0634921 0.0475766 0.0456621
357 0 1 18 296 568 0.0608108 0.0438988 0.0416667
358 0 1 24 301 578 0.0797342 0.0575392 0.0546075
