#frame chA chB nCorr nA nB MNR GNR DICE
29 0 1 0 56 223 0 0 0
30 0 1 0 60 250 0 0 0
31 0 1 0 57 217 0 0 0
32 0 1 0 72 229 0 0 0
33 0 1 1 69 238 0.0144928 0.00780346 0.00651466
34 0 1 12 68 232 0.176471 0.0955395 0.08
35 0 1 23 71 240 0.323944 0.176195 0.14791
36 0 1 19 61 237 0.311475 0.158021 0.127517
37 0 1 22 61 228 0.360656 0.186548 0.152249
38 0 1 22 62 235 0.354839 0.182261 0.148148
39 0 1 20 52 220 0.384615 0.186989 0.147059
40 0 1 26 69 217 0.376812 0.21248 0.181818
41 0 1 21 58 224 0.362069 0.184239 0.148936
42 0 1 28 57 216 0.491228 0.252344 0.205128
43 0 1 15 55 210 0.272727 0.139573 0.113208
44 0 1 32 65 223 0.492308 0.265791 0.222222
45 0 1 19 40 180 0.475 0.223917 0.172727
46 0 1 24 62 292 0.387097 0.178371 0.135593
47 0 1 16 62 299 0.258065 0.117514 0.0886427
48 0 1 26 75 311 0.346667 0.17024 0.134715
49 0 1 17 69 286 0.246377 0.121016 0.0957747
50 0 1 16 59 278 0.271186 0.124931 0.0949555
51 0 1 24 68 287 0.352941 0.171797 0.135211
52 0 1 14 50 267 0.28 0.121168 0.0883281
53 0 1 28 62 281 0.451613 0.212133 0.163265
54 0 1 22 53 281 0.415094 0.180273 0.131737
55 0 1 23 47 244 0.489362 0.214775 0.158076
56 0 1 17 37 181 0.459459 0.207735 0.155963
57 0 1 22 50 286 0.44 0.183973 0.130952
58 0 1 24 47 278 0.510638 0.209962 0.147692
59 0 1 28 49 279 0.571429 0.239474 0.170732
60 0 1 20 39 254 0.512821 0.200947 0.136519
61 0 1 15 44 285 0.340909 0.13395 0.0911854
62 0 1 20 53 298 0.377358 0.159142 0.11396
63 0 1 28 61 336 0.459016 0.19558 0.141058
64 0 1 24 58 324 0.413793 0.175075 0.125654
65 0 1 22 52 303 0.423077 0.175267 0.123944
66 0 1 18 53 308 0.339623 0.140883 0.099723
67 0 1 27 55 302 0.490909 0.209498 0.151261
68 0 1 17 48 280 0.354167 0.146639 0.103659
69 0 1 22 50 300 0.44 0.179629 0.125714
70 0 1 24 62 299 0.387097 0.176271 0.132964
71 0 1 19 53 294 0.358491 0.15221 0.10951
72 0 1 25 43 300 0.581395 0.220113 0.145773
73 0 1 25 52 293 0.480769 0.202537 0.144928
74 0 1 28 52 281 0.538462 0.231634 0.168168
75 0 1 23 52 292 0.442308 0.186653 0.133721
76 0 1 25 57 268 0.438596 0.202272 0.153846
77 0 1 22 49 282 0.44898 0.187154 0.132931
78 0 1 30 49 265 0.612245 0.263269 0.191083
79 0 1 21 48 270 0.4375 0.184466 0.132075
80 0 1 31 63 366 0.492063 0.204151 0.144522
81 0 1 16 53 263 0.301887 0.13552 0.101266
82 0 1 20 67 385 0.298507 0.124527 0.0884956
83 0 1 33 85 398 0.388235 0.179417 0.136646
84 0 1 37 81 407 0.45679 0.20378 0.151639
85 0 1 28 66 382 0.424242 0.176341 0.125
86 0 1 37 75 379 0.493333 0.219458 0.162996
87 0 1 43 79 388 0.544304 0.245606 0.184154
88 0 1 33 78 385 0.423077 0.19043 0.142549
89 0 1 39 77 388 0.506494 0.225633 0.167742
90 0 1 48 78 382 0.615385 0.278075 0.208696
91 0 1 39 72 381 0.541667 0.23547 0.172185
92 0 1 50 77 363 0.649351 0.299069 0.227273
93 0 1 46 78 361 0.589744 0.27413 0.209567
94 0 1 52 76 375 0.684211 0.308021 0.230599
95 0 1 42 65 334 0.646154 0.285049 0.210526
96 0 1 26 68 332 0.382353 0.173041 0.13
97 0 1 15 42 127 0.357143 0.205383 0.177515
98 0 1 1 19 54 0.0526316 0.0312195 0.0273973
99 0 1 0 20 25 0 0 0
100 0 1 13 40 152 0.325 0.166721 0.135417
101 0 1 16 38 126 0.421053 0.231229 0.195122
102 0 1 6 32 82 0.1875 0.11713 0.105263
103 0 1 26 51 256 0.509804 0.227546 0.169381
104 0 1 28 58 262 0.482759 0.22714 0.175
105 0 1 29 77 295 0.376623 0.192416 0.155914
106 0 1 3 30 44 0.1 0.0825723 0.0810811
107 0 1 3 18 47 0.166667 0.103142 0.0923077
108 0 1 8 37 125 0.216216 0.117634 0.0987654
109 0 1 15 45 189 0.333333 0.16265 0.128205
110 0 1 26 70 262 0.371429 0.191988 0.156627
111 0 1 17 62 235 0.274194 0.140838 0.114478
112 0 1 39 69 291 0.565217 0.275229 0.216667
113 0 1 38 88 312 0.431818 0.229332 0.19
114 0 1 16 55 140 0.290909 0.182337 0.164103
115 0 1 26 79 296 0.329114 0.170025 0.138667
116 0 1 20 62 204 0.322581 0.177836 0.150376
117 0 1 37 93 285 0.397849 0.227268 0.195767
118 0 1 2 39 74 0.0512821 0.037229 0.0353982
119 0 1 27 58 170 0.465517 0.27191 0.236842
120 0 1 19 52 187 0.365385 0.192678 0.158996
121 0 1 33 80 262 0.4125 0.227939 0.192982
122 0 1 14 46 120 0.304348 0.188434 0.168675
123 0 1 30 72 202 0.416667 0.248759 0.218978
124 0 1 32 81 274 0.395062 0.214799 0.180282
125 0 1 29 84 248 0.345238 0.200924 0.174699
126 0 1 39 97 237 0.402062 0.25722 0.233533
127 0 1 40 104 302 0.384615 0.225704 0.197044
128 0 1 40 86 279 0.465116 0.258231 0.219178
129 0 1 40 106 296 0.377358 0.225819 0.199005
130 0 1 28 81 243 0.345679 0.199578 0.17284
131 0 1 39 95 334 0.410526 0.218942 0.181818
132 0 1 38 108 293 0.351852 0.213618 0.189526
133 0 1 49 108 327 0.453704 0.260742 0.225287
134 0 1 44 99 313 0.444444 0.249956 0.213592
135 0 1 51 99 329 0.515152 0.282589 0.238318
136 0 1 54 112 316 0.482143 0.287039 0.252336
137 0 1 46 122 339 0.377049 0.226192 0.199566
138 0 1 47 100 352 0.47 0.250511 0.207965
139 0 1 54 120 336 0.45 0.268926 0.236842
140 0 1 53 90 286 0.588889 0.330348 0.281915
141 0 1 54 89 306 0.606742 0.327219 0.273418
142 0 1 46 103 296 0.446602 0.263447 0.230576
143 0 1 49 101 319 0.485149 0.272986 0.233333
144 0 1 39 81 240 0.481481 0.279715 0.242991
145 0 1 66 112 310 0.589286 0.354205 0.312796
146 0 1 47 105 336 0.447619 0.250227 0.213152
147 0 1 49 116 307 0.422414 0.259656 0.231678
148 0 1 54 101 272 0.534653 0.325798 0.289544
149 0 1 54 117 290 0.461538 0.293158 0.265356
150 0 1 50 126 330 0.396825 0.245204 0.219298
151 0 1 60 124 316 0.483871 0.303108 0.272727
152 0 1 60 118 298 0.508475 0.319965 0.288462
153 0 1 38 105 287 0.361905 0.218901 0.193878
154 0 1 41 99 252 0.414141 0.259577 0.233618
155 0 1 68 129 372 0.527132 0.310415 0.271457
156 0 1 58 118 312 0.491525 0.30228 0.269767
157 0 1 56 128 337 0.4375 0.26963 0.24086
158 0 1 34 77 243 0.441558 0.24856 0.2125
159 0 1 44 115 364 0.382609 0.215057 0.183716
160 0 1 59 111 334 0.531532 0.30642 0.265169
161 0 1 63 124 344 0.508065 0.305036 0.269231
162 0 1 36 112 305 0.321429 0.19478 0.172662
163 0 1 53 112 343 0.473214 0.270408 0.232967
164 0 1 49 122 323 0.401639 0.24684 0.220225
165 0 1 59 149 375 0.395973 0.249599 0.225191
166 0 1 63 139 402 0.453237 0.266514 0.232902
167 0 1 43 126 365 0.34127 0.20051 0.175153
168 0 1 62 136 355 0.455882 0.282168 0.252546
169 0 1 43 136 362 0.316176 0.193796 0.172691
170 0 1 66 135 363 0.488889 0.298142 0.26506
171 0 1 69 127 325 0.543307 0.33963 0.30531
172 0 1 65 136 344 0.477941 0.300514 0.270833
173 0 1 59 121 318 0.487603 0.300778 0.268793
174 0 1 62 135 319 0.459259 0.298765 0.273128
175 0 1 65 129 304 0.503876 0.328233 0.300231
176 0 1 60 144 335 0.416667 0.273179 0.250522
177 0 1 63 131 319 0.480916 0.308184 0.28
178 0 1 62 124 259 0.5 0.345964 0.32376
179 0 1 65 120 299 0.541667 0.343152 0.310263
180 0 1 54 130 324 0.415385 0.263117 0.237885
181 0 1 48 103 234 0.466019 0.309182 0.284866
182 0 1 43 137 338 0.313869 0.199825 0.181053
183 0 1 40 97 268 0.412371 0.248089 0.219178
184 0 1 61 123 291 0.495935 0.322427 0.294686
185 0 1 71 139 335 0.510791 0.329025 0.299578
186 0 1 45 96 251 0.46875 0.289895 0.259366
187 0 1 58 125 315 0.464 0.292293 0.263636
188 0 1 80 133 333 0.601504 0.380139 0.343348
189 0 1 71 108 267 0.657407 0.41811 0.378667
190 0 1 73 141 319 0.51773 0.344206 0.317391
191 0 1 62 124 327 0.5 0.307898 0.274945
192 0 1 55 113 294 0.486726 0.301752 0.27027
193 0 1 75 138 365 0.543478 0.334176 0.298211
194 0 1 66 145 340 0.455172 0.297249 0.272165
195 0 1 64 152 358 0.421053 0.274357 0.25098
196 0 1 58 100 225 0.58 0.386667 0.356923
197 0 1 83 130 297 0.638462 0.422404 0.388759
198 0 1 24 68 110 0.352941 0.277498 0.269663
