#frame chA chB nCorr nA nB MNR GNR DICE
16 0 1 0 216 99 0 0 0
17 0 1 0 234 129 0 0 0
18 0 1 0 232 138 0 0 0
19 0 1 0 238 148 0 0 0
20 0 1 1 229 137 0.00729927 0.00564575 0.00546448
21 0 1 1 243 135 0.00740741 0.00552116 0.00529101
22 0 1 0 228 139 0 0 0
23 0 1 2 221 134 0.0149254 0.011622 0.0112676
24 0 1 4 206 123 0.0325203 0.0251289 0.0243161
25 0 1 2 187 114 0.0175439 0.013698 0.013289
26 0 1 5 227 123 0.0406504 0.029923 0.0285714
27 0 1 4 239 140 0.0285714 0.0218674 0.0211082
28 0 1 10 236 142 0.0704225 0.0546261 0.0529101
29 0 1 6 236 131 0.0458015 0.034124 0.0326975
30 0 1 8 251 139 0.057554 0.0428298 0.0410256
31 0 1 8 251 134 0.0597015 0.0436215 0.0415584
32 0 1 9 229 137 0.0656934 0.0508118 0.0491803
33 0 1 5 235 136 0.0367647 0.0279683 0.0269542
34 0 1 7 229 130 0.0538462 0.0405703 0.0389972
35 0 1 9 236 134 0.0671642 0.0506097 0.0486486
36 0 1 6 242 136 0.0441176 0.033073 0.031746
37 0 1 5 230 132 0.0378788 0.0286959 0.0276243
38 0 1 8 216 126 0.0634921 0.0484929 0.0467836
39 0 1 14 238 127 0.110236 0.0805263 0.0767123
40 0 1 11 229 128 0.0859375 0.0642495 0.0616246
41 0 1 11 229 126 0.0873016 0.0647574 0.0619718
42 0 1 7 230 131 0.0534351 0.0403272 0.0387812
43 0 1 10 208 121 0.0826446 0.0630341 0.0607903
44 0 1 10 219 120 0.0833333 0.0616861 0.058997
45 0 1 6 213 124 0.0483871 0.0369191 0.0356083
46 0 1 12 228 126 0.0952381 0.0707992 0.0677966
47 0 1 10 216 114 0.0877193 0.0637266 0.0606061
48 0 1 11 214 119 0.092437 0.0689306 0.0660661
49 0 1 8 202 114 0.0701754 0.0527184 0.0506329
50 0 1 5 210 113 0.0442478 0.032458 0.0309598
51 0 1 7 197 113 0.0619469 0.0469165 0.0451613
52 0 1 8 196 108 0.0740741 0.0549857 0.0526316
53 0 1 7 202 111 0.0630631 0.0467478 0.0447284
54 0 1 6 205 107 0.0560748 0.0405119 0.0384615
55 0 1 12 198 99 0.121212 0.0857099 0.0808081
56 0 1 12 204 98 0.122449 0.0848698 0.0794702
57 0 1 7 182 92 0.076087 0.0540964 0.0510949
58 0 1 9 205 110 0.0818182 0.0599334 0.0571429
59 0 1 7 245 114 0.0614035 0.0418854 0.0389972
60 0 1 8 242 119 0.0672269 0.0471421 0.0443213
61 0 1 4 245 120 0.0333333 0.0233285 0.0219178
62 0 1 7 237 124 0.0564516 0.0408332 0.0387812
63 0 1 10 240 122 0.0819672 0.0584406 0.0552486
64 0 1 12 252 118 0.101695 0.0695889 0.0648649
65 0 1 7 241 123 0.0569106 0.0406572 0.0384615
66 0 1 5 252 110 0.0454545 0.0300312 0.0276243
67 0 1 10 245 122 0.0819672 0.0578412 0.0544959
68 0 1 9 249 117 0.0769231 0.052729 0.0491803
69 0 1 6 241 105 0.0571429 0.0377179 0.0346821
70 0 1 7 272 113 0.0619469 0.0399277 0.0363636
71 0 1 7 262 121 0.0578512 0.0393147 0.0365535
72 0 1 7 286 126 0.0555556 0.0368748 0.0339806
73 0 1 6 271 128 0.046875 0.0322153 0.0300752
74 0 1 9 283 132 0.0681818 0.0465653 0.0433735
75 0 1 6 273 127 0.0472441 0.0322232 0.03
76 0 1 11 288 125 0.088 0.0579751 0.0532688
77 0 1 3 264 117 0.025641 0.0170697 0.015748
78 0 1 12 298 129 0.0930233 0.0612038 0.0562061
79 0 1 8 266 145 0.0551724 0.0407348 0.0389294
80 0 1 10 300 143 0.0699301 0.0482805 0.0451467
81 0 1 5 315 135 0.037037 0.0242464 0.0222222
82 0 1 11 272 140 0.0785714 0.0563695 0.0533981
83 0 1 10 282 128 0.078125 0.0526345 0.0487805
84 0 1 11 283 122 0.0901639 0.0591997 0.054321
85 0 1 3 264 130 0.0230769 0.0161938 0.0152284
86 0 1 9 309 126 0.0714286 0.0456119 0.0413793
87 0 1 10 293 128 0.078125 0.051637 0.0475059
88 0 1 6 296 125 0.048 0.0311925 0.0285036
89 0 1 7 271 123 0.0569106 0.0383408 0.035533
90 0 1 4 316 133 0.0300752 0.0195115 0.0178174
91 0 1 6 319 139 0.0431655 0.0284937 0.0262009
92 0 1 9 320 136 0.0661765 0.0431418 0.0394737
93 0 1 7 331 132 0.0530303 0.0334886 0.0302376
94 0 1 7 295 132 0.0530303 0.0354732 0.0327869
95 0 1 9 332 137 0.0656934 0.0422001 0.0383795
96 0 1 8 336 137 0.0583942 0.0372872 0.0338266
97 0 1 5 311 146 0.0342466 0.0234646 0.0218818
98 0 1 11 337 146 0.0753425 0.0495908 0.0455487
99 0 1 11 337 144 0.0763889 0.049934 0.045738
100 0 1 9 326 151 0.0596026 0.0405644 0.0377358
101 0 1 12 330 144 0.0833333 0.0550482 0.0506329
102 0 1 14 332 139 0.100719 0.0651706 0.059448
103 0 1 9 321 151 0.0596026 0.0408791 0.0381356
104 0 1 3 307 135 0.0222222 0.0147362 0.0135747
105 0 1 8 345 147 0.0544218 0.035524 0.0325203
106 0 1 8 336 134 0.0597015 0.0377023 0.0340426
107 0 1 5 321 138 0.0362319 0.0237563 0.0217865
108 0 1 8 318 142 0.056338 0.0376472 0.0347826
109 0 1 10 325 141 0.070922 0.0467142 0.0429185
110 0 1 10 311 146 0.0684932 0.0469292 0.0437637
111 0 1 12 304 150 0.08 0.0561951 0.0528634
112 0 1 15 330 155 0.0967742 0.0663237 0.0618557
113 0 1 7 290 146 0.0479452 0.0340191 0.0321101
114 0 1 9 307 134 0.0671642 0.0443732 0.0408163
115 0 1 6 302 125 0.048 0.0308811 0.028103
116 0 1 7 317 129 0.0542636 0.0346157 0.0313901
117 0 1 8 308 130 0.0615385 0.03998 0.0365297
118 0 1 7 334 140 0.05 0.0323713 0.0295359
119 0 1 6 311 130 0.0461538 0.02984 0.0272109
120 0 1 6 351 141 0.0425532 0.0269704 0.0243902
121 0 1 8 305 140 0.0571429 0.0387147 0.0359551
122 0 1 8 353 144 0.0555556 0.0354831 0.0321932
123 0 1 9 308 133 0.0676692 0.0444674 0.0408163
124 0 1 7 324 125 0.056 0.0347833 0.0311804
125 0 1 6 292 120 0.05 0.032053 0.0291262
126 0 1 11 322 144 0.0763889 0.0510838 0.0472103
127 0 1 10 313 148 0.0675676 0.0464619 0.0433839
128 0 1 7 327 138 0.0507246 0.0329522 0.0301075
129 0 1 11 281 143 0.0769231 0.0548746 0.0518868
130 0 1 11 302 137 0.080292 0.054079 0.0501139
131 0 1 1 302 132 0.00757576 0.00500852 0.00460829
132 0 1 10 317 131 0.0763359 0.0490721 0.0446429
133 0 1 11 300 136 0.0808824 0.0544581 0.0504587
134 0 1 10 297 126 0.0793651 0.0516936 0.0472813
135 0 1 6 324 135 0.0444444 0.0286888 0.0261438
136 0 1 6 319 134 0.0447761 0.0290204 0.0264901
137 0 1 5 295 128 0.0390625 0.0257308 0.0236407
138 0 1 5 326 138 0.0362319 0.0235734 0.0215517
139 0 1 6 314 149 0.0402685 0.0277392 0.0259179
140 0 1 5 294 149 0.033557 0.0238893 0.0225734
141 0 1 5 321 140 0.0357143 0.023586 0.021692
142 0 1 6 313 147 0.0408163 0.0279718 0.026087
143 0 1 12 304 141 0.0851064 0.0579609 0.0539326
144 0 1 9 310 133 0.0676692 0.0443237 0.0406321
145 0 1 8 301 142 0.056338 0.0386957 0.0361174
146 0 1 11 290 132 0.0833333 0.0562221 0.0521327
147 0 1 9 306 140 0.0642857 0.0434828 0.0403587
148 0 1 3 321 135 0.0222222 0.0144113 0.0131579
149 0 1 6 301 141 0.0425532 0.0291245 0.0271493
150 0 1 4 348 148 0.027027 0.0176254 0.016129
151 0 1 5 319 146 0.0342466 0.0231685 0.0215054
152 0 1 8 309 141 0.0567376 0.0383267 0.0355556
153 0 1 8 346 154 0.0519481 0.034657 0.032
154 0 1 11 312 144 0.0763889 0.051896 0.0482456
155 0 1 8 329 146 0.0547945 0.0365019 0.0336842
156 0 1 4 315 147 0.0272109 0.0185886 0.017316
157 0 1 9 296 134 0.0671642 0.0451902 0.0418605
158 0 1 6 319 135 0.0444444 0.0289127 0.0264317
159 0 1 6 312 131 0.0458015 0.0296783 0.027088
160 0 1 3 307 123 0.0243902 0.0154383 0.0139535
161 0 1 6 288 125 0.048 0.0316228 0.0290557
162 0 1 6 325 118 0.0508475 0.0306386 0.027088
163 0 1 6 271 117 0.0512821 0.0336956 0.0309278
164 0 1 4 301 121 0.0330578 0.0209597 0.0189573
165 0 1 3 287 125 0.024 0.0158389 0.0145631
166 0 1 5 310 120 0.0416667 0.0259238 0.0232558
167 0 1 2 281 121 0.0165289 0.0108464 0.00995025
168 0 1 5 310 137 0.0364963 0.0242621 0.0223714
