#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 394 251 0 0 0
3 0 1 0 384 343 0 0 0
4 0 1 0 305 249 0 0 0
5 0 1 0 335 434 0 0 0
6 0 1 0 268 366 0 0 0
7 0 1 0 277 450 0 0 0
8 0 1 0 200 368 0 0 0
9 0 1 0 250 460 0 0 0
10 0 1 0 204 392 0 0 0
11 0 1 1 261 490 0.00383142 0.00279629 0.00266312
12 0 1 0 200 428 0 0 0
13 0 1 0 266 565 0 0 0
14 0 1 0 209 465 0 0 0
15 0 1 0 248 602 0 0 0
16 0 1 0 190 466 0 0 0
17 0 1 0 273 550 0 0 0
18 0 1 0 214 444 0 0 0
19 0 1 0 251 549 0 0 0
20 0 1 0 185 421 0 0 0
21 0 1 0 214 491 0 0 0
22 0 1 1 176 374 0.00568182 0.0038977 0.00363636
23 0 1 1 210 436 0.0047619 0.00330481 0.00309598
24 0 1 0 208 444 0 0 0
25 0 1 1 136 341 0.00735294 0.00464358 0.00419287
26 0 1 0 131 382 0 0 0
27 0 1 0 122 311 0 0 0
28 0 1 0 136 399 0 0 0
29 0 1 1 104 341 0.00961538 0.00531014 0.00449438
30 0 1 2 160 429 0.0125 0.00763381 0.00679117
31 0 1 1 115 372 0.00869565 0.00483481 0.00410678
32 0 1 0 159 424 0 0 0
33 0 1 0 124 333 0 0 0
34 0 1 0 193 387 0 0 0
35 0 1 1 143 311 0.00699301 0.00474189 0.00440529
36 0 1 1 189 354 0.00529101 0.00386605 0.00368324
37 0 1 0 140 303 0 0 0
38 0 1 0 206 382 0 0 0
39 0 1 0 174 336 0 0 0
40 0 1 0 264 414 0 0 0
41 0 1 0 208 371 0 0 0
42 0 1 0 264 444 0 0 0
43 0 1 0 216 388 0 0 0
44 0 1 0 268 423 0 0 0
45 0 1 0 228 376 0 0 0
46 0 1 0 266 479 0 0 0
47 0 1 0 218 416 0 0 0
48 0 1 2 176 367 0.0113636 0.00786938 0.00736648
49 0 1 1 224 412 0.00446429 0.00329175 0.00314465
50 0 1 0 169 361 0 0 0
51 0 1 0 223 458 0 0 0
52 0 1 0 205 416 0 0 0
53 0 1 0 257 505 0 0 0
54 0 1 0 211 457 0 0 0
55 0 1 0 154 352 0 0 0
56 0 1 0 200 416 0 0 0
57 0 1 0 154 340 0 0 0
58 0 1 0 229 451 0 0 0
59 0 1 0 169 367 0 0 0
60 0 1 1 142 334 0.00704225 0.0045918 0.00420168
61 0 1 0 201 410 0 0 0
62 0 1 0 159 370 0 0 0
63 0 1 0 133 321 0 0 0
64 0 1 0 190 474 0 0 0
65 0 1 0 181 412 0 0 0
66 0 1 0 151 356 0 0 0
67 0 1 0 196 433 0 0 0
68 0 1 0 171 361 0 0 0
69 0 1 0 233 452 0 0 0
70 0 1 0 200 406 0 0 0
71 0 1 1 175 327 0.00571429 0.0041803 0.00398406
72 0 1 1 262 406 0.00381679 0.0030661 0.00299401
73 0 1 0 219 366 0 0 0
74 0 1 0 214 347 0 0 0
75 0 1 0 309 479 0 0 0
76 0 1 0 268 431 0 0 0
77 0 1 1 250 403 0.004 0.00315049 0.00306279
78 0 1 1 213 333 0.00469484 0.00375481 0.003663
79 0 1 7 295 454 0.0237288 0.0191275 0.0186916
80 0 1 7 287 453 0.0243902 0.0194137 0.0189189
81 0 1 6 264 407 0.0227273 0.0183043 0.0178838
82 0 1 7 246 373 0.0284553 0.0231087 0.0226171
