#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 54 164 0 0 0
3 0 1 0 57 115 0 0 0
4 0 1 0 55 95 0 0 0
5 0 1 0 58 99 0 0 0
6 0 1 0 100 96 0 0 0
7 0 1 1 79 65 0.0153846 0.013955 0.0138889
8 0 1 2 152 94 0.0212766 0.0167319 0.0162602
9 0 1 0 134 70 0 0 0
10 0 1 3 177 111 0.027027 0.0214029 0.0208333
11 0 1 3 166 90 0.0333333 0.024544 0.0234375
12 0 1 7 187 135 0.0518519 0.0440565 0.0434783
13 0 1 5 187 109 0.0458716 0.0350216 0.0337838
14 0 1 12 232 139 0.0863309 0.0668236 0.06469
15 0 1 12 216 126 0.0952381 0.0727393 0.0701754
16 0 1 12 239 134 0.0895522 0.0670548 0.0643432
17 0 1 18 217 137 0.131387 0.104396 0.101695
18 0 1 22 254 163 0.134969 0.108121 0.105516
19 0 1 20 270 179 0.111732 0.0909749 0.0890869
20 0 1 18 228 147 0.122449 0.098321 0.096
21 0 1 14 239 183 0.0765027 0.0669428 0.0663507
22 0 1 15 193 177 0.0847458 0.081157 0.0810811
23 0 1 14 184 191 0.076087 0.0746797 0.0746667
24 0 1 16 156 141 0.113475 0.107882 0.107744
25 0 1 14 136 168 0.102941 0.0926198 0.0921053
26 0 1 9 102 123 0.0882353 0.0803507 0.08
27 0 1 9 91 156 0.0989011 0.075537 0.0728745
28 0 1 6 77 134 0.0779221 0.0590682 0.056872
29 0 1 5 73 147 0.0684932 0.048267 0.0454545
30 0 1 2 63 123 0.031746 0.0227199 0.0215054
31 0 1 1 59 151 0.0169492 0.0105946 0.00952381
32 0 1 1 55 127 0.0181818 0.0119651 0.010989
33 0 1 1 56 178 0.0178571 0.010016 0.00854701
34 0 1 1 56 159 0.0178571 0.0105976 0.00930233
35 0 1 0 55 131 0 0 0
36 0 1 0 60 210 0 0 0
37 0 1 0 62 175 0 0 0
38 0 1 0 59 161 0 0 0
39 0 1 0 49 131 0 0 0
40 0 1 0 51 151 0 0 0
41 0 1 0 58 141 0 0 0
42 0 1 0 68 190 0 0 0
43 0 1 0 66 166 0 0 0
44 0 1 1 60 139 0.0166667 0.0109501 0.0100503
45 0 1 1 61 174 0.0163934 0.00970645 0.00851064
46 0 1 1 62 151 0.016129 0.0103351 0.00938967
47 0 1 1 69 185 0.0144928 0.00885094 0.00787402
48 0 1 1 62 151 0.016129 0.0103351 0.00938967
49 0 1 1 76 176 0.0131579 0.00864643 0.00793651
50 0 1 2 73 158 0.0273973 0.0186226 0.017316
51 0 1 3 82 170 0.0365854 0.0254091 0.0238095
52 0 1 2 73 143 0.0273973 0.0195749 0.0185185
53 0 1 6 80 172 0.075 0.0511496 0.047619
54 0 1 4 76 119 0.0526316 0.042061 0.0410256
55 0 1 3 86 148 0.0348837 0.0265914 0.025641
56 0 1 4 94 118 0.0425532 0.03798 0.0377358
57 0 1 4 100 146 0.04 0.0331042 0.0325203
58 0 1 3 98 112 0.0306122 0.0286351 0.0285714
59 0 1 4 112 154 0.0357143 0.0304572 0.0300752
60 0 1 5 103 129 0.0485437 0.0433767 0.0431034
61 0 1 4 90 111 0.0444444 0.04002 0.039801
62 0 1 2 112 158 0.0178571 0.0150346 0.0148148
63 0 1 4 111 148 0.036036 0.0312081 0.030888
64 0 1 3 101 118 0.029703 0.0274802 0.0273973
65 0 1 6 105 140 0.0571429 0.0494872 0.0489796
66 0 1 6 111 129 0.0540541 0.0501412 0.05
67 0 1 5 120 168 0.0416667 0.0352148 0.0347222
68 0 1 10 109 140 0.0917431 0.0809511 0.0803213
69 0 1 7 123 151 0.0569106 0.0513638 0.0510949
70 0 1 8 117 140 0.0683761 0.0625076 0.0622568
71 0 1 6 134 161 0.0447761 0.0408494 0.040678
72 0 1 3 118 148 0.0254237 0.0227012 0.0225564
73 0 1 4 129 174 0.0310078 0.0266987 0.0264026
74 0 1 3 122 154 0.0245902 0.0218867 0.0217391
75 0 1 4 161 193 0.0248447 0.0226918 0.0225989
76 0 1 6 123 143 0.0487805 0.0452408 0.0451128
77 0 1 5 154 170 0.0324675 0.0309019 0.0308642
78 0 1 5 126 142 0.0396825 0.0373801 0.0373134
79 0 1 4 139 177 0.028777 0.0255015 0.0253165
80 0 1 5 116 137 0.0431034 0.0396626 0.0395257
81 0 1 7 121 146 0.0578512 0.0526658 0.0524345
82 0 1 1 111 109 0.00917431 0.00909129 0.00909091
83 0 1 5 93 91 0.0549451 0.054351 0.0543478
84 0 1 1 117 101 0.00990099 0.00919912 0.00917431
85 0 1 2 101 79 0.0253165 0.0223901 0.0222222
86 0 1 1 90 57 0.0175439 0.0139618 0.0136054
87 0 1 4 121 72 0.0555556 0.042855 0.0414508
88 0 1 4 108 53 0.0754717 0.0528701 0.0496894
89 0 1 1 89 38 0.0263158 0.0171954 0.015748
90 0 1 1 90 62 0.016129 0.013387 0.0131579
91 0 1 1 81 37 0.027027 0.0182666 0.0169492
92 0 1 0 89 52 0 0 0
93 0 1 0 51 38 0 0 0
94 0 1 0 63 57 0 0 0
95 0 1 0 76 71 0 0 0
