#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 53 168 0 0 0
3 0 1 0 50 114 0 0 0
4 0 1 0 59 85 0 0 0
5 0 1 0 79 86 0 0 0
6 0 1 3 128 83 0.0361446 0.0291056 0.028436
7 0 1 4 149 95 0.0421053 0.0336206 0.0327869
8 0 1 5 191 122 0.0409836 0.0327547 0.0319489
9 0 1 7 167 82 0.0853659 0.0598181 0.0562249
10 0 1 13 219 129 0.100775 0.077344 0.0747126
11 0 1 14 178 96 0.145833 0.107098 0.10219
12 0 1 19 238 138 0.137681 0.10484 0.101064
13 0 1 21 191 110 0.190909 0.144879 0.139535
14 0 1 24 239 147 0.163265 0.128042 0.124352
15 0 1 21 203 125 0.168 0.131831 0.128049
16 0 1 20 243 139 0.143885 0.108823 0.104712
17 0 1 21 257 179 0.117318 0.0979098 0.0963303
18 0 1 13 252 166 0.0783133 0.0635608 0.062201
19 0 1 16 278 186 0.0860215 0.0703625 0.0689655
20 0 1 12 257 204 0.0588235 0.0524082 0.0520607
21 0 1 14 233 215 0.0651163 0.0625505 0.0625
22 0 1 13 173 170 0.0764706 0.0758047 0.0758018
23 0 1 15 167 193 0.0898204 0.0835515 0.0833333
24 0 1 12 133 141 0.0902256 0.0876286 0.0875912
25 0 1 7 131 166 0.0534351 0.0474688 0.047138
26 0 1 4 91 112 0.043956 0.0396214 0.0394089
27 0 1 3 117 146 0.025641 0.0229537 0.0228137
28 0 1 2 96 128 0.0208333 0.0180422 0.0178571
29 0 1 2 103 147 0.0194175 0.0162537 0.016
30 0 1 1 65 115 0.0153846 0.0115663 0.0111111
31 0 1 6 91 149 0.0659341 0.0515273 0.05
32 0 1 5 83 124 0.060241 0.0492856 0.0483092
33 0 1 5 65 109 0.0769231 0.0594019 0.0574713
34 0 1 6 96 165 0.0625 0.0476731 0.045977
35 0 1 5 75 139 0.0666667 0.0489702 0.046729
36 0 1 5 70 126 0.0714286 0.0532397 0.0510204
37 0 1 4 56 108 0.0714286 0.0514344 0.0487805
38 0 1 4 90 160 0.0444444 0.0333333 0.032
39 0 1 5 85 133 0.0588235 0.0470256 0.0458716
40 0 1 3 72 105 0.0416667 0.0345033 0.0338983
41 0 1 4 117 149 0.034188 0.0302952 0.0300752
42 0 1 7 92 128 0.076087 0.0645059 0.0636364
43 0 1 7 73 102 0.0958904 0.0811216 0.08
44 0 1 5 135 162 0.037037 0.03381 0.03367
45 0 1 9 110 123 0.0818182 0.0773737 0.0772532
46 0 1 8 95 108 0.0842105 0.0789798 0.0788177
47 0 1 7 75 83 0.0933333 0.0887214 0.0886076
48 0 1 4 116 104 0.0384615 0.0364179 0.0363636
49 0 1 6 88 87 0.0689655 0.0685725 0.0685714
50 0 1 6 130 140 0.0461538 0.044475 0.0444444
51 0 1 4 95 102 0.0421053 0.0406348 0.0406091
52 0 1 7 121 152 0.0578512 0.0516159 0.0512821
53 0 1 6 94 109 0.0638298 0.0592753 0.0591133
54 0 1 9 119 138 0.0756303 0.0702311 0.0700389
55 0 1 4 99 108 0.040404 0.0386839 0.0386473
56 0 1 9 109 130 0.0825688 0.0756062 0.0753138
57 0 1 13 86 106 0.151163 0.136157 0.135417
58 0 1 7 132 123 0.0569106 0.0549362 0.054902
59 0 1 8 98 101 0.0816327 0.0804112 0.080402
60 0 1 12 138 128 0.09375 0.0902894 0.0902256
61 0 1 8 114 103 0.0776699 0.0738276 0.0737327
62 0 1 6 155 150 0.04 0.0393495 0.0393443
63 0 1 7 123 130 0.0569106 0.0553572 0.055336
64 0 1 8 110 95 0.0842105 0.0782586 0.0780488
65 0 1 8 137 131 0.0610687 0.0597165 0.0597015
66 0 1 4 102 109 0.0392157 0.0379356 0.0379147
67 0 1 5 141 150 0.035461 0.0343807 0.0343643
68 0 1 5 103 117 0.0485437 0.0455469 0.0454545
69 0 1 9 147 135 0.0666667 0.0638877 0.0638298
70 0 1 7 102 118 0.0686275 0.0638053 0.0636364
71 0 1 9 161 154 0.0584416 0.057157 0.0571429
72 0 1 8 117 133 0.0683761 0.0641315 0.064
73 0 1 10 155 164 0.0645161 0.0627209 0.0626959
74 0 1 12 129 140 0.0930233 0.089294 0.0892193
75 0 1 14 189 175 0.08 0.07698 0.0769231
76 0 1 13 152 128 0.101562 0.0932001 0.0928571
77 0 1 7 180 150 0.0466667 0.0426006 0.0424242
78 0 1 4 141 118 0.0338983 0.0310105 0.030888
79 0 1 5 203 158 0.0316456 0.0279186 0.0277008
80 0 1 1 154 120 0.00833333 0.00735612 0.00729927
81 0 1 3 216 122 0.0245902 0.0184805 0.0177515
82 0 1 4 152 88 0.0454545 0.0345857 0.0333333
83 0 1 3 180 95 0.0315789 0.0229416 0.0218182
84 0 1 2 145 74 0.027027 0.0193077 0.0182648
85 0 1 1 211 92 0.0108696 0.00717736 0.00660066
86 0 1 1 154 70 0.0142857 0.00963143 0.00892857
87 0 1 1 215 89 0.011236 0.00722913 0.00657895
88 0 1 1 266 131 0.00763359 0.00535702 0.00503778
89 0 1 2 163 88 0.0227273 0.0166992 0.0159363
90 0 1 0 187 96 0 0 0
91 0 1 0 230 93 0 0 0
92 0 1 0 148 60 0 0 0
93 0 1 0 152 60 0 0 0
94 0 1 0 174 84 0 0 0
95 0 1 0 160 89 0 0 0
96 0 1 1 143 96 0.0104167 0.00853486 0.0083682
97 0 1 2 92 61 0.0327869 0.0266975 0.0261438
98 0 1 1 110 64 0.015625 0.0119183 0.0114943
99 0 1 1 153 107 0.00934579 0.0078156 0.00769231
100 0 1 0 102 85 0 0 0
101 0 1 1 146 101 0.00990099 0.00823499 0.00809717
102 0 1 1 211 121 0.00826446 0.00625844 0.0060241
103 0 1 1 125 74 0.0135135 0.0103975 0.0100503
104 0 1 0 147 64 0 0 0
105 0 1 0 198 103 0 0 0
106 0 1 2 105 64 0.03125 0.0243975 0.0236686
107 0 1 2 137 54 0.037037 0.0232527 0.0209424
108 0 1 0 138 42 0 0 0
109 0 1 0 118 49 0 0 0
110 0 1 0 85 48 0 0 0
111 0 1 0 105 75 0 0 0
112 0 1 0 126 99 0 0 0
113 0 1 3 116 138 0.0258621 0.0237112 0.023622
114 0 1 1 129 168 0.00775194 0.00679283 0.00673401
115 0 1 1 119 189 0.00840336 0.006668 0.00649351
116 0 1 4 146 200 0.0273973 0.0234082 0.0231214
117 0 1 4 144 223 0.0277778 0.0223217 0.0217984
118 0 1 6 139 246 0.0431655 0.0324471 0.0311688
119 0 1 6 126 215 0.047619 0.0364541 0.0351906
120 0 1 4 104 155 0.0384615 0.0315049 0.030888
121 0 1 5 121 210 0.0413223 0.0313666 0.0302115
122 0 1 4 88 147 0.0454545 0.035169 0.0340426
123 0 1 6 92 176 0.0652174 0.0471521 0.0447761
124 0 1 1 73 116 0.0136986 0.010867 0.010582
125 0 1 6 92 133 0.0652174 0.0542415 0.0533333
126 0 1 5 73 114 0.0684932 0.0548095 0.0534759
127 0 1 2 114 163 0.0175439 0.0146718 0.0144404
128 0 1 3 81 118 0.037037 0.0306858 0.0301508
129 0 1 4 136 161 0.0294118 0.027032 0.026936
130 0 1 1 92 117 0.0108696 0.00963858 0.00956938
131 0 1 4 164 151 0.0264901 0.0254185 0.0253968
132 0 1 4 94 116 0.0425532 0.038306 0.0380952
133 0 1 6 135 140 0.0444444 0.0436436 0.0436364
134 0 1 3 108 101 0.029703 0.0287242 0.0287081
135 0 1 6 135 140 0.0444444 0.0436436 0.0436364
136 0 1 10 110 120 0.0909091 0.0870388 0.0869565
137 0 1 6 145 140 0.0428571 0.0421117 0.0421053
138 0 1 8 103 111 0.0776699 0.0748186 0.0747664
139 0 1 9 132 169 0.0681818 0.0602577 0.0598007
140 0 1 10 105 134 0.0952381 0.0843049 0.083682
141 0 1 11 128 180 0.0859375 0.0724689 0.0714286
142 0 1 11 112 162 0.0982143 0.0816632 0.080292
143 0 1 11 94 131 0.117021 0.0991273 0.0977778
144 0 1 7 126 199 0.0555556 0.0442065 0.0430769
145 0 1 11 106 170 0.103774 0.0819437 0.0797101
146 0 1 10 104 140 0.0961538 0.0828742 0.0819672
147 0 1 5 129 167 0.0387597 0.0340657 0.0337838
148 0 1 8 127 163 0.0629921 0.0556025 0.0551724
