#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 41 312 0 0 0
3 0 1 0 45 203 0 0 0
4 0 1 0 31 132 0 0 0
5 0 1 0 52 111 0 0 0
6 0 1 0 58 94 0 0 0
7 0 1 0 71 118 0 0 0
8 0 1 0 59 78 0 0 0
9 0 1 0 110 142 0 0 0
10 0 1 1 87 112 0.0114943 0.0101305 0.0100503
11 0 1 1 84 97 0.0119048 0.0110783 0.0110497
12 0 1 4 119 155 0.0336134 0.0294524 0.0291971
13 0 1 6 108 126 0.0555556 0.0514344 0.0512821
14 0 1 6 109 108 0.0555556 0.0553001 0.0552995
15 0 1 7 96 107 0.0729167 0.069067 0.0689655
16 0 1 9 139 165 0.0647482 0.0594283 0.0592105
17 0 1 7 119 132 0.0588235 0.0558519 0.0557769
18 0 1 8 115 108 0.0740741 0.0717843 0.0717489
19 0 1 6 109 90 0.0666667 0.0605783 0.0603015
20 0 1 8 138 108 0.0740741 0.0655298 0.0650406
21 0 1 5 119 88 0.0568182 0.0488602 0.0483092
22 0 1 10 144 123 0.0813008 0.0751391 0.0749064
23 0 1 3 113 84 0.0357143 0.0307923 0.0304569
24 0 1 4 122 105 0.0380952 0.0353415 0.0352423
25 0 1 0 87 62 0 0 0
26 0 1 1 93 91 0.010989 0.0108702 0.0108696
27 0 1 0 77 60 0 0 0
28 0 1 1 74 90 0.0135135 0.0122536 0.0121951
29 0 1 0 68 68 0 0 0
30 0 1 1 84 110 0.0119048 0.0104031 0.0103093
31 0 1 1 64 88 0.015625 0.013325 0.0131579
32 0 1 0 113 151 0 0 0
33 0 1 1 92 130 0.0108696 0.00914396 0.00900901
34 0 1 0 82 106 0 0 0
35 0 1 2 65 82 0.0307692 0.0273947 0.0272109
36 0 1 3 101 158 0.029703 0.0237483 0.023166
37 0 1 1 96 137 0.0104167 0.00871975 0.00858369
38 0 1 1 77 125 0.012987 0.0101929 0.00990099
39 0 1 0 74 105 0 0 0
40 0 1 1 103 163 0.00970874 0.00771769 0.0075188
41 0 1 0 104 142 0 0 0
42 0 1 1 84 121 0.0119048 0.009919 0.0097561
43 0 1 0 81 114 0 0 0
44 0 1 0 104 167 0 0 0
45 0 1 0 91 144 0 0 0
46 0 1 0 81 120 0 0 0
47 0 1 1 107 185 0.00934579 0.00710759 0.00684932
48 0 1 1 96 139 0.0104167 0.00865679 0.00851064
49 0 1 0 86 118 0 0 0
50 0 1 0 105 157 0 0 0
51 0 1 0 103 119 0 0 0
52 0 1 2 122 175 0.0163934 0.0136877 0.013468
53 0 1 1 100 128 0.01 0.00883884 0.00877193
54 0 1 1 106 149 0.00943396 0.00795708 0.00784314
55 0 1 2 85 103 0.0235294 0.0213748 0.0212766
56 0 1 4 100 133 0.04 0.0346844 0.0343348
57 0 1 4 91 107 0.043956 0.0405366 0.040404
