#frame chA chB nCorr nA nB MNR GNR DICE
5 0 1 0 24 110 0 0 0
6 0 1 0 31 122 0 0 0
7 0 1 0 25 113 0 0 0
8 0 1 0 19 119 0 0 0
9 0 1 1 21 113 0.047619 0.0205282 0.0149254
10 0 1 3 19 117 0.157895 0.0636285 0.0441176
11 0 1 6 22 117 0.272727 0.118262 0.0863309
12 0 1 5 22 113 0.227273 0.100281 0.0740741
13 0 1 7 19 104 0.368421 0.157472 0.113821
14 0 1 8 58 144 0.137931 0.0875376 0.0792079
15 0 1 7 47 125 0.148936 0.0913259 0.0813954
16 0 1 7 46 119 0.152174 0.0946119 0.0848485
17 0 1 8 43 113 0.186047 0.114767 0.102564
18 0 1 6 44 110 0.136364 0.0862439 0.0779221
19 0 1 11 39 94 0.282051 0.181676 0.165414
20 0 1 9 81 136 0.111111 0.0857493 0.0829493
21 0 1 9 71 112 0.126761 0.100926 0.0983607
22 0 1 4 69 104 0.057971 0.0472192 0.0462428
23 0 1 2 53 78 0.0377358 0.031106 0.0305344
24 0 1 0 70 85 0 0 0
25 0 1 3 54 57 0.0555556 0.0540738 0.0540541
26 0 1 1 70 74 0.0142857 0.0138943 0.0138889
27 0 1 1 53 58 0.0188679 0.0180363 0.018018
28 0 1 2 53 79 0.0377358 0.0309085 0.030303
29 0 1 0 46 57 0 0 0
30 0 1 2 67 63 0.031746 0.0307838 0.0307692
31 0 1 2 55 47 0.0425532 0.0393369 0.0392157
32 0 1 2 90 60 0.0333333 0.0272166 0.0266667
33 0 1 2 75 50 0.04 0.0326599 0.032
34 0 1 5 65 45 0.111111 0.09245 0.0909091
35 0 1 5 94 67 0.0746269 0.0630041 0.0621118
36 0 1 6 80 54 0.111111 0.0912871 0.0895522
37 0 1 7 124 85 0.0823529 0.0681833 0.0669856
38 0 1 7 107 76 0.0921053 0.0776246 0.0765027
39 0 1 8 100 62 0.129032 0.1016 0.0987654
40 0 1 8 84 56 0.142857 0.116642 0.114286
41 0 1 11 117 90 0.122222 0.107196 0.10628
42 0 1 7 103 66 0.106061 0.0849 0.0828402
43 0 1 9 86 48 0.1875 0.140079 0.134328
44 0 1 10 117 73 0.136986 0.108205 0.105263
45 0 1 7 102 66 0.106061 0.0853151 0.0833333
46 0 1 6 88 61 0.0983607 0.0818927 0.0805369
47 0 1 5 104 72 0.0694444 0.0577813 0.0568182
48 0 1 8 99 58 0.137931 0.105574 0.101911
49 0 1 5 121 82 0.0609756 0.0501961 0.0492611
50 0 1 5 94 70 0.0714286 0.0616392 0.0609756
51 0 1 9 131 92 0.0978261 0.081981 0.0807175
52 0 1 14 97 78 0.179487 0.160951 0.16
53 0 1 15 123 102 0.147059 0.133918 0.133333
54 0 1 16 104 91 0.175824 0.164468 0.164103
55 0 1 8 106 127 0.0754717 0.0689501 0.0686695
56 0 1 8 81 117 0.0987654 0.0821778 0.0808081
57 0 1 11 101 150 0.108911 0.0893689 0.0876494
58 0 1 8 86 124 0.0930233 0.0774693 0.0761905
59 0 1 11 99 162 0.111111 0.0868595 0.0842912
60 0 1 11 95 139 0.115789 0.0957246 0.0940171
61 0 1 15 86 145 0.174419 0.134325 0.12987
62 0 1 16 75 117 0.213333 0.170803 0.166667
63 0 1 19 94 171 0.202128 0.149862 0.143396
64 0 1 19 88 149 0.215909 0.165928 0.160338
65 0 1 25 77 150 0.324675 0.232621 0.220264
66 0 1 18 67 118 0.268657 0.202439 0.194595
67 0 1 23 71 149 0.323944 0.223617 0.209091
68 0 1 12 55 142 0.218182 0.135786 0.121827
69 0 1 17 49 126 0.346939 0.216354 0.194286
70 0 1 12 73 158 0.164384 0.111736 0.103896
71 0 1 15 65 144 0.230769 0.155043 0.143541
72 0 1 13 62 136 0.209677 0.141572 0.131313
73 0 1 14 57 113 0.245614 0.174442 0.164706
74 0 1 12 66 143 0.181818 0.123521 0.114833
75 0 1 14 67 121 0.208955 0.155488 0.148936
