#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 35 167 0 0 0
3 0 1 0 43 115 0 0 0
4 0 1 0 32 83 0 0 0
5 0 1 0 52 81 0 0 0
6 0 1 0 60 81 0 0 0
7 0 1 0 75 95 0 0 0
8 0 1 0 115 120 0 0 0
9 0 1 1 102 81 0.0123457 0.0110016 0.010929
10 0 1 4 130 127 0.0314961 0.0311305 0.0311284
11 0 1 4 101 95 0.0421053 0.0408355 0.0408163
12 0 1 3 144 133 0.0225564 0.0216777 0.0216607
13 0 1 2 126 109 0.0183486 0.017066 0.0170213
14 0 1 6 129 104 0.0576923 0.0518012 0.0515021
15 0 1 4 117 86 0.0465116 0.0398766 0.0394089
16 0 1 5 167 113 0.0442478 0.0363976 0.0357143
17 0 1 4 138 115 0.0347826 0.031752 0.0316206
18 0 1 6 138 82 0.0731707 0.0564033 0.0545455
19 0 1 3 171 114 0.0263158 0.0214868 0.0210526
20 0 1 3 142 89 0.0337079 0.0266859 0.025974
21 0 1 2 175 127 0.015748 0.0134156 0.013245
22 0 1 1 143 109 0.00917431 0.00800975 0.00793651
23 0 1 5 140 136 0.0367647 0.0362357 0.0362319
24 0 1 4 114 92 0.0434783 0.0390583 0.038835
25 0 1 5 111 119 0.045045 0.0435046 0.0434783
26 0 1 6 92 82 0.0731707 0.0690797 0.0689655
27 0 1 6 96 118 0.0625 0.0563735 0.0560748
28 0 1 2 77 103 0.025974 0.0224577 0.0222222
29 0 1 2 84 124 0.0238095 0.0195965 0.0192308
30 0 1 1 70 99 0.0142857 0.0120125 0.0118343
31 0 1 0 90 137 0 0 0
32 0 1 0 84 111 0 0 0
33 0 1 0 75 98 0 0 0
34 0 1 0 109 154 0 0 0
35 0 1 1 95 130 0.0105263 0.00899843 0.00888889
36 0 1 1 88 112 0.0113636 0.0100728 0.01
37 0 1 1 78 102 0.0128205 0.0112112 0.0111111
38 0 1 1 101 153 0.00990099 0.0080444 0.00787402
39 0 1 5 99 126 0.050505 0.0447679 0.0444444
40 0 1 2 87 100 0.0229885 0.0214423 0.0213904
41 0 1 4 112 140 0.0357143 0.0319438 0.031746
42 0 1 5 99 125 0.050505 0.0449467 0.0446429
43 0 1 2 89 97 0.0224719 0.0215253 0.0215054
44 0 1 1 117 164 0.00854701 0.00721913 0.00711744
45 0 1 0 105 118 0 0 0
46 0 1 1 94 108 0.0106383 0.00992486 0.00990099
47 0 1 1 113 133 0.00884956 0.00815708 0.00813008
48 0 1 2 100 106 0.02 0.0194257 0.0194175
49 0 1 5 134 147 0.0373134 0.0356253 0.0355872
50 0 1 3 99 127 0.030303 0.0267548 0.0265487
51 0 1 5 112 90 0.0555556 0.0498012 0.049505
52 0 1 2 107 110 0.0186916 0.0184349 0.0184332
53 0 1 5 99 88 0.0568182 0.0535687 0.0534759
54 0 1 5 106 116 0.0471698 0.0450908 0.045045
55 0 1 6 81 90 0.0740741 0.0702728 0.0701754
56 0 1 3 106 117 0.0283019 0.0269386 0.0269058
57 0 1 4 95 96 0.0421053 0.0418854 0.0418848
58 0 1 4 85 85 0.0470588 0.0470588 0.0470588
59 0 1 0 84 108 0 0 0
60 0 1 5 79 88 0.0632911 0.0599674 0.0598802
61 0 1 2 99 122 0.020202 0.0181984 0.0180995
62 0 1 6 84 108 0.0714286 0.0629941 0.0625
63 0 1 6 83 96 0.0722892 0.0672166 0.0670391
64 0 1 1 75 63 0.015873 0.0145479 0.0144928
65 0 1 4 84 105 0.047619 0.0425918 0.042328
66 0 1 5 67 85 0.0746269 0.0662557 0.0657895
67 0 1 4 64 84 0.0625 0.0545545 0.0540541
68 0 1 4 68 112 0.0588235 0.0458349 0.0444444
69 0 1 7 60 92 0.116667 0.0942168 0.0921053
70 0 1 2 84 130 0.0238095 0.019139 0.0186916
71 0 1 2 74 112 0.027027 0.0219687 0.0215054
72 0 1 1 64 96 0.015625 0.0127578 0.0125
73 0 1 1 80 125 0.0125 0.01 0.0097561
74 0 1 2 73 106 0.0273973 0.0227361 0.0223464
75 0 1 3 74 99 0.0405405 0.03505 0.0346821
76 0 1 3 58 75 0.0517241 0.0454859 0.0451128
77 0 1 0 73 93 0 0 0
78 0 1 1 55 72 0.0181818 0.015891 0.015748
79 0 1 0 90 124 0 0 0
80 0 1 0 65 92 0 0 0
81 0 1 1 42 60 0.0238095 0.0199205 0.0196078
82 0 1 1 72 74 0.0138889 0.0136999 0.0136986
83 0 1 1 61 68 0.0163934 0.0155268 0.0155039
84 0 1 2 52 53 0.0384615 0.038097 0.0380952
85 0 1 3 76 72 0.0416667 0.0405554 0.0405405
86 0 1 3 63 63 0.047619 0.047619 0.047619
87 0 1 4 48 38 0.105263 0.0936586 0.0930233
88 0 1 2 61 63 0.0327869 0.0322623 0.0322581
89 0 1 0 39 44 0 0 0
90 0 1 1 61 58 0.0172414 0.0168121 0.0168067
91 0 1 0 45 33 0 0 0
92 0 1 0 63 53 0 0 0
93 0 1 0 33 40 0 0 0
94 0 1 0 34 56 0 0 0
95 0 1 0 23 38 0 0 0
96 0 1 0 58 60 0 0 0
97 0 1 0 42 43 0 0 0
98 0 1 0 26 32 0 0 0
99 0 1 1 50 45 0.0222222 0.0210818 0.0210526
100 0 1 0 41 36 0 0 0
101 0 1 0 34 22 0 0 0
102 0 1 0 46 34 0 0 0
103 0 1 0 28 21 0 0 0
104 0 1 0 43 31 0 0 0
105 0 1 0 85 85 0 0 0
106 0 1 0 49 58 0 0 0
107 0 1 0 29 17 0 0 0
108 0 1 0 20 8 0 0 0
109 0 1 0 9 6 0 0 0
110 0 1 0 16 2 0 0 0
111 0 1 0 11 2 0 0 0
112 0 1 0 9 3 0 0 0
113 0 1 0 8 4 0 0 0
114 0 1 0 8 3 0 0 0
118 0 1 0 7 5 0 0 0
127 0 1 0 4 7 0 0 0
158 0 1 0 5 5 0 0 0
162 0 1 0 5 5 0 0 0
869 0 1 0 6 5 0 0 0
885 0 1 0 5 5 0 0 0
923 0 1 0 4 7 0 0 0

# ---------- Global Summary ----------
# CorrFrames: 120
avg_CorrEdges: 1.88333
avg_match_A: 74.4667
avg_match_B: 82.75
global_RI_MNR: 0.025291
global_RI_GNR: 0.0239918
global_RI_DICE: 0.0239584

# ---------- Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.88333 avgA: 74.4667 avgB: 82.75 MNR: 0.0223744 GNR: 0.0201467 DICE: 0.0199958
