#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 165 15 0 0 0
3 0 1 0 108 15 0 0 0
4 0 1 0 75 15 0 0 0
5 0 1 0 72 16 0 0 0
6 0 1 0 78 29 0 0 0
7 0 1 0 85 48 0 0 0
8 0 1 0 61 55 0 0 0
9 0 1 0 75 70 0 0 0
10 0 1 0 73 71 0 0 0
11 0 1 0 62 77 0 0 0
12 0 1 0 57 74 0 0 0
13 0 1 0 56 69 0 0 0
14 0 1 0 48 61 0 0 0
15 0 1 0 75 61 0 0 0
16 0 1 0 63 65 0 0 0
17 0 1 0 65 59 0 0 0
18 0 1 0 46 53 0 0 0
19 0 1 0 83 68 0 0 0
20 0 1 0 70 70 0 0 0
21 0 1 0 64 69 0 0 0
22 0 1 0 61 53 0 0 0
23 0 1 0 48 38 0 0 0
24 0 1 0 81 36 0 0 0
25 0 1 0 62 27 0 0 0
26 0 1 0 95 42 0 0 0
27 0 1 0 77 39 0 0 0
28 0 1 0 61 36 0 0 0
29 0 1 0 100 49 0 0 0
30 0 1 0 75 42 0 0 0
31 0 1 0 107 44 0 0 0
32 0 1 0 96 39 0 0 0
33 0 1 0 137 44 0 0 0
34 0 1 0 124 52 0 0 0
35 0 1 0 97 46 0 0 0
36 0 1 0 170 44 0 0 0
37 0 1 1 148 44 0.0227273 0.012392 0.0104167
38 0 1 1 126 36 0.0277778 0.0148478 0.0123457
39 0 1 2 173 47 0.0425532 0.0221798 0.0181818
40 0 1 1 136 40 0.025 0.0135582 0.0113636
41 0 1 2 195 68 0.0294118 0.0173683 0.0152091
42 0 1 0 158 68 0 0 0
43 0 1 0 131 58 0 0 0
44 0 1 0 170 69 0 0 0
45 0 1 0 141 57 0 0 0
46 0 1 0 158 46 0 0 0
47 0 1 1 194 65 0.0153846 0.00890518 0.00772201
48 0 1 0 151 58 0 0 0
49 0 1 0 173 51 0 0 0
50 0 1 0 142 50 0 0 0
51 0 1 0 151 49 0 0 0
52 0 1 0 176 63 0 0 0
53 0 1 0 141 56 0 0 0
54 0 1 0 143 46 0 0 0
55 0 1 0 114 38 0 0 0
56 0 1 0 120 44 0 0 0
57 0 1 0 94 45 0 0 0
58 0 1 0 122 44 0 0 0
59 0 1 0 102 41 0 0 0
60 0 1 0 117 37 0 0 0
61 0 1 0 101 38 0 0 0
62 0 1 0 142 52 0 0 0
63 0 1 0 129 61 0 0 0
64 0 1 0 91 45 0 0 0
65 0 1 0 122 53 0 0 0
66 0 1 0 104 60 0 0 0
67 0 1 0 90 57 0 0 0
68 0 1 0 110 56 0 0 0
69 0 1 0 84 59 0 0 0
70 0 1 0 126 53 0 0 0
71 0 1 0 104 40 0 0 0
72 0 1 0 135 50 0 0 0
73 0 1 0 114 38 0 0 0
74 0 1 0 138 40 0 0 0
75 0 1 0 119 43 0 0 0
76 0 1 0 140 49 0 0 0
77 0 1 0 108 44 0 0 0
78 0 1 0 145 45 0 0 0
79 0 1 0 106 42 0 0 0
80 0 1 0 125 39 0 0 0
81 0 1 0 78 40 0 0 0
82 0 1 0 119 38 0 0 0
83 0 1 0 85 36 0 0 0
84 0 1 0 110 40 0 0 0
85 0 1 0 79 38 0 0 0
86 0 1 0 94 39 0 0 0
87 0 1 0 118 50 0 0 0
88 0 1 0 77 38 0 0 0
89 0 1 0 75 47 0 0 0
90 0 1 0 93 47 0 0 0
91 0 1 0 92 56 0 0 0
92 0 1 0 98 54 0 0 0
93 0 1 0 89 62 0 0 0
94 0 1 0 100 51 0 0 0
95 0 1 0 84 41 0 0 0
96 0 1 0 100 46 0 0 0
97 0 1 0 103 47 0 0 0
98 0 1 0 91 47 0 0 0
99 0 1 0 115 34 0 0 0
100 0 1 0 152 34 0 0 0
101 0 1 0 137 24 0 0 0
102 0 1 0 146 22 0 0 0
103 0 1 0 115 27 0 0 0
104 0 1 0 119 30 0 0 0
105 0 1 0 136 46 0 0 0
106 0 1 0 74 28 0 0 0
107 0 1 0 55 30 0 0 0
108 0 1 0 42 16 0 0 0
109 0 1 0 50 15 0 0 0
110 0 1 0 47 18 0 0 0
111 0 1 0 67 26 0 0 0
112 0 1 0 99 34 0 0 0
113 0 1 0 79 30 0 0 0
114 0 1 0 131 24 0 0 0
115 0 1 0 148 20 0 0 0
116 0 1 0 174 30 0 0 0
117 0 1 0 197 38 0 0 0
118 0 1 0 230 49 0 0 0
119 0 1 0 221 41 0 0 0
120 0 1 0 241 33 0 0 0
121 0 1 0 272 30 0 0 0
122 0 1 0 253 33 0 0 0
123 0 1 0 182 38 0 0 0
124 0 1 0 174 59 0 0 0
125 0 1 0 129 34 0 0 0
126 0 1 0 175 36 0 0 0
127 0 1 0 120 25 0 0 0
128 0 1 0 178 19 0 0 0
129 0 1 0 122 15 0 0 0
130 0 1 0 155 22 0 0 0
131 0 1 0 109 21 0 0 0
132 0 1 0 138 46 0 0 0
