#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 160 36 0 0 0
3 0 1 0 126 33 0 0 0
4 0 1 0 123 29 0 0 0
5 0 1 0 127 31 0 0 0
6 0 1 0 160 38 0 0 0
7 0 1 0 129 30 0 0 0
8 0 1 0 153 38 0 0 0
9 0 1 0 120 25 0 0 0
10 0 1 0 136 37 0 0 0
11 0 1 0 158 52 0 0 0
12 0 1 1 187 70 0.0142857 0.00874038 0.0077821
13 0 1 0 146 62 0 0 0
14 0 1 0 169 61 0 0 0
15 0 1 0 169 70 0 0 0
16 0 1 0 145 70 0 0 0
17 0 1 0 203 81 0 0 0
18 0 1 0 219 89 0 0 0
19 0 1 0 243 95 0 0 0
20 0 1 0 204 69 0 0 0
21 0 1 0 229 64 0 0 0
22 0 1 0 197 60 0 0 0
23 0 1 0 252 74 0 0 0
24 0 1 0 269 65 0 0 0
25 0 1 0 282 57 0 0 0
26 0 1 0 307 67 0 0 0
27 0 1 0 239 62 0 0 0
28 0 1 1 271 55 0.0181818 0.00819094 0.00613497
29 0 1 1 283 60 0.0166667 0.00767417 0.0058309
30 0 1 1 287 73 0.0136986 0.00690872 0.00555556
31 0 1 0 273 63 0 0 0
32 0 1 0 261 71 0 0 0
33 0 1 1 266 69 0.0144928 0.00738133 0.00597015
34 0 1 2 310 89 0.0224719 0.0120408 0.0100251
35 0 1 0 335 88 0 0 0
36 0 1 0 354 83 0 0 0
37 0 1 0 366 92 0 0 0
38 0 1 0 356 96 0 0 0
39 0 1 1 411 95 0.0105263 0.00506078 0.00395257
40 0 1 1 410 106 0.00943396 0.00479684 0.00387597
41 0 1 2 425 100 0.02 0.00970142 0.00761905
42 0 1 1 432 102 0.00980392 0.00476385 0.00374532
43 0 1 2 395 104 0.0192308 0.00986767 0.00801603
44 0 1 1 346 87 0.0114943 0.00576371 0.00461894
45 0 1 1 297 92 0.0108696 0.00604962 0.00514139
46 0 1 0 335 114 0 0 0
47 0 1 2 318 100 0.02 0.0112154 0.00956938
48 0 1 1 312 106 0.00943396 0.00549882 0.00478469
49 0 1 0 232 96 0 0 0
50 0 1 0 253 92 0 0 0
51 0 1 0 317 115 0 0 0
52 0 1 0 326 120 0 0 0
53 0 1 1 340 112 0.00892857 0.0051245 0.00442478
54 0 1 0 341 119 0 0 0
55 0 1 1 377 113 0.00884956 0.00484496 0.00408163
56 0 1 3 406 113 0.0265487 0.0140062 0.0115607
57 0 1 0 409 96 0 0 0
58 0 1 4 424 105 0.0380952 0.0189576 0.0151229
59 0 1 3 447 115 0.026087 0.0132318 0.0106762
60 0 1 2 428 109 0.0183486 0.00925966 0.00744879
61 0 1 0 367 94 0 0 0
62 0 1 2 359 88 0.0227273 0.0112523 0.00894855
63 0 1 2 341 103 0.0194175 0.0106717 0.00900901
64 0 1 3 332 83 0.0361446 0.0180723 0.0144578
65 0 1 2 315 79 0.0253165 0.0126783 0.0101523
66 0 1 1 287 67 0.0149254 0.00721143 0.00564972
67 0 1 0 314 86 0 0 0
68 0 1 0 297 75 0 0 0
69 0 1 0 298 77 0 0 0
70 0 1 4 343 83 0.0481928 0.0237069 0.0187793
71 0 1 2 341 85 0.0235294 0.0117474 0.00938967
72 0 1 1 364 78 0.0128205 0.00593474 0.00452489
73 0 1 1 388 105 0.00952381 0.00495438 0.0040568
74 0 1 3 405 100 0.03 0.0149071 0.0118812
75 0 1 3 436 109 0.0275229 0.0137615 0.0110092
76 0 1 2 465 108 0.0185185 0.00892466 0.0069808
77 0 1 3 390 98 0.0306122 0.0153453 0.0122951
78 0 1 1 405 104 0.00961538 0.00487254 0.00392927
79 0 1 0 379 88 0 0 0
80 0 1 1 353 98 0.0102041 0.0053765 0.00443459
81 0 1 3 330 90 0.0333333 0.0174078 0.0142857
82 0 1 1 325 102 0.00980392 0.00549235 0.00468384
83 0 1 1 297 111 0.00900901 0.00550757 0.00490196
84 0 1 2 279 112 0.0178571 0.0113141 0.0102302
85 0 1 0 234 98 0 0 0
86 0 1 1 241 100 0.01 0.00644157 0.0058651
87 0 1 1 257 106 0.00943396 0.00605871 0.00550964
88 0 1 4 282 120 0.0333333 0.0217443 0.0199005
89 0 1 1 333 127 0.00787402 0.00486268 0.00434783
90 0 1 1 359 139 0.00719424 0.00447657 0.00401606
91 0 1 5 363 139 0.0359712 0.0222592 0.0199203
92 0 1 4 357 128 0.03125 0.018712 0.0164948
93 0 1 3 390 111 0.027027 0.0144187 0.011976
94 0 1 3 397 119 0.0252101 0.0138023 0.0116279
95 0 1 1 412 126 0.00793651 0.00438901 0.00371747
96 0 1 1 443 110 0.00909091 0.00453004 0.00361664
97 0 1 3 379 106 0.0283019 0.0149675 0.0123711
98 0 1 1 390 111 0.00900901 0.00480625 0.00399202
99 0 1 2 375 100 0.02 0.010328 0.00842105
100 0 1 2 385 109 0.0183486 0.00976307 0.00809717
101 0 1 3 358 94 0.0319149 0.0163537 0.0132743
102 0 1 1 361 88 0.0113636 0.00561055 0.00445434
103 0 1 1 344 75 0.0133333 0.00622573 0.00477327
104 0 1 0 311 80 0 0 0
105 0 1 3 289 80 0.0375 0.01973 0.0162602
106 0 1 2 308 89 0.0224719 0.0120798 0.0100756
107 0 1 0 328 84 0 0 0
108 0 1 2 352 95 0.0210526 0.010937 0.00894855
109 0 1 3 377 94 0.0319149 0.0159363 0.0127389
110 0 1 3 383 85 0.0352941 0.0166269 0.0128205
111 0 1 4 406 89 0.0449438 0.0210427 0.0161616
112 0 1 3 399 93 0.0322581 0.0155738 0.0121951
113 0 1 2 439 101 0.019802 0.00949811 0.00740741
114 0 1 3 446 100 0.03 0.0142054 0.010989
115 0 1 0 481 120 0 0 0
116 0 1 3 466 124 0.0241935 0.0124801 0.0101695
117 0 1 2 453 127 0.015748 0.00833833 0.00689655
118 0 1 3 437 115 0.026087 0.0133823 0.0108696
119 0 1 0 453 113 0 0 0
120 0 1 0 386 120 0 0 0
121 0 1 4 385 123 0.0325203 0.0183813 0.015748
122 0 1 3 362 123 0.0243902 0.0142172 0.0123711
123 0 1 1 367 129 0.00775194 0.00459592 0.00403226
124 0 1 1 343 119 0.00840336 0.00494971 0.004329
125 0 1 1 346 121 0.00826446 0.0048873 0.00428266
126 0 1 2 308 109 0.0183486 0.0109154 0.00959233
127 0 1 1 327 120 0.00833333 0.00504819 0.00447427
128 0 1 1 323 116 0.00862069 0.00516618 0.00455581
129 0 1 3 379 128 0.0234375 0.0136206 0.0118343
130 0 1 1 370 115 0.00869565 0.00484786 0.00412371
131 0 1 3 357 112 0.0267857 0.015003 0.0127932
132 0 1 3 359 109 0.0275229 0.0151656 0.0128205
133 0 1 2 335 95 0.0210526 0.011211 0.00930233
134 0 1 2 418 124 0.016129 0.00878478 0.00738007
135 0 1 4 405 120 0.0333333 0.0181444 0.0152381
136 0 1 3 382 109 0.0275229 0.014702 0.01222
137 0 1 0 348 93 0 0 0
138 0 1 2 393 111 0.018018 0.00957574 0.00793651
139 0 1 2 402 112 0.0178571 0.00942558 0.0077821
140 0 1 4 403 97 0.0412371 0.0202312 0.016
141 0 1 4 409 92 0.0434783 0.0206207 0.0159681
142 0 1 4 449 111 0.036036 0.0179174 0.0142857
143 0 1 7 451 116 0.0603448 0.0306042 0.0246914
144 0 1 6 433 117 0.0512821 0.0266572 0.0218182
145 0 1 3 450 123 0.0243902 0.0127515 0.0104712
146 0 1 3 434 112 0.0267857 0.0136072 0.010989
147 0 1 6 432 110 0.0545455 0.0275241 0.0221402
148 0 1 8 457 116 0.0689655 0.0347458 0.0279232
149 0 1 5 414 106 0.0471698 0.023868 0.0192308
150 0 1 8 463 130 0.0615385 0.0326083 0.0269815
151 0 1 1 442 135 0.00740741 0.00409376 0.0034662
152 0 1 3 390 135 0.0222222 0.0130744 0.0114286
153 0 1 2 411 136 0.0147059 0.0084594 0.00731261
154 0 1 5 353 142 0.0352113 0.0223326 0.020202
155 0 1 4 366 138 0.0289855 0.0177984 0.015873
156 0 1 2 320 129 0.0155039 0.00984374 0.00890869
157 0 1 6 260 115 0.0521739 0.0346989 0.032
158 0 1 1 263 111 0.00900901 0.00585276 0.00534759
159 0 1 1 241 111 0.00900901 0.00611406 0.00568182
160 0 1 0 255 114 0 0 0
161 0 1 4 235 116 0.0344828 0.0242269 0.022792
162 0 1 0 263 116 0 0 0
163 0 1 1 224 115 0.00869565 0.00623056 0.0058997
164 0 1 1 234 97 0.0103093 0.00663753 0.0060423
165 0 1 0 204 87 0 0 0
166 0 1 2 245 94 0.0212766 0.013179 0.0117994
167 0 1 3 228 88 0.0340909 0.0211793 0.0189873
168 0 1 3 249 87 0.0344828 0.0203827 0.0178571
169 0 1 4 253 97 0.0412371 0.0255337 0.0228571
170 0 1 3 231 82 0.0365854 0.0217976 0.0191693
171 0 1 2 280 85 0.0235294 0.0129641 0.0109589
172 0 1 2 292 92 0.0217391 0.0122024 0.0104167
173 0 1 2 297 91 0.021978 0.0121655 0.0103093
174 0 1 4 292 93 0.0430108 0.0242732 0.0207792
175 0 1 2 302 91 0.021978 0.0120644 0.0101781
176 0 1 4 317 97 0.0412371 0.022811 0.0193237
177 0 1 0 317 102 0 0 0
178 0 1 3 331 117 0.025641 0.0152445 0.0133929
179 0 1 2 322 119 0.0168067 0.0102171 0.00907029
180 0 1 4 310 122 0.0327869 0.0205683 0.0185185
181 0 1 5 304 125 0.04 0.0256495 0.02331
182 0 1 4 322 138 0.0289855 0.0189755 0.0173913
183 0 1 4 360 153 0.0261438 0.0170437 0.0155945
184 0 1 4 342 145 0.0275862 0.0179623 0.0164271
185 0 1 3 323 141 0.0212766 0.0140576 0.012931
186 0 1 7 315 134 0.0522388 0.0340714 0.0311804
187 0 1 6 328 132 0.0454545 0.0288355 0.026087
188 0 1 2 345 132 0.0151515 0.00937203 0.00838574
189 0 1 2 371 132 0.0151515 0.00903766 0.00795229
190 0 1 2 385 136 0.0147059 0.00874038 0.00767754
191 0 1 3 424 138 0.0217391 0.0124022 0.0106762
192 0 1 5 420 125 0.04 0.0218218 0.0183486
193 0 1 5 432 129 0.0387597 0.0211804 0.0178253
194 0 1 2 396 123 0.0162602 0.00906212 0.00770713
195 0 1 4 387 117 0.034188 0.018798 0.015873
196 0 1 5 359 109 0.0458716 0.0252761 0.0213675
197 0 1 9 352 122 0.0737705 0.0434301 0.0379747
198 0 1 4 311 115 0.0347826 0.021151 0.0187793
199 0 1 4 283 81 0.0493827 0.0264195 0.021978
200 0 1 6 310 84 0.0714286 0.0371818 0.0304569
201 0 1 3 271 85 0.0352941 0.0197664 0.0168539
202 0 1 4 236 71 0.056338 0.0309012 0.0260586
203 0 1 4 231 76 0.0526316 0.0301889 0.0260586
204 0 1 4 233 66 0.0606061 0.032256 0.0267559
205 0 1 3 250 71 0.0422535 0.0225176 0.0186916
206 0 1 2 222 69 0.0289855 0.0161595 0.0137457
207 0 1 3 243 78 0.0384615 0.0217907 0.0186916
208 0 1 0 211 78 0 0 0
