#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 523 164 0 0 0
3 0 1 0 387 151 0 0 0
4 0 1 0 298 125 0 0 0
5 0 1 0 266 138 0 0 0
6 0 1 5 272 140 0.0357143 0.0256225 0.0242718
7 0 1 2 271 146 0.0136986 0.0100547 0.00959233
8 0 1 3 241 173 0.017341 0.0146923 0.0144928
9 0 1 3 242 184 0.0163043 0.0142169 0.0140845
10 0 1 0 220 179 0 0 0
11 0 1 0 209 148 0 0 0
12 0 1 1 201 147 0.00680272 0.00581759 0.00574713
13 0 1 1 186 152 0.00657895 0.00594733 0.00591716
14 0 1 2 173 123 0.0162602 0.0137105 0.0135135
15 0 1 2 173 117 0.017094 0.0140577 0.0137931
16 0 1 3 178 113 0.0265487 0.021153 0.0206186
17 0 1 2 158 117 0.017094 0.0147099 0.0145455
18 0 1 1 141 122 0.00819672 0.00762448 0.00760456
19 0 1 0 131 123 0 0 0
20 0 1 0 106 114 0 0 0
21 0 1 0 101 106 0 0 0
22 0 1 0 99 104 0 0 0
23 0 1 0 70 76 0 0 0
24 0 1 0 115 96 0 0 0
25 0 1 0 79 78 0 0 0
26 0 1 2 126 92 0.0217391 0.0185759 0.0183486
27 0 1 2 91 82 0.0243902 0.0231527 0.0231214
28 0 1 1 109 94 0.0106383 0.00987922 0.00985222
29 0 1 1 83 85 0.0120482 0.0119056 0.0119048
30 0 1 0 130 97 0 0 0
31 0 1 0 93 77 0 0 0
32 0 1 0 128 98 0 0 0
33 0 1 0 96 73 0 0 0
34 0 1 2 120 109 0.0183486 0.0174874 0.0174672
35 0 1 2 77 95 0.025974 0.0233842 0.0232558
36 0 1 1 112 96 0.0104167 0.00964396 0.00961538
37 0 1 2 66 83 0.030303 0.0270221 0.0268456
38 0 1 1 88 91 0.0113636 0.0111748 0.0111732
39 0 1 0 59 81 0 0 0
40 0 1 0 77 97 0 0 0
41 0 1 1 80 106 0.0125 0.0108593 0.0107527
42 0 1 1 59 77 0.0169492 0.0148364 0.0147059
43 0 1 1 81 94 0.0123457 0.0114602 0.0114286
44 0 1 0 59 81 0 0 0
45 0 1 1 78 103 0.0128205 0.0111567 0.0110497
46 0 1 1 53 94 0.0188679 0.0141677 0.0136054
47 0 1 0 71 109 0 0 0
48 0 1 0 57 89 0 0 0
49 0 1 0 74 109 0 0 0
50 0 1 0 58 92 0 0 0
51 0 1 0 75 117 0 0 0
52 0 1 0 58 100 0 0 0
53 0 1 0 70 111 0 0 0
54 0 1 0 89 108 0 0 0
55 0 1 1 127 126 0.00793651 0.0079052 0.00790514
56 0 1 0 101 103 0 0 0
57 0 1 1 125 126 0.008 0.00796819 0.00796813
58 0 1 3 105 101 0.029703 0.0291317 0.0291262
59 0 1 2 136 118 0.0169492 0.0157877 0.015748
60 0 1 1 158 114 0.00877193 0.00745108 0.00735294
61 0 1 1 106 108 0.00943396 0.0093462 0.00934579
62 0 1 1 123 127 0.00813008 0.00800102 0.008
63 0 1 2 100 105 0.02 0.019518 0.0195122
64 0 1 1 115 117 0.00869565 0.00862101 0.00862069
65 0 1 2 141 132 0.0151515 0.01466 0.014652
66 0 1 3 172 151 0.0198676 0.0186152 0.0185759
67 0 1 4 208 178 0.0224719 0.0207883 0.0207254
68 0 1 2 137 151 0.0145985 0.0139053 0.0138889
69 0 1 2 170 173 0.0117647 0.0116623 0.0116618
70 0 1 2 118 140 0.0169492 0.0155606 0.0155039
71 0 1 2 145 150 0.0137931 0.0135613 0.0135593
72 0 1 0 149 150 0 0 0
73 0 1 0 155 154 0 0 0
74 0 1 0 122 137 0 0 0
75 0 1 2 159 141 0.0141844 0.0133574 0.0133333
76 0 1 3 119 116 0.0258621 0.025534 0.0255319
77 0 1 2 82 71 0.028169 0.0262116 0.0261438
78 0 1 2 95 96 0.0210526 0.0209427 0.0209424
79 0 1 3 75 77 0.04 0.0394771 0.0394737
80 0 1 1 95 83 0.0120482 0.0112616 0.011236
81 0 1 1 61 67 0.0163934 0.0156422 0.015625
82 0 1 0 96 78 0 0 0
83 0 1 0 78 62 0 0 0
84 0 1 0 114 72 0 0 0
85 0 1 0 80 67 0 0 0
86 0 1 1 101 74 0.0135135 0.0115671 0.0114286
87 0 1 0 87 66 0 0 0
88 0 1 1 116 87 0.0114943 0.00995431 0.00985222
89 0 1 0 100 78 0 0 0
90 0 1 1 126 106 0.00943396 0.0086529 0.00862069
91 0 1 1 97 87 0.0114943 0.0108857 0.0108696
92 0 1 1 107 111 0.00934579 0.00917586 0.00917431
93 0 1 0 90 116 0 0 0
94 0 1 1 136 131 0.00763359 0.00749195 0.00749064
95 0 1 2 100 117 0.02 0.01849 0.0184332
96 0 1 3 132 146 0.0227273 0.0216102 0.0215827
97 0 1 3 94 136 0.0319149 0.0265331 0.026087
98 0 1 3 125 153 0.024 0.021693 0.0215827
99 0 1 3 107 141 0.0280374 0.0244242 0.0241935
100 0 1 2 130 176 0.0153846 0.0132221 0.0130719
101 0 1 1 106 148 0.00943396 0.00798392 0.00787402
102 0 1 3 133 171 0.0225564 0.0198929 0.0197368
103 0 1 2 99 139 0.020202 0.0170492 0.0168067
104 0 1 2 131 174 0.0152672 0.0132471 0.0131148
105 0 1 2 104 148 0.0192308 0.0161206 0.015873
106 0 1 1 152 182 0.00657895 0.00601233 0.00598802
107 0 1 1 119 152 0.00840336 0.00743541 0.00738007
108 0 1 1 142 198 0.00704225 0.0059638 0.00588235
109 0 1 0 115 145 0 0 0
110 0 1 2 170 183 0.0117647 0.0113391 0.0113314
111 0 1 0 125 154 0 0 0
112 0 1 3 95 131 0.0315789 0.026892 0.0265487
113 0 1 1 123 150 0.00813008 0.0073621 0.00732601
114 0 1 0 86 115 0 0 0
115 0 1 0 129 125 0 0 0
116 0 1 0 94 111 0 0 0
117 0 1 1 136 121 0.00826446 0.00779539 0.0077821
118 0 1 0 94 91 0 0 0
119 0 1 0 74 82 0 0 0
120 0 1 0 57 61 0 0 0
121 0 1 0 86 70 0 0 0
122 0 1 0 65 62 0 0 0
123 0 1 0 85 89 0 0 0
124 0 1 0 62 69 0 0 0
125 0 1 0 106 104 0 0 0
126 0 1 0 73 93 0 0 0
127 0 1 0 60 71 0 0 0
128 0 1 0 85 91 0 0 0
129 0 1 0 62 79 0 0 0
130 0 1 1 85 109 0.0117647 0.0103891 0.0103093
131 0 1 2 69 96 0.0289855 0.0245737 0.0242424
132 0 1 3 111 125 0.027027 0.0254686 0.0254237
133 0 1 5 86 117 0.0581395 0.0498457 0.0492611
134 0 1 6 74 99 0.0810811 0.0701 0.0693642
135 0 1 3 104 127 0.0288462 0.0261037 0.025974
136 0 1 0 111 108 0 0 0
137 0 1 3 94 95 0.0319149 0.0317465 0.031746
138 0 1 2 129 101 0.019802 0.0175216 0.0173913
139 0 1 4 129 104 0.0384615 0.0345341 0.0343348
140 0 1 4 99 93 0.0430108 0.041687 0.0416667
141 0 1 0 160 105 0 0 0
142 0 1 3 130 99 0.030303 0.0264443 0.0262009
143 0 1 2 110 96 0.0208333 0.0194625 0.0194175
144 0 1 0 158 119 0 0 0
145 0 1 1 126 102 0.00980392 0.00882094 0.00877193
146 0 1 0 156 134 0 0 0
147 0 1 2 128 106 0.0188679 0.0171701 0.017094
148 0 1 3 163 136 0.0220588 0.0201492 0.0200669
149 0 1 5 121 112 0.0446429 0.0429505 0.0429185
150 0 1 3 161 138 0.0217391 0.0201265 0.0200669
151 0 1 3 122 120 0.025 0.0247942 0.0247934
152 0 1 4 191 129 0.0310078 0.0254829 0.025
153 0 1 3 135 126 0.0238095 0.0230022 0.0229885
154 0 1 3 167 141 0.0212766 0.0195503 0.0194805
155 0 1 4 128 112 0.0357143 0.0334077 0.0333333
156 0 1 0 79 60 0 0 0
157 0 1 1 119 71 0.0140845 0.0108792 0.0105263
158 0 1 3 101 74 0.0405405 0.0347012 0.0342857
159 0 1 2 139 87 0.0229885 0.0181871 0.0176991
160 0 1 2 111 79 0.0253165 0.0213577 0.0210526
161 0 1 2 174 110 0.0181818 0.0144564 0.0140845
162 0 1 2 141 100 0.02 0.016843 0.0165975
163 0 1 2 100 78 0.025641 0.0226455 0.0224719
164 0 1 4 160 106 0.0377358 0.0307148 0.0300752
165 0 1 4 116 91 0.043956 0.0389323 0.0386473
166 0 1 1 98 81 0.0123457 0.0112239 0.0111732
167 0 1 2 155 118 0.0169492 0.0147885 0.014652
168 0 1 3 114 95 0.0315789 0.0288275 0.0287081
169 0 1 0 81 88 0 0 0
170 0 1 1 148 110 0.00909091 0.00783741 0.00775194
171 0 1 2 118 104 0.0192308 0.018054 0.018018
172 0 1 0 96 93 0 0 0
173 0 1 1 155 130 0.00769231 0.0070447 0.00701754
