#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 524 384 0 0 0
3 0 1 0 389 328 0 0 0
4 0 1 0 297 268 0 0 0
5 0 1 0 262 295 0 0 0
6 0 1 12 275 282 0.0436364 0.0430914 0.043088
7 0 1 20 267 279 0.0749064 0.0732778 0.0732601
8 0 1 10 247 282 0.0404858 0.0378902 0.0378072
9 0 1 13 242 287 0.053719 0.0493281 0.0491493
10 0 1 11 225 269 0.0488889 0.0447121 0.0445344
11 0 1 10 207 238 0.0483092 0.0450533 0.0449438
12 0 1 12 204 242 0.0588235 0.054008 0.0538117
13 0 1 14 195 270 0.0717949 0.0610139 0.0602151
14 0 1 13 183 259 0.0710383 0.0597129 0.0588235
15 0 1 7 178 267 0.0393258 0.0321094 0.0314607
16 0 1 7 115 192 0.0608696 0.0471084 0.0456026
17 0 1 6 123 199 0.0487805 0.0383506 0.0372671
18 0 1 4 121 209 0.0330578 0.0251533 0.0242424
19 0 1 6 81 155 0.0740741 0.053548 0.0508475
20 0 1 4 82 175 0.0487805 0.0333914 0.0311284
21 0 1 2 57 136 0.0350877 0.0227155 0.0207254
22 0 1 4 64 179 0.0625 0.0373718 0.0329218
23 0 1 3 49 134 0.0612245 0.0370229 0.0327869
24 0 1 6 88 168 0.0681818 0.0493464 0.046875
25 0 1 3 62 137 0.0483871 0.0325511 0.0301508
26 0 1 2 106 178 0.0188679 0.0145602 0.0140845
27 0 1 4 83 145 0.0481928 0.0364617 0.0350877
28 0 1 6 58 117 0.103448 0.0728357 0.0685714
29 0 1 4 90 169 0.0444444 0.0324336 0.030888
30 0 1 2 63 123 0.031746 0.0227199 0.0215054
31 0 1 4 116 178 0.0344828 0.0278369 0.0272109
32 0 1 2 82 135 0.0243902 0.0190089 0.0184332
33 0 1 7 71 105 0.0985916 0.0810726 0.0795455
34 0 1 6 91 145 0.0659341 0.0522332 0.0508475
35 0 1 9 64 103 0.140625 0.11085 0.107784
36 0 1 3 92 148 0.0326087 0.0257097 0.025
37 0 1 5 60 107 0.0833333 0.0624026 0.0598802
38 0 1 5 83 161 0.060241 0.0432532 0.0409836
39 0 1 4 57 118 0.0701754 0.0487732 0.0457143
40 0 1 4 77 146 0.0519481 0.0377258 0.0358744
41 0 1 2 53 109 0.0377358 0.0263135 0.0246914
42 0 1 4 72 144 0.0555556 0.0392837 0.037037
43 0 1 2 49 119 0.0408163 0.0261914 0.0238095
44 0 1 4 86 146 0.0465116 0.0356972 0.0344828
45 0 1 5 70 108 0.0714286 0.0575055 0.0561798
46 0 1 6 79 158 0.0759494 0.0537043 0.0506329
47 0 1 5 60 137 0.0833333 0.0551485 0.0507614
48 0 1 6 45 118 0.133333 0.0823387 0.0736196
49 0 1 7 79 138 0.0886076 0.0670417 0.0645161
50 0 1 8 58 114 0.137931 0.0983838 0.0930233
51 0 1 4 80 130 0.05 0.0392232 0.0380952
52 0 1 3 68 120 0.0441176 0.0332106 0.0319149
53 0 1 4 51 104 0.0784314 0.0549235 0.0516129
54 0 1 1 69 140 0.0144928 0.0101745 0.00956938
55 0 1 2 52 111 0.0384615 0.0263249 0.0245399
56 0 1 2 55 95 0.0363636 0.0276686 0.0266667
57 0 1 0 79 157 0 0 0
58 0 1 1 72 124 0.0138889 0.0105833 0.0102041
59 0 1 0 60 104 0 0 0
60 0 1 1 91 163 0.010989 0.0082108 0.00787402
61 0 1 3 66 126 0.0454545 0.0328976 0.03125
62 0 1 3 110 169 0.0272727 0.022003 0.0215054
63 0 1 3 87 150 0.0344828 0.0262613 0.0253165
64 0 1 2 61 124 0.0327869 0.0229961 0.0216216
65 0 1 2 123 163 0.0162602 0.0141248 0.013986
66 0 1 2 82 141 0.0243902 0.0186 0.0179372
67 0 1 2 142 192 0.0140845 0.0121125 0.011976
68 0 1 0 95 151 0 0 0
69 0 1 2 143 212 0.013986 0.0114867 0.0112676
70 0 1 3 91 164 0.032967 0.0245572 0.0235294
71 0 1 4 134 207 0.0298507 0.0240172 0.0234604
72 0 1 2 94 163 0.0212766 0.0161574 0.0155642
73 0 1 1 116 190 0.00862069 0.00673588 0.00653595
74 0 1 1 90 157 0.0111111 0.00841257 0.00809717
75 0 1 4 131 206 0.0305344 0.0243495 0.0237389
76 0 1 4 93 171 0.0430108 0.0317191 0.030303
77 0 1 5 124 226 0.0403226 0.0298679 0.0285714
78 0 1 4 92 191 0.0434783 0.0301751 0.0282686
79 0 1 5 121 205 0.0413223 0.0317468 0.0306748
