#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 324 80 0 0 0
3 0 1 0 276 145 0 0 0
4 0 1 0 250 280 0 0 0
5 0 1 0 189 245 0 0 0
6 0 1 0 204 364 0 0 0
7 0 1 0 143 295 0 0 0
8 0 1 0 156 367 0 0 0
9 0 1 0 118 329 0 0 0
10 0 1 0 157 389 0 0 0
11 0 1 0 107 309 0 0 0
12 0 1 0 130 349 0 0 0
13 0 1 1 94 310 0.0106383 0.00585808 0.00495049
14 0 1 0 110 324 0 0 0
15 0 1 1 76 299 0.0131579 0.00663373 0.00533333
16 0 1 1 103 331 0.00970874 0.00541586 0.00460829
17 0 1 0 58 262 0 0 0
18 0 1 0 79 322 0 0 0
19 0 1 0 56 253 0 0 0
20 0 1 0 65 325 0 0 0
21 0 1 1 52 241 0.0192308 0.00893284 0.00682594
22 0 1 1 63 301 0.015873 0.00726184 0.00549451
23 0 1 1 48 278 0.0208333 0.00865679 0.00613497
24 0 1 0 37 213 0 0 0
25 0 1 1 83 285 0.0120482 0.00650187 0.00543478
26 0 1 0 70 268 0 0 0
27 0 1 1 61 229 0.0163934 0.00846092 0.00689655
28 0 1 0 53 185 0 0 0
29 0 1 1 88 232 0.0113636 0.00699866 0.00625
30 0 1 0 66 207 0 0 0
31 0 1 0 50 186 0 0 0
32 0 1 0 94 230 0 0 0
33 0 1 0 66 225 0 0 0
34 0 1 0 55 192 0 0 0
35 0 1 0 87 225 0 0 0
36 0 1 0 67 214 0 0 0
37 0 1 0 46 175 0 0 0
38 0 1 1 68 196 0.0147059 0.00866199 0.00757576
39 0 1 0 48 185 0 0 0
40 0 1 0 77 213 0 0 0
41 0 1 0 51 229 0 0 0
42 0 1 0 40 197 0 0 0
43 0 1 0 54 261 0 0 0
44 0 1 0 56 252 0 0 0
45 0 1 0 48 229 0 0 0
46 0 1 0 35 219 0 0 0
47 0 1 0 51 236 0 0 0
48 0 1 0 39 241 0 0 0
49 0 1 0 37 216 0 0 0
50 0 1 0 55 244 0 0 0
51 0 1 0 45 254 0 0 0
52 0 1 0 42 222 0 0 0
53 0 1 0 36 186 0 0 0
54 0 1 0 55 214 0 0 0
55 0 1 0 41 209 0 0 0
56 0 1 0 41 205 0 0 0
57 0 1 0 30 174 0 0 0
58 0 1 0 66 257 0 0 0
59 0 1 0 61 258 0 0 0
60 0 1 0 50 258 0 0 0
61 0 1 0 34 219 0 0 0
62 0 1 0 42 192 0 0 0
63 0 1 0 27 158 0 0 0
64 0 1 0 56 190 0 0 0
65 0 1 0 47 188 0 0 0
66 0 1 0 42 178 0 0 0
67 0 1 0 33 158 0 0 0
68 0 1 0 74 199 0 0 0
69 0 1 0 66 208 0 0 0
70 0 1 0 53 206 0 0 0
71 0 1 0 54 184 0 0 0
72 0 1 0 39 160 0 0 0
73 0 1 0 56 212 0 0 0
74 0 1 0 47 214 0 0 0
75 0 1 0 38 209 0 0 0
76 0 1 0 37 182 0 0 0
77 0 1 0 27 187 0 0 0
78 0 1 0 26 144 0 0 0
79 0 1 0 42 169 0 0 0
80 0 1 0 41 173 0 0 0
81 0 1 0 30 154 0 0 0
82 0 1 0 29 147 0 0 0
83 0 1 0 61 193 0 0 0
84 0 1 0 46 171 0 0 0
85 0 1 0 38 162 0 0 0
86 0 1 0 37 133 0 0 0
87 0 1 0 68 187 0 0 0
88 0 1 0 41 192 0 0 0
89 0 1 0 46 173 0 0 0
90 0 1 0 34 163 0 0 0
91 0 1 0 27 151 0 0 0
92 0 1 0 66 260 0 0 0
93 0 1 0 49 267 0 0 0
94 0 1 0 48 249 0 0 0
95 0 1 0 40 233 0 0 0
96 0 1 0 33 178 0 0 0
97 0 1 0 31 148 0 0 0
98 0 1 0 53 213 0 0 0
99 0 1 0 45 190 0 0 0
100 0 1 0 41 171 0 0 0
101 0 1 0 39 138 0 0 0
102 0 1 0 67 229 0 0 0
103 0 1 0 62 224 0 0 0
104 0 1 0 47 213 0 0 0
105 0 1 0 42 186 0 0 0
106 0 1 0 34 158 0 0 0
107 0 1 0 75 241 0 0 0
108 0 1 0 58 233 0 0 0
109 0 1 0 52 202 0 0 0
110 0 1 0 49 174 0 0 0
111 0 1 0 44 147 0 0 0
112 0 1 0 75 222 0 0 0
113 0 1 0 63 230 0 0 0
114 0 1 0 57 214 0 0 0
115 0 1 0 46 182 0 0 0
116 0 1 0 37 167 0 0 0
117 0 1 0 39 156 0 0 0
118 0 1 0 61 208 0 0 0
119 0 1 0 54 209 0 0 0
120 0 1 0 50 181 0 0 0
121 0 1 0 37 174 0 0 0
122 0 1 0 35 150 0 0 0
123 0 1 0 60 174 0 0 0
124 0 1 0 43 161 0 0 0
125 0 1 0 40 142 0 0 0
126 0 1 0 70 187 0 0 0
127 0 1 0 55 189 0 0 0
128 0 1 0 44 166 0 0 0
129 0 1 0 38 150 0 0 0
130 0 1 0 49 165 0 0 0
131 0 1 0 43 172 0 0 0
132 0 1 0 37 168 0 0 0
133 0 1 0 78 231 0 0 0
134 0 1 0 56 246 0 0 0
135 0 1 0 56 201 0 0 0
136 0 1 0 47 185 0 0 0
137 0 1 0 45 174 0 0 0
138 0 1 0 92 219 0 0 0
139 0 1 0 84 215 0 0 0
140 0 1 0 68 212 0 0 0
141 0 1 0 53 173 0 0 0
142 0 1 0 105 237 0 0 0
143 0 1 1 85 248 0.0117647 0.00688755 0.00600601
144 0 1 0 71 239 0 0 0
145 0 1 1 64 226 0.015625 0.00831488 0.00689655
146 0 1 0 61 189 0 0 0
147 0 1 1 92 245 0.0108696 0.00666075 0.00593472
148 0 1 1 68 231 0.0147059 0.00797884 0.00668896
149 0 1 1 63 212 0.015873 0.0086529 0.00727273
150 0 1 0 97 259 0 0 0
151 0 1 0 80 258 0 0 0
152 0 1 0 61 237 0 0 0
153 0 1 0 122 312 0 0 0
154 0 1 2 95 285 0.0210526 0.0121547 0.0105263
155 0 1 0 78 275 0 0 0
156 0 1 0 59 246 0 0 0
157 0 1 1 116 248 0.00862069 0.00589583 0.00549451
158 0 1 2 104 218 0.0192308 0.0132827 0.0124224
159 0 1 3 147 291 0.0204082 0.0145049 0.0136986
160 0 1 1 116 268 0.00862069 0.00567157 0.00520833
161 0 1 3 108 230 0.0277778 0.0190347 0.0177515
162 0 1 1 169 293 0.00591716 0.00449389 0.004329
163 0 1 2 133 288 0.0150376 0.010219 0.00950119
164 0 1 2 106 248 0.0188679 0.0123353 0.0112994
165 0 1 2 159 281 0.0125786 0.0094619 0.00909091
166 0 1 2 115 272 0.0173913 0.0113083 0.0103359
167 0 1 5 98 220 0.0510204 0.0340522 0.0314465
