#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 119 358 0 0 0
3 0 1 0 141 299 0 0 0
4 0 1 0 127 263 0 0 0
5 0 1 0 133 281 0 0 0
6 0 1 4 157 320 0.0254777 0.0178458 0.0167715
7 0 1 4 115 205 0.0347826 0.0260516 0.025
8 0 1 2 157 242 0.0127389 0.0102606 0.0100251
9 0 1 1 126 171 0.00793651 0.00681266 0.00673401
10 0 1 6 134 227 0.0447761 0.0344022 0.033241
11 0 1 5 111 157 0.045045 0.0378755 0.0373134
12 0 1 12 129 211 0.0930233 0.0727353 0.0705882
13 0 1 11 99 165 0.111111 0.0860663 0.0833333
14 0 1 11 115 173 0.0956522 0.0779867 0.0763889
15 0 1 8 86 116 0.0930233 0.0800962 0.0792079
16 0 1 10 91 131 0.10989 0.0915891 0.0900901
17 0 1 5 73 86 0.0684932 0.0631044 0.0628931
18 0 1 5 82 146 0.0609756 0.0456969 0.0438596
19 0 1 5 66 93 0.0757576 0.06382 0.0628931
20 0 1 2 85 119 0.0235294 0.019886 0.0196078
21 0 1 2 76 93 0.0263158 0.0237893 0.0236686
22 0 1 1 84 109 0.0119048 0.0104507 0.0103627
23 0 1 2 67 85 0.0298507 0.0265023 0.0263158
24 0 1 3 82 154 0.0365854 0.0266965 0.0254237
25 0 1 4 73 129 0.0547945 0.0412196 0.039604
26 0 1 12 64 102 0.1875 0.148522 0.144578
27 0 1 5 71 174 0.0704225 0.0449848 0.0408163
28 0 1 6 64 129 0.09375 0.0660338 0.0621762
29 0 1 9 102 177 0.0882353 0.0669816 0.0645161
30 0 1 4 90 135 0.0444444 0.0362887 0.0355556
31 0 1 2 64 112 0.03125 0.0236228 0.0227273
32 0 1 1 73 168 0.0136986 0.00902992 0.00829876
33 0 1 2 64 115 0.03125 0.0233126 0.0223464
34 0 1 1 98 165 0.0102041 0.00786403 0.00760456
35 0 1 4 74 124 0.0540541 0.0417574 0.040404
36 0 1 0 94 136 0 0 0
37 0 1 0 82 116 0 0 0
38 0 1 2 94 155 0.0212766 0.0165692 0.0160643
39 0 1 2 73 105 0.0273973 0.0228441 0.0224719
40 0 1 1 61 160 0.0163934 0.0101222 0.00904977
41 0 1 2 58 125 0.0344828 0.0234888 0.0218579
42 0 1 1 59 142 0.0169492 0.0109252 0.00995025
43 0 1 1 48 113 0.0208333 0.0135781 0.0124224
44 0 1 2 60 160 0.0333333 0.0204124 0.0181818
45 0 1 2 53 115 0.0377358 0.0256179 0.0238095
46 0 1 2 70 155 0.0285714 0.0192006 0.0177778
47 0 1 2 62 121 0.0322581 0.0230909 0.0218579
48 0 1 1 75 153 0.0133333 0.0093352 0.00877193
49 0 1 1 56 141 0.0178571 0.0112537 0.0101523
50 0 1 2 62 172 0.0322581 0.0193673 0.017094
51 0 1 2 59 135 0.0338983 0.0224098 0.0206186
52 0 1 4 73 172 0.0547945 0.0356972 0.0326531
53 0 1 6 57 131 0.105263 0.069435 0.0638298
54 0 1 5 71 192 0.0704225 0.0428243 0.0380228
55 0 1 3 63 152 0.047619 0.030657 0.027907
56 0 1 3 63 143 0.047619 0.031607 0.0291262
57 0 1 2 53 110 0.0377358 0.0261936 0.0245399
58 0 1 3 70 156 0.0428571 0.0287085 0.0265487
59 0 1 3 59 130 0.0508475 0.034255 0.031746
60 0 1 2 53 121 0.0377358 0.0249746 0.0229885
61 0 1 1 77 182 0.012987 0.00844732 0.00772201
62 0 1 0 67 153 0 0 0
