#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 48 65 0 0 0
3 0 1 0 59 133 0 0 0
4 0 1 0 43 121 0 0 0
5 0 1 0 29 94 0 0 0
6 0 1 0 80 224 0 0 0
7 0 1 1 62 215 0.016129 0.00866134 0.00722022
8 0 1 1 53 175 0.0188679 0.0103835 0.00877193
9 0 1 1 44 138 0.0227273 0.0128332 0.010989
10 0 1 2 32 101 0.0625 0.0351799 0.0300752
11 0 1 5 46 173 0.108696 0.056049 0.0456621
12 0 1 4 36 161 0.111111 0.0525407 0.0406091
13 0 1 4 34 128 0.117647 0.0606339 0.0493827
14 0 1 2 28 85 0.0714286 0.040996 0.0353982
15 0 1 7 42 157 0.166667 0.0862032 0.0703518
16 0 1 8 26 136 0.307692 0.134535 0.0987654
17 0 1 9 20 108 0.45 0.193649 0.140625
18 0 1 0 14 80 0 0 0
19 0 1 0 21 127 0 0 0
20 0 1 2 14 131 0.142857 0.0467014 0.0275862
21 0 1 6 15 91 0.4 0.1624 0.113208
22 0 1 3 14 64 0.214286 0.100223 0.0769231
23 0 1 5 21 116 0.238095 0.101305 0.0729927
24 0 1 5 25 110 0.2 0.0953463 0.0740741
25 0 1 7 21 87 0.333333 0.163768 0.12963
26 0 1 5 24 69 0.208333 0.122868 0.107527
27 0 1 2 17 50 0.117647 0.0685994 0.0597015
28 0 1 4 28 97 0.142857 0.076753 0.064
29 0 1 3 27 84 0.111111 0.0629941 0.0540541
30 0 1 3 25 72 0.12 0.0707107 0.0618557
31 0 1 1 21 54 0.047619 0.0296957 0.0266667
32 0 1 4 14 45 0.285714 0.159364 0.135593
33 0 1 3 24 71 0.125 0.0726752 0.0631579
34 0 1 2 20 76 0.1 0.0512989 0.0416667
35 0 1 3 17 73 0.176471 0.0851599 0.0666667
36 0 1 0 14 52 0 0 0
37 0 1 0 7 33 0 0 0
38 0 1 0 12 50 0 0 0
39 0 1 0 31 88 0 0 0
40 0 1 0 24 80 0 0 0
41 0 1 0 13 62 0 0 0
42 0 1 0 25 103 0 0 0
43 0 1 0 19 114 0 0 0
44 0 1 0 16 112 0 0 0
45 0 1 0 12 109 0 0 0
46 0 1 0 12 82 0 0 0
47 0 1 1 38 146 0.0263158 0.0134255 0.0108696
48 0 1 0 34 144 0 0 0
