#frame chA chB nCorr nA nB MNR GNR DICE
5 0 1 0 118 309 0 0 0
6 0 1 0 119 339 0 0 0
7 0 1 0 116 312 0 0 0
8 0 1 0 105 280 0 0 0
9 0 1 7 118 426 0.059322 0.0312214 0.0257353
10 0 1 9 104 430 0.0865385 0.042559 0.0337079
11 0 1 8 88 405 0.0909091 0.0423761 0.0324544
12 0 1 9 75 332 0.12 0.0570352 0.044226
13 0 1 7 66 295 0.106061 0.0501666 0.0387812
14 0 1 9 71 433 0.126761 0.0513298 0.0357143
15 0 1 13 69 423 0.188406 0.0760937 0.0528455
16 0 1 12 70 363 0.171429 0.0752799 0.0554273
17 0 1 20 66 303 0.30303 0.141428 0.108401
18 0 1 17 61 255 0.278689 0.136306 0.107595
19 0 1 15 77 403 0.194805 0.0851517 0.0625
20 0 1 23 76 379 0.302632 0.135519 0.101099
21 0 1 16 70 369 0.228571 0.0995538 0.0728929
22 0 1 17 64 321 0.265625 0.118606 0.0883117
23 0 1 22 63 268 0.349206 0.169311 0.132931
24 0 1 21 60 226 0.35 0.180339 0.146853
25 0 1 11 104 373 0.105769 0.0558498 0.0461216
26 0 1 5 98 342 0.0510204 0.0273114 0.0227273
27 0 1 7 82 299 0.0853659 0.0447049 0.0367454
28 0 1 8 53 240 0.150943 0.0709327 0.0546075
29 0 1 5 68 275 0.0735294 0.0365636 0.0291545
30 0 1 1 34 222 0.0294118 0.0115102 0.0078125
31 0 1 1 34 235 0.0294118 0.0111873 0.00743494
32 0 1 0 33 260 0 0 0
33 0 1 0 27 210 0 0 0
34 0 1 1 36 246 0.0277778 0.0106263 0.0070922
35 0 1 2 33 236 0.0606061 0.022663 0.0148699
36 0 1 2 27 211 0.0740741 0.0264976 0.0168067
37 0 1 2 24 177 0.0833333 0.0306858 0.0199005
38 0 1 3 47 264 0.0638298 0.0269321 0.0192926
39 0 1 4 40 278 0.1 0.0379322 0.0251572
40 0 1 4 39 253 0.102564 0.0402687 0.0273973
41 0 1 1 26 199 0.0384615 0.0139023 0.00888889
42 0 1 0 21 167 0 0 0
