#frame chA chB nCorr nA nB MNR GNR DICE
3 0 1 0 268 70 0 0 0
4 0 1 0 249 71 0 0 0
5 0 1 0 213 62 0 0 0
6 0 1 0 198 66 0 0 0
7 0 1 1 225 97 0.0103093 0.00676897 0.00621118
8 0 1 1 180 77 0.012987 0.00849412 0.0077821
9 0 1 2 208 150 0.0133333 0.0113228 0.0111732
10 0 1 0 173 141 0 0 0
11 0 1 4 162 115 0.0347826 0.0293058 0.0288809
12 0 1 2 164 139 0.0143885 0.0132465 0.0132013
13 0 1 2 133 104 0.0192308 0.0170054 0.0168776
14 0 1 4 160 127 0.0314961 0.0280607 0.0278746
15 0 1 3 120 82 0.0365854 0.0302429 0.029703
16 0 1 2 165 92 0.0217391 0.0162328 0.0155642
17 0 1 5 182 90 0.0555556 0.0390673 0.0367647
18 0 1 5 209 106 0.0471698 0.0335926 0.031746
19 0 1 8 207 120 0.0666667 0.0507591 0.0489297
20 0 1 9 243 141 0.0638298 0.0486217 0.046875
21 0 1 9 245 151 0.0596026 0.0467919 0.0454545
22 0 1 11 259 150 0.0733333 0.0558081 0.0537897
23 0 1 15 289 162 0.0925926 0.0693242 0.0665189
24 0 1 17 309 176 0.0965909 0.0728976 0.0701031
25 0 1 16 316 157 0.101911 0.0718334 0.0676533
26 0 1 11 296 155 0.0709677 0.0513548 0.0487805
27 0 1 12 250 131 0.0916031 0.0663095 0.0629921
28 0 1 13 254 191 0.0680628 0.0590214 0.058427
29 0 1 12 220 169 0.0710059 0.0622338 0.0616967
30 0 1 12 261 214 0.0560748 0.0507755 0.0505263
31 0 1 11 232 217 0.0506912 0.0490251 0.0489978
32 0 1 11 230 203 0.0541872 0.0509074 0.0508083
33 0 1 9 197 181 0.0497238 0.0476618 0.047619
34 0 1 20 260 160 0.125 0.0980581 0.0952381
35 0 1 17 288 222 0.0765766 0.067232 0.0666667
36 0 1 22 328 230 0.0956522 0.080098 0.078853
37 0 1 20 342 241 0.0829876 0.069664 0.0686106
38 0 1 25 358 248 0.100806 0.0839021 0.0825083
39 0 1 36 385 253 0.142292 0.115348 0.112853
40 0 1 30 409 268 0.11194 0.0906134 0.0886263
41 0 1 40 397 272 0.147059 0.121725 0.119581
42 0 1 30 384 254 0.11811 0.0960592 0.0940439
43 0 1 31 371 244 0.127049 0.103034 0.100813
44 0 1 36 345 211 0.170616 0.133429 0.129496
45 0 1 32 300 198 0.161616 0.131298 0.128514
46 0 1 37 260 190 0.194737 0.166471 0.164444
47 0 1 27 250 158 0.170886 0.135852 0.132353
48 0 1 23 232 166 0.138554 0.117201 0.115578
49 0 1 18 192 151 0.119205 0.105714 0.104956
50 0 1 14 240 140 0.1 0.0763763 0.0736842
51 0 1 16 264 147 0.108844 0.0812193 0.0778589
52 0 1 21 266 163 0.128834 0.100852 0.0979021
53 0 1 27 291 182 0.148352 0.117323 0.114165
54 0 1 31 300 194 0.159794 0.128499 0.125506
55 0 1 35 329 218 0.16055 0.13069 0.127971
56 0 1 41 355 253 0.162055 0.136807 0.134868
57 0 1 36 368 263 0.136882 0.115718 0.114105
58 0 1 49 414 265 0.184906 0.147936 0.14433
59 0 1 51 399 278 0.183453 0.15313 0.150665
60 0 1 45 405 244 0.184426 0.14315 0.138675
61 0 1 49 371 223 0.219731 0.170356 0.164983
62 0 1 42 344 239 0.175732 0.146478 0.144082
63 0 1 41 323 213 0.192488 0.156312 0.152985
64 0 1 43 291 223 0.192825 0.168799 0.167315
65 0 1 36 272 208 0.173077 0.151351 0.15
66 0 1 31 247 213 0.14554 0.135152 0.134783
67 0 1 32 239 203 0.157635 0.145279 0.144796
68 0 1 34 234 209 0.162679 0.153744 0.153499
69 0 1 28 251 197 0.142132 0.125918 0.125
70 0 1 37 273 205 0.180488 0.156402 0.154812
71 0 1 31 285 222 0.13964 0.123243 0.122288
72 0 1 38 316 221 0.171946 0.143795 0.141527
73 0 1 44 330 234 0.188034 0.158339 0.156028
74 0 1 45 359 250 0.18 0.150209 0.147783
75 0 1 42 386 230 0.182609 0.140959 0.136364
76 0 1 51 410 260 0.196154 0.156204 0.152239
77 0 1 45 376 227 0.198238 0.15403 0.149254
78 0 1 44 338 235 0.187234 0.156121 0.153578
79 0 1 36 334 206 0.174757 0.137245 0.133333
80 0 1 43 305 198 0.217172 0.174979 0.170974
81 0 1 37 278 185 0.2 0.163152 0.159827
82 0 1 30 257 177 0.169492 0.140659 0.138249
83 0 1 20 232 165 0.121212 0.102222 0.100756
84 0 1 22 212 146 0.150685 0.125048 0.122905
85 0 1 20 197 130 0.153846 0.124976 0.122324
86 0 1 13 243 118 0.110169 0.0767714 0.0720222
87 0 1 18 263 141 0.12766 0.0934728 0.0891089
88 0 1 23 277 139 0.165468 0.117214 0.110577
89 0 1 22 271 162 0.135802 0.104998 0.101617
90 0 1 22 266 164 0.134146 0.105332 0.102326
91 0 1 30 263 188 0.159574 0.134916 0.133038
92 0 1 36 285 201 0.179104 0.150412 0.148148
93 0 1 37 299 207 0.178744 0.148724 0.146245
94 0 1 34 333 211 0.161137 0.128267 0.125
95 0 1 39 370 211 0.184834 0.13958 0.134251
96 0 1 38 390 241 0.157676 0.123949 0.120444
97 0 1 36 384 207 0.173913 0.127688 0.121827
98 0 1 40 353 198 0.20202 0.1513 0.145191
99 0 1 38 336 194 0.195876 0.148838 0.143396
100 0 1 36 315 193 0.186529 0.146005 0.141732
101 0 1 45 285 195 0.230769 0.190885 0.1875
102 0 1 35 256 180 0.194444 0.163047 0.16055
103 0 1 28 223 176 0.159091 0.141335 0.140351
104 0 1 30 260 218 0.137615 0.12601 0.125523
105 0 1 18 242 190 0.0947368 0.0839437 0.0833333
106 0 1 22 250 199 0.110553 0.0986339 0.0979955
107 0 1 20 252 199 0.100503 0.0893106 0.0886918
108 0 1 32 278 212 0.150943 0.131813 0.130612
109 0 1 32 294 223 0.143498 0.124975 0.123791
110 0 1 32 306 233 0.137339 0.119843 0.118738
111 0 1 41 334 237 0.172996 0.145726 0.143608
112 0 1 39 349 242 0.161157 0.134197 0.13198
113 0 1 54 371 250 0.216 0.177311 0.173913
114 0 1 52 392 257 0.202335 0.16383 0.160247
115 0 1 52 404 255 0.203922 0.16201 0.157815
116 0 1 56 399 264 0.212121 0.172544 0.168929
117 0 1 55 407 254 0.216535 0.17106 0.166415
118 0 1 54 379 243 0.222222 0.177939 0.173633
119 0 1 52 361 244 0.213115 0.175208 0.171901
120 0 1 47 348 238 0.197479 0.163313 0.16041
121 0 1 46 327 212 0.216981 0.174709 0.170686
122 0 1 38 306 199 0.190955 0.153991 0.150495
123 0 1 33 312 200 0.165 0.132106 0.128906
124 0 1 29 306 155 0.187097 0.133159 0.125813
125 0 1 28 298 136 0.205882 0.139085 0.129032
126 0 1 26 288 123 0.211382 0.138142 0.126521
127 0 1 25 273 140 0.178571 0.127878 0.121065
128 0 1 1 17 4 0.25 0.121268 0.0952381
129 0 1 0 10 3 0 0 0
131 0 1 16 183 80 0.2 0.132236 0.121673
132 0 1 15 242 94 0.159574 0.0994534 0.0892857
133 0 1 19 240 102 0.186275 0.121436 0.111111
134 0 1 19 228 97 0.195876 0.127762 0.116923
135 0 1 14 207 94 0.148936 0.100364 0.0930233
136 0 1 14 201 89 0.157303 0.104673 0.0965517
137 0 1 17 187 94 0.180851 0.128222 0.120996
138 0 1 23 299 157 0.146497 0.106155 0.100877
139 0 1 11 287 162 0.0679012 0.0510146 0.0489978
140 0 1 20 295 161 0.124224 0.0917711 0.0877193
141 0 1 23 299 164 0.140244 0.103865 0.0993521
142 0 1 29 283 167 0.173653 0.133397 0.128889
143 0 1 31 289 163 0.190184 0.14283 0.137168
144 0 1 37 286 157 0.235669 0.17461 0.167043
145 0 1 32 300 157 0.203822 0.147448 0.140044
