#frame chA chB nCorr nA nB MNR GNR DICE
3 0 1 0 262 91 0 0 0
4 0 1 0 243 114 0 0 0
5 0 1 0 214 93 0 0 0
6 0 1 0 199 117 0 0 0
7 0 1 0 170 81 0 0 0
8 0 1 0 158 135 0 0 0
9 0 1 0 128 97 0 0 0
10 0 1 1 149 166 0.00671141 0.00635847 0.00634921
11 0 1 0 136 133 0 0 0
12 0 1 1 114 125 0.00877193 0.00837708 0.0083682
13 0 1 0 116 188 0 0 0
14 0 1 2 101 168 0.019802 0.0153538 0.0148699
15 0 1 1 129 172 0.00775194 0.00671337 0.00664452
16 0 1 1 124 144 0.00806452 0.00748355 0.00746269
17 0 1 2 150 189 0.0133333 0.0118783 0.0117994
18 0 1 4 163 201 0.0245399 0.0220988 0.021978
19 0 1 0 173 193 0 0 0
20 0 1 0 226 205 0 0 0
21 0 1 1 220 193 0.00518135 0.004853 0.00484262
22 0 1 0 230 152 0 0 0
23 0 1 2 281 217 0.00921659 0.00809929 0.00803213
24 0 1 1 289 199 0.00502513 0.00416989 0.00409836
25 0 1 3 293 167 0.0179641 0.0135622 0.0130435
26 0 1 2 300 190 0.0105263 0.00837708 0.00816326
27 0 1 0 251 162 0 0 0
28 0 1 0 265 213 0 0 0
29 0 1 0 225 188 0 0 0
30 0 1 2 268 212 0.00943396 0.00839063 0.00833333
31 0 1 2 233 193 0.0103627 0.00943134 0.00938967
32 0 1 0 290 234 0 0 0
33 0 1 4 256 220 0.0181818 0.016855 0.0168067
34 0 1 2 274 249 0.00803213 0.00765694 0.00764818
35 0 1 3 282 235 0.012766 0.0116537 0.0116054
36 0 1 3 318 253 0.0118577 0.0105766 0.0105079
37 0 1 0 326 270 0 0 0
38 0 1 0 351 247 0 0 0
39 0 1 1 383 290 0.00344828 0.00300056 0.00297177
40 0 1 2 407 308 0.00649351 0.00564882 0.00559441
41 0 1 2 393 292 0.00684932 0.00590394 0.00583942
42 0 1 0 368 287 0 0 0
43 0 1 2 353 283 0.00706714 0.00632775 0.00628931
44 0 1 1 333 257 0.00389105 0.00341831 0.00338983
45 0 1 1 288 244 0.00409836 0.00377232 0.0037594
46 0 1 1 242 232 0.00431034 0.00422035 0.00421941
47 0 1 6 249 235 0.0255319 0.0248038 0.0247934
48 0 1 4 224 242 0.0178571 0.0171802 0.0171674
49 0 1 0 202 207 0 0 0
50 0 1 0 263 309 0 0 0
51 0 1 4 272 316 0.0147059 0.0136437 0.0136054
52 0 1 3 281 285 0.0106762 0.010601 0.0106007
53 0 1 3 292 268 0.011194 0.0107241 0.0107143
54 0 1 3 309 274 0.0109489 0.0103102 0.0102916
55 0 1 1 327 278 0.00359712 0.00331668 0.00330579
56 0 1 1 337 279 0.00358423 0.00326124 0.00324675
57 0 1 2 382 264 0.00757576 0.00629791 0.00619195
58 0 1 5 409 280 0.0178571 0.0147751 0.0145138
59 0 1 7 401 287 0.0243902 0.0206341 0.0203488
60 0 1 1 393 263 0.00380228 0.00311047 0.00304878
61 0 1 1 368 233 0.00429185 0.00341506 0.00332779
62 0 1 3 335 215 0.0139535 0.0111784 0.0109091
63 0 1 3 323 226 0.0132743 0.0111036 0.010929
64 0 1 5 300 206 0.0242718 0.020113 0.0197628
65 0 1 4 298 241 0.0165975 0.014926 0.0148423
66 0 1 1 265 189 0.00529101 0.00446834 0.00440529
67 0 1 2 300 249 0.00803213 0.00731762 0.00728597
68 0 1 1 292 241 0.00414938 0.00376964 0.00375235
69 0 1 2 307 243 0.00823045 0.00732247 0.00727273
70 0 1 3 320 266 0.0112782 0.0102827 0.0102389
71 0 1 4 338 275 0.0145455 0.01312 0.0130506
72 0 1 5 367 310 0.016129 0.0148237 0.014771
73 0 1 1 380 323 0.00309598 0.00285435 0.00284495
74 0 1 3 394 310 0.00967742 0.00858405 0.00852273
75 0 1 3 409 277 0.0108303 0.00891291 0.00874636
76 0 1 3 440 299 0.0100334 0.00827102 0.00811908
77 0 1 1 389 278 0.00359712 0.0030409 0.0029985
78 0 1 6 364 262 0.0229008 0.019429 0.0191693
79 0 1 3 367 270 0.0111111 0.00953029 0.00941915
80 0 1 5 321 292 0.0171233 0.0163315 0.0163132
81 0 1 4 298 278 0.0143885 0.0138973 0.0138889
82 0 1 2 281 323 0.00711744 0.00663859 0.00662252
83 0 1 6 254 297 0.023622 0.0218452 0.0217786
84 0 1 4 257 330 0.0155642 0.0137352 0.0136286
85 0 1 6 235 281 0.0255319 0.0233488 0.0232558
86 0 1 3 271 337 0.0110701 0.00992708 0.00986842
87 0 1 3 306 378 0.00980392 0.00882094 0.00877193
88 0 1 4 323 405 0.0123839 0.0110594 0.010989
89 0 1 6 348 406 0.0172414 0.0159624 0.0159151
90 0 1 5 342 390 0.0146199 0.0136907 0.0136612
91 0 1 5 333 398 0.015015 0.0137343 0.0136799
92 0 1 2 353 369 0.00566572 0.00554153 0.00554017
93 0 1 0 360 346 0 0 0
94 0 1 6 366 342 0.0175439 0.0169589 0.0169492
95 0 1 6 411 323 0.0185759 0.0164676 0.0163488
96 0 1 3 410 310 0.00967742 0.00841489 0.00833333
97 0 1 6 405 311 0.0192926 0.0169061 0.0167598
98 0 1 2 389 294 0.00680272 0.005914 0.00585652
99 0 1 6 370 257 0.0233463 0.0194574 0.0191388
100 0 1 3 371 284 0.0105634 0.0092422 0.00916031
101 0 1 2 360 261 0.00766284 0.00652467 0.00644122
102 0 1 6 322 223 0.0269058 0.0223909 0.0220183
103 0 1 1 306 255 0.00392157 0.00357989 0.00356506
104 0 1 1 303 223 0.00448431 0.00384704 0.00380228
105 0 1 1 281 218 0.00458716 0.00404035 0.00400802
106 0 1 4 317 280 0.0142857 0.0134261 0.0134003
107 0 1 2 320 287 0.00696864 0.00659955 0.00658979
108 0 1 6 340 287 0.0209059 0.0192075 0.0191388
109 0 1 6 354 286 0.020979 0.0188567 0.01875
110 0 1 6 368 274 0.0218978 0.0188952 0.0186916
111 0 1 5 380 284 0.0176056 0.0152202 0.0150602
112 0 1 5 380 280 0.0178571 0.0153285 0.0151515
113 0 1 5 377 295 0.0169492 0.014993 0.014881
114 0 1 4 397 286 0.013986 0.0118708 0.011713
115 0 1 7 418 319 0.0219436 0.0191697 0.0189959
116 0 1 10 423 341 0.0293255 0.0263301 0.026178
117 0 1 2 425 337 0.00593472 0.0052847 0.00524934
118 0 1 4 407 309 0.012945 0.0112793 0.0111732
119 0 1 2 391 324 0.00617284 0.00561913 0.00559441
120 0 1 3 377 297 0.010101 0.00896545 0.00890208
121 0 1 2 366 303 0.00660066 0.00600576 0.00597907
122 0 1 1 349 296 0.00337838 0.0031113 0.00310078
123 0 1 5 364 381 0.0137363 0.0134263 0.0134228
124 0 1 4 355 381 0.0112676 0.0108764 0.0108696
125 0 1 4 345 380 0.0115942 0.0110474 0.0110345
126 0 1 5 337 313 0.0159744 0.0153951 0.0153846
127 0 1 3 303 337 0.00990099 0.00938826 0.009375
128 0 1 3 301 315 0.00996678 0.00974278 0.00974026
129 0 1 5 354 367 0.0141243 0.0138719 0.0138696
130 0 1 4 342 348 0.0116959 0.0115946 0.0115942
131 0 1 6 335 347 0.0179104 0.017598 0.0175953
132 0 1 8 327 326 0.0245399 0.0245023 0.0245023
133 0 1 6 299 315 0.0200669 0.0195506 0.019544
134 0 1 6 277 308 0.0216607 0.0205417 0.0205128
135 0 1 7 330 365 0.0212121 0.0201695 0.0201439
136 0 1 9 325 350 0.0276923 0.026685 0.0266667
137 0 1 3 306 315 0.00980392 0.00966285 0.00966184
138 0 1 2 306 317 0.00653595 0.00642155 0.00642055
139 0 1 7 290 305 0.0241379 0.0235369 0.0235294
