#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 193 214 0 0 0
3 0 1 0 191 185 0 0 0
4 0 1 0 210 167 0 0 0
5 0 1 0 198 169 0 0 0
6 0 1 9 221 183 0.0491803 0.0447529 0.0445545
7 0 1 15 174 152 0.0986842 0.0922348 0.0920245
8 0 1 16 191 173 0.0924855 0.0880198 0.0879121
9 0 1 21 225 203 0.103448 0.0982607 0.0981308
10 0 1 20 191 168 0.119048 0.11165 0.111421
11 0 1 25 209 189 0.132275 0.125787 0.125628
12 0 1 23 254 203 0.1133 0.101289 0.100656
13 0 1 30 179 166 0.180723 0.174037 0.173913
14 0 1 21 211 171 0.122807 0.110555 0.109948
15 0 1 19 193 131 0.145038 0.119492 0.117284
16 0 1 20 237 124 0.16129 0.116666 0.110803
17 0 1 28 230 173 0.16185 0.140369 0.138958
18 0 1 47 261 210 0.22381 0.200756 0.199575
19 0 1 48 274 229 0.209607 0.191623 0.190855
20 0 1 62 274 190 0.326316 0.271731 0.267241
21 0 1 51 306 227 0.22467 0.193507 0.19137
22 0 1 60 311 202 0.29703 0.239384 0.233918
23 0 1 72 337 233 0.309013 0.256945 0.252632
24 0 1 72 339 253 0.284585 0.245851 0.243243
25 0 1 81 339 265 0.30566 0.270248 0.268212
26 0 1 71 289 268 0.264925 0.255119 0.254937
27 0 1 56 298 239 0.23431 0.209836 0.208566
28 0 1 58 301 246 0.235772 0.213146 0.212066
29 0 1 63 272 222 0.283784 0.256377 0.255061
30 0 1 47 293 226 0.207965 0.182646 0.181118
31 0 1 59 282 220 0.268182 0.236873 0.23506
32 0 1 56 335 247 0.226721 0.194678 0.19244
33 0 1 56 300 241 0.232365 0.208266 0.207024
34 0 1 62 320 243 0.255144 0.222338 0.220249
35 0 1 59 324 275 0.214545 0.197657 0.196995
36 0 1 80 359 286 0.27972 0.249666 0.248062
37 0 1 81 376 298 0.271812 0.241982 0.240356
38 0 1 83 379 296 0.280405 0.247806 0.245926
39 0 1 109 426 360 0.302778 0.278337 0.277354
40 0 1 106 438 347 0.305476 0.271897 0.270064
41 0 1 118 441 343 0.344023 0.3034 0.30102
42 0 1 128 411 354 0.361582 0.335573 0.334641
43 0 1 109 384 325 0.335385 0.308545 0.307475
44 0 1 101 375 283 0.35689 0.310036 0.306991
45 0 1 92 349 247 0.37247 0.313348 0.308725
46 0 1 83 357 259 0.320463 0.272957 0.269481
47 0 1 81 322 260 0.311538 0.279944 0.278351
48 0 1 80 325 269 0.297398 0.270565 0.26936
49 0 1 58 290 192 0.302083 0.245798 0.240664
50 0 1 70 366 227 0.30837 0.242854 0.236088
51 0 1 80 349 272 0.294118 0.259653 0.257649
52 0 1 88 366 284 0.309859 0.27295 0.270769
53 0 1 103 340 273 0.377289 0.338078 0.336052
54 0 1 97 384 282 0.343972 0.294769 0.291291
55 0 1 116 402 286 0.405594 0.342107 0.337209
56 0 1 105 401 304 0.345395 0.300732 0.297872
57 0 1 128 419 312 0.410256 0.354018 0.350205
58 0 1 128 432 312 0.410256 0.348651 0.344086
59 0 1 134 492 363 0.369146 0.31708 0.31345
60 0 1 112 439 335 0.334328 0.292054 0.289406
61 0 1 97 407 279 0.34767 0.287854 0.282799
62 0 1 92 383 279 0.329749 0.28144 0.277946
63 0 1 86 373 258 0.333333 0.277226 0.272583
64 0 1 90 381 262 0.343511 0.284859 0.279938
65 0 1 81 347 242 0.334711 0.27952 0.275042
66 0 1 66 345 257 0.256809 0.22165 0.219269
67 0 1 57 346 240 0.2375 0.197802 0.194539
68 0 1 69 342 233 0.296137 0.244432 0.24
69 0 1 63 377 278 0.226619 0.194602 0.192366
70 0 1 73 377 304 0.240132 0.215633 0.214391
71 0 1 87 395 321 0.271028 0.244325 0.243017
72 0 1 92 445 328 0.280488 0.240808 0.238034
73 0 1 113 443 358 0.315642 0.283749 0.282147
74 0 1 102 442 354 0.288136 0.257862 0.256281
75 0 1 132 476 389 0.339332 0.306758 0.305202
76 0 1 121 492 384 0.315104 0.278379 0.276256
77 0 1 116 435 308 0.376623 0.316912 0.312248
78 0 1 121 414 296 0.408784 0.345652 0.340845
79 0 1 106 416 266 0.398496 0.318653 0.31085
80 0 1 96 372 262 0.366412 0.307503 0.302839
81 0 1 93 351 246 0.378049 0.316491 0.311558
82 0 1 85 308 238 0.357143 0.313946 0.311355
83 0 1 77 303 251 0.306773 0.279211 0.277978
84 0 1 69 278 206 0.334951 0.288332 0.285124
85 0 1 55 293 209 0.263158 0.222257 0.219124
86 0 1 55 363 210 0.261905 0.199205 0.191972
87 0 1 65 361 223 0.29148 0.229091 0.222603
88 0 1 69 397 239 0.288703 0.224004 0.216981
89 0 1 91 373 281 0.323843 0.281083 0.278287
90 0 1 104 362 295 0.352542 0.31825 0.316591
91 0 1 96 347 287 0.334495 0.304204 0.302839
92 0 1 102 358 286 0.356643 0.318769 0.31677
93 0 1 119 395 293 0.406143 0.349796 0.34593
94 0 1 119 407 289 0.411765 0.346977 0.341954
95 0 1 124 414 287 0.432056 0.359733 0.35378
96 0 1 134 498 350 0.382857 0.320964 0.316038
97 0 1 119 470 288 0.413194 0.323446 0.313984
98 0 1 109 444 281 0.3879 0.30859 0.30069
99 0 1 92 427 272 0.338235 0.269954 0.263233
100 0 1 111 420 294 0.377551 0.315882 0.310924
101 0 1 96 412 273 0.351648 0.286247 0.280292
102 0 1 96 396 270 0.355556 0.29359 0.288288
103 0 1 79 373 241 0.327801 0.26349 0.257329
104 0 1 91 346 240 0.379167 0.31579 0.31058
105 0 1 73 311 209 0.349282 0.286332 0.280769
106 0 1 63 356 240 0.2625 0.215531 0.211409
107 0 1 77 356 256 0.300781 0.255062 0.251634
108 0 1 69 373 258 0.267442 0.222426 0.2187
109 0 1 97 391 282 0.343972 0.292118 0.288262
110 0 1 87 380 292 0.297945 0.261178 0.258929
111 0 1 114 425 310 0.367742 0.314072 0.310204
112 0 1 104 421 302 0.344371 0.291668 0.28769
113 0 1 121 433 329 0.367781 0.320585 0.317585
114 0 1 138 437 360 0.383333 0.347926 0.346299
115 0 1 131 465 374 0.350267 0.31413 0.312277
116 0 1 142 472 361 0.393352 0.344004 0.340936
117 0 1 128 499 384 0.333333 0.292411 0.289921
118 0 1 136 465 345 0.394203 0.339549 0.335802
119 0 1 144 454 352 0.409091 0.360216 0.35732
120 0 1 126 428 310 0.406452 0.345914 0.341463
121 0 1 129 461 333 0.387387 0.329243 0.324937
122 0 1 120 421 325 0.369231 0.324413 0.321716
123 0 1 113 407 303 0.372937 0.321781 0.31831
124 0 1 129 449 320 0.403125 0.340323 0.335501
125 0 1 116 403 296 0.391892 0.335861 0.331903
126 0 1 101 412 281 0.359431 0.296838 0.291486
127 0 1 93 406 277 0.33574 0.277319 0.272328
128 0 1 112 413 275 0.407273 0.332335 0.325581
129 0 1 117 399 287 0.407665 0.345747 0.341108
130 0 1 112 382 284 0.394366 0.340038 0.336336
131 0 1 104 453 381 0.272966 0.250335 0.2494
132 0 1 108 444 381 0.283465 0.262585 0.261818
133 0 1 112 412 358 0.312849 0.291627 0.290909
134 0 1 107 399 348 0.307471 0.287149 0.286479
135 0 1 119 368 326 0.365031 0.343569 0.342939
136 0 1 126 367 313 0.402556 0.371762 0.370588
137 0 1 120 410 351 0.34188 0.316327 0.315374
138 0 1 111 424 338 0.328402 0.293212 0.291339
