#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 191 49 0 0 0
3 0 1 0 193 86 0 0 0
4 0 1 0 159 59 0 0 0
5 0 1 0 178 104 0 0 0
6 0 1 0 164 86 0 0 0
7 0 1 0 174 124 0 0 0
8 0 1 0 150 99 0 0 0
9 0 1 0 166 127 0 0 0
10 0 1 0 143 99 0 0 0
11 0 1 0 161 163 0 0 0
12 0 1 2 141 140 0.0142857 0.014235 0.0142349
13 0 1 0 117 123 0 0 0
14 0 1 0 146 184 0 0 0
15 0 1 1 120 156 0.00833333 0.00730882 0.00724638
16 0 1 1 199 161 0.00621118 0.00558677 0.00555556
17 0 1 2 195 173 0.0115607 0.010889 0.0108696
18 0 1 1 218 207 0.00483092 0.00470746 0.00470588
19 0 1 2 208 195 0.0102564 0.00993073 0.00992556
20 0 1 0 215 173 0 0 0
21 0 1 0 226 168 0 0 0
22 0 1 1 237 158 0.00632911 0.0051677 0.00506329
23 0 1 1 245 191 0.0052356 0.00462275 0.00458716
24 0 1 0 254 161 0 0 0
25 0 1 1 272 149 0.00671141 0.00496732 0.00475059
26 0 1 0 237 140 0 0 0
27 0 1 0 264 156 0 0 0
28 0 1 0 283 202 0 0 0
29 0 1 1 252 168 0.00595238 0.0048601 0.0047619
30 0 1 1 306 191 0.0052356 0.0041364 0.00402414
31 0 1 0 284 172 0 0 0
32 0 1 0 352 248 0 0 0
33 0 1 2 318 220 0.00909091 0.00756145 0.00743494
34 0 1 2 344 250 0.008 0.00681994 0.00673401
35 0 1 0 348 243 0 0 0
36 0 1 1 376 267 0.00374532 0.0031561 0.00311042
37 0 1 2 384 264 0.00757576 0.00628149 0.00617284
38 0 1 2 389 250 0.008 0.00641335 0.00625978
39 0 1 1 441 299 0.00334448 0.00275388 0.0027027
40 0 1 2 443 290 0.00689655 0.00557993 0.00545703
41 0 1 6 439 286 0.020979 0.0169331 0.0165517
42 0 1 3 395 280 0.0107143 0.00902077 0.00888889
43 0 1 2 379 280 0.00714286 0.00613948 0.0060698
44 0 1 3 347 221 0.0135747 0.0108333 0.0105634
45 0 1 0 328 220 0 0 0
46 0 1 1 292 226 0.00442478 0.00389273 0.003861
47 0 1 3 258 225 0.0133333 0.0124515 0.0124224
48 0 1 6 244 224 0.0267857 0.0256645 0.025641
49 0 1 7 280 283 0.025 0.0248671 0.0248668
50 0 1 8 288 264 0.030303 0.0290129 0.0289855
51 0 1 10 292 295 0.0342466 0.034072 0.0340715
52 0 1 4 298 304 0.0134228 0.0132897 0.013289
53 0 1 3 275 304 0.0109091 0.0103757 0.0103627
54 0 1 1 340 284 0.00352113 0.00321811 0.00320513
55 0 1 2 364 275 0.00727273 0.0063214 0.00625978
56 0 1 4 388 291 0.0137457 0.0119041 0.011782
57 0 1 4 407 293 0.0136519 0.0115832 0.0114286
58 0 1 4 439 298 0.0134228 0.0110591 0.0108548
59 0 1 2 460 297 0.00673401 0.00541094 0.00528402
60 0 1 6 433 292 0.0205479 0.0168739 0.0165517
61 0 1 4 419 263 0.0152091 0.0120497 0.0117302
62 0 1 6 376 230 0.026087 0.020403 0.019802
63 0 1 4 378 260 0.0153846 0.0127593 0.0125392
64 0 1 5 367 238 0.0210084 0.016918 0.0165289
65 0 1 4 338 232 0.0172414 0.0142843 0.0140351
66 0 1 0 301 192 0 0 0
67 0 1 6 369 267 0.0224719 0.0191154 0.0188679
68 0 1 1 365 256 0.00390625 0.0032714 0.00322061
69 0 1 1 346 255 0.00392157 0.0033666 0.00332779
70 0 1 1 367 259 0.003861 0.00324352 0.00319489
71 0 1 0 370 275 0 0 0
72 0 1 2 406 287 0.00696864 0.00585903 0.00577201
73 0 1 3 411 290 0.0103448 0.00868963 0.0085592
74 0 1 6 415 299 0.0200669 0.017033 0.0168067
75 0 1 5 449 286 0.0174825 0.0139529 0.0136054
76 0 1 5 466 296 0.0168919 0.0134627 0.0131234
77 0 1 5 416 300 0.0166667 0.0141535 0.0139665
78 0 1 5 385 268 0.0186567 0.0155658 0.0153139
79 0 1 4 388 262 0.0152672 0.0125457 0.0123077
80 0 1 2 348 290 0.00689655 0.00629566 0.00626959
81 0 1 5 328 277 0.0180505 0.016588 0.0165289
82 0 1 3 274 292 0.0109489 0.0106061 0.0106007
83 0 1 8 272 319 0.0294118 0.0271588 0.0270728
84 0 1 8 260 288 0.0307692 0.0292353 0.0291971
85 0 1 12 234 261 0.0512821 0.0485571 0.0484848
86 0 1 10 337 298 0.033557 0.0315556 0.0314961
87 0 1 7 332 321 0.0218069 0.0214426 0.0214395
88 0 1 16 351 324 0.0493827 0.0474454 0.0474074
89 0 1 14 342 321 0.0436137 0.0422535 0.0422323
90 0 1 15 312 320 0.0480769 0.0474722 0.0474684
91 0 1 9 325 321 0.0280374 0.0278643 0.0278638
92 0 1 3 339 329 0.00911854 0.00898304 0.00898204
93 0 1 3 369 321 0.00934579 0.00871677 0.00869565
94 0 1 4 386 306 0.0130719 0.0116387 0.0115607
95 0 1 9 400 320 0.028125 0.0251558 0.025
96 0 1 6 459 316 0.0189873 0.0157544 0.0154839
97 0 1 14 441 317 0.044164 0.0374437 0.0369393
98 0 1 5 419 310 0.016129 0.0138734 0.0137174
99 0 1 8 411 279 0.0286738 0.0236247 0.0231884
100 0 1 5 404 298 0.0167785 0.0144102 0.014245
101 0 1 6 383 278 0.0215827 0.0183878 0.0181543
102 0 1 6 373 262 0.0229008 0.0191931 0.0188976
103 0 1 0 346 236 0 0 0
104 0 1 1 330 223 0.00448431 0.0036863 0.00361664
105 0 1 1 301 206 0.00485437 0.0040159 0.00394477
106 0 1 1 349 267 0.00374532 0.00327591 0.00324675
107 0 1 3 352 266 0.0112782 0.00980413 0.00970874
108 0 1 6 365 251 0.0239044 0.0198229 0.0194805
109 0 1 4 382 255 0.0156863 0.0128162 0.0125589
110 0 1 5 379 248 0.0201613 0.0163089 0.015949
111 0 1 9 402 277 0.032491 0.0269705 0.0265096
112 0 1 6 399 272 0.0220588 0.018213 0.0178838
113 0 1 14 400 286 0.048951 0.0413919 0.0408163
114 0 1 6 427 302 0.0198676 0.0167084 0.0164609
115 0 1 8 428 322 0.0248447 0.0215496 0.0213333
116 0 1 10 444 336 0.0297619 0.0258904 0.025641
117 0 1 4 444 320 0.0125 0.0106119 0.0104712
118 0 1 5 432 296 0.0168919 0.0139824 0.0137363
119 0 1 5 408 316 0.0158228 0.013925 0.0138122
120 0 1 9 393 287 0.0313589 0.0267982 0.0264706
121 0 1 6 380 289 0.0207612 0.0181055 0.0179372
122 0 1 5 344 289 0.017301 0.0158578 0.0157978
123 0 1 6 345 295 0.020339 0.0188075 0.01875
124 0 1 7 345 286 0.0244755 0.0222846 0.022187
125 0 1 6 294 284 0.0211268 0.0207644 0.0207612
126 0 1 7 287 241 0.0290456 0.0266164 0.0265152
127 0 1 9 334 307 0.029316 0.0281061 0.0280811
128 0 1 8 339 278 0.028777 0.0260596 0.0259319
129 0 1 7 339 293 0.0238908 0.0222108 0.0221519
130 0 1 5 319 282 0.0177305 0.0166706 0.0166389
131 0 1 11 320 267 0.0411985 0.0376324 0.0374787
132 0 1 8 297 249 0.0321285 0.0294179 0.029304
133 0 1 9 378 327 0.0275229 0.025599 0.0255319
134 0 1 12 364 306 0.0392157 0.0359559 0.0358209
135 0 1 13 340 296 0.0439189 0.0409787 0.0408805
136 0 1 10 340 272 0.0367647 0.0328833 0.0326797
137 0 1 7 323 249 0.0281125 0.024683 0.0244755
138 0 1 9 404 344 0.0261628 0.024142 0.0240642
139 0 1 10 387 334 0.0299401 0.0278145 0.0277393
140 0 1 11 396 321 0.0342679 0.0308527 0.0306834
141 0 1 11 380 299 0.0367893 0.0326336 0.0324006
142 0 1 18 376 294 0.0612245 0.0541383 0.0537313
143 0 1 16 479 414 0.0386473 0.0359296 0.0358343
144 0 1 13 472 421 0.0308789 0.0291629 0.0291153
145 0 1 13 470 405 0.0320988 0.0297966 0.0297143
146 0 1 17 460 421 0.04038 0.0386304 0.0385925
147 0 1 14 468 395 0.035443 0.0325617 0.032445
148 0 1 18 453 396 0.0454545 0.0424987 0.0424028
149 0 1 16 417 379 0.0422164 0.0402469 0.040201
150 0 1 14 418 363 0.0385675 0.0359407 0.0358515
151 0 1 19 384 358 0.0530726 0.0512444 0.0512129
152 0 1 16 351 344 0.0465116 0.0460455 0.0460432
153 0 1 13 313 324 0.0415335 0.0408224 0.0408163
154 0 1 20 341 371 0.058651 0.0562297 0.0561798
155 0 1 19 315 355 0.0603175 0.0568178 0.0567164
156 0 1 13 346 402 0.0375723 0.0348572 0.0347594
157 0 1 11 319 367 0.0344828 0.0321488 0.03207
158 0 1 6 345 387 0.0173913 0.0164205 0.0163934
159 0 1 7 317 342 0.022082 0.0212596 0.0212443
160 0 1 3 307 370 0.00977199 0.00890125 0.00886263
161 0 1 9 283 346 0.0318021 0.0287615 0.0286169
162 0 1 15 311 362 0.0482315 0.0447051 0.0445765
163 0 1 17 291 346 0.0584192 0.0535753 0.0533752
164 0 1 8 297 341 0.026936 0.0251382 0.0250784
165 0 1 12 288 319 0.0416667 0.0395904 0.0395387
166 0 1 7 341 357 0.0205279 0.0200626 0.0200573
167 0 1 17 312 306 0.0555556 0.0550188 0.0550162
168 0 1 13 356 353 0.0368272 0.0366717 0.0366714
169 0 1 12 349 350 0.034384 0.0343348 0.0343348
170 0 1 8 305 317 0.0262295 0.0257283 0.0257235
171 0 1 18 404 380 0.0473684 0.0459399 0.0459184
172 0 1 18 391 402 0.0460358 0.0454016 0.0453972
173 0 1 17 408 395 0.043038 0.0423468 0.0423412
174 0 1 25 408 378 0.0661376 0.0636596 0.0636132
175 0 1 13 427 393 0.0330789 0.0317346 0.0317073
176 0 1 20 443 424 0.0471698 0.0461472 0.0461361
177 0 1 20 432 438 0.0462963 0.0459781 0.045977
178 0 1 21 447 449 0.0469799 0.0468751 0.046875
179 0 1 11 477 450 0.0244444 0.0237425 0.0237325
180 0 1 19 443 445 0.0428894 0.0427929 0.0427928
181 0 1 15 443 465 0.03386 0.0330493 0.0330396
182 0 1 21 443 464 0.0474041 0.0463189 0.0463065
183 0 1 18 425 471 0.0423529 0.0402316 0.0401786
184 0 1 15 420 458 0.0357143 0.0342006 0.0341686
185 0 1 19 421 459 0.0451306 0.0432221 0.0431818
186 0 1 11 433 474 0.0254042 0.0242806 0.0242558
187 0 1 17 429 468 0.039627 0.03794 0.0379041
188 0 1 16 457 462 0.0350109 0.034821 0.0348205
189 0 1 11 434 471 0.0253456 0.0243297 0.0243094
190 0 1 9 470 494 0.0191489 0.018678 0.0186722
191 0 1 5 458 460 0.010917 0.0108933 0.0108932
192 0 1 7 453 418 0.0167464 0.0160865 0.0160735
193 0 1 11 493 465 0.0236559 0.0229743 0.0229645
194 0 1 19 454 449 0.0423163 0.0420826 0.0420819
195 0 1 19 413 391 0.0485933 0.0472814 0.0472637
196 0 1 20 389 413 0.0514139 0.0498977 0.0498753
197 0 1 9 322 357 0.0279503 0.0265449 0.0265096
198 0 1 7 299 343 0.0234114 0.0218583 0.0218069
199 0 1 10 287 330 0.0348432 0.0324939 0.0324149
200 0 1 13 268 323 0.0485075 0.044185 0.0439932
201 0 1 4 241 253 0.0165975 0.0161991 0.0161943
202 0 1 6 222 286 0.027027 0.0238118 0.023622
203 0 1 3 213 240 0.0140845 0.0132686 0.013245
204 0 1 3 202 213 0.0148515 0.0144629 0.0144578
205 0 1 2 243 274 0.00823045 0.00775089 0.00773694
206 0 1 1 224 261 0.00446429 0.00413576 0.00412371
207 0 1 2 216 232 0.00925926 0.00893427 0.00892857
208 0 1 1 289 285 0.00350877 0.00348441 0.00348432
209 0 1 3 300 261 0.0114943 0.0107211 0.0106952
210 0 1 3 293 272 0.0110294 0.0106268 0.0106195
211 0 1 10 307 282 0.035461 0.0339865 0.0339559
212 0 1 8 315 306 0.0261438 0.0257676 0.0257649
213 0 1 9 320 331 0.028125 0.0276537 0.0276498
214 0 1 13 351 346 0.0375723 0.0373037 0.0373027
215 0 1 14 361 382 0.0387812 0.0377001 0.0376851
216 0 1 11 353 392 0.0311615 0.0295707 0.0295302
217 0 1 12 348 394 0.0344828 0.0324074 0.032345
218 0 1 12 356 387 0.0337079 0.0323296 0.0323015
219 0 1 11 346 406 0.0317919 0.0293489 0.0292553
220 0 1 12 345 398 0.0347826 0.032384 0.0323015
221 0 1 7 361 402 0.0193906 0.0183752 0.0183486
222 0 1 11 427 473 0.0257611 0.0244764 0.0244444
223 0 1 17 432 465 0.0393519 0.0379298 0.0379041
224 0 1 14 439 486 0.0318907 0.0303094 0.0302703
225 0 1 14 493 515 0.0283976 0.0277844 0.0277778
226 0 1 17 488 509 0.0348361 0.0341099 0.0341023
227 0 1 18 482 493 0.0373444 0.0369254 0.0369231
228 0 1 7 455 474 0.0153846 0.0150731 0.01507
229 0 1 18 443 486 0.0406321 0.0387929 0.0387513
230 0 1 15 450 485 0.0333333 0.0321081 0.0320856
231 0 1 15 431 489 0.0348028 0.0326737 0.0326087
232 0 1 18 420 494 0.0428571 0.039517 0.0393873
233 0 1 20 413 481 0.0484262 0.0448727 0.0447427
234 0 1 23 375 444 0.0613333 0.0563665 0.0561661
235 0 1 22 410 506 0.0536585 0.0483009 0.0480349
236 0 1 12 389 462 0.0308483 0.0283065 0.0282021
237 0 1 4 405 398 0.0100503 0.00996302 0.00996264
238 0 1 6 420 433 0.0142857 0.0140696 0.014068
239 0 1 10 419 428 0.0238663 0.0236141 0.0236128
240 0 1 8 428 436 0.0186916 0.0185193 0.0185185
241 0 1 12 413 422 0.0290557 0.0287442 0.0287425
242 0 1 11 418 404 0.0272277 0.0267679 0.026764
243 0 1 25 455 441 0.0566893 0.0558104 0.0558036
244 0 1 20 465 448 0.0446429 0.0438192 0.0438116
245 0 1 23 452 440 0.0522727 0.0515742 0.0515695
246 0 1 28 440 424 0.0660377 0.0648259 0.0648148
247 0 1 14 439 385 0.0363636 0.0340538 0.0339806
248 0 1 18 466 432 0.0416667 0.0401179 0.0400891
249 0 1 24 439 427 0.0562061 0.0554326 0.0554273
250 0 1 20 414 409 0.0488998 0.0486036 0.0486027
251 0 1 18 438 458 0.0410959 0.0401886 0.0401786
252 0 1 13 387 430 0.0335917 0.0318679 0.0318237
253 0 1 16 393 401 0.0407125 0.0403043 0.0403023
254 0 1 15 386 414 0.0388601 0.037523 0.0375
255 0 1 11 345 361 0.0318841 0.0311695 0.0311615
256 0 1 7 340 350 0.0205882 0.020292 0.0202899
257 0 1 10 321 381 0.0311526 0.0285947 0.02849
258 0 1 8 289 334 0.0276817 0.0257494 0.0256822
259 0 1 8 293 337 0.0273038 0.025459 0.0253968
260 0 1 3 307 358 0.00977199 0.00904921 0.00902256
261 0 1 6 287 342 0.0209059 0.0191513 0.0190779
262 0 1 8 277 303 0.0288809 0.027614 0.0275862
263 0 1 5 278 328 0.0179856 0.0165581 0.0165017
264 0 1 5 244 321 0.0204918 0.0178658 0.0176991
265 0 1 6 256 307 0.0234375 0.0214024 0.0213144
266 0 1 2 285 340 0.00701754 0.00642493 0.0064
267 0 1 4 243 300 0.0164609 0.0148148 0.014733
268 0 1 4 246 300 0.0162602 0.0147242 0.014652
269 0 1 1 257 281 0.00389105 0.00372118 0.00371747
270 0 1 3 228 259 0.0131579 0.0123454 0.0123203
271 0 1 4 227 240 0.0176211 0.0171373 0.0171306
272 0 1 5 228 223 0.0224215 0.0221743 0.0221729
273 0 1 1 245 269 0.00408163 0.0038953 0.00389105
274 0 1 5 257 262 0.0194553 0.0192687 0.0192678
275 0 1 4 249 272 0.0160643 0.0153701 0.0153551
