#frame chA chB nCorr nA nB MNR GNR DICE
4 0 1 0 78 322 0 0 0
5 0 1 0 72 296 0 0 0
6 0 1 0 58 269 0 0 0
7 0 1 0 85 285 0 0 0
8 0 1 4 109 265 0.0366972 0.0235355 0.0213904
9 0 1 5 91 242 0.0549451 0.0336931 0.03003
10 0 1 3 115 269 0.026087 0.0170567 0.015625
11 0 1 3 101 241 0.029703 0.0192288 0.0175439
12 0 1 5 96 199 0.0520833 0.0361749 0.0338983
13 0 1 7 105 197 0.0666667 0.048671 0.0463576
14 0 1 4 99 184 0.040404 0.0296369 0.0282686
15 0 1 7 78 146 0.0897436 0.0655955 0.0625
16 0 1 3 70 108 0.0428571 0.0345033 0.0337079
17 0 1 3 76 137 0.0394737 0.0294005 0.028169
18 0 1 3 89 185 0.0337079 0.0233798 0.0218978
19 0 1 5 107 204 0.046729 0.0338425 0.0321543
20 0 1 12 119 213 0.10084 0.0753734 0.0722892
21 0 1 13 122 231 0.106557 0.0774386 0.0736544
22 0 1 15 146 274 0.10274 0.0749963 0.0714286
23 0 1 14 155 317 0.0903226 0.0631586 0.059322
24 0 1 16 158 343 0.101266 0.0687297 0.0638723
25 0 1 29 141 387 0.205674 0.124146 0.109848
26 0 1 23 150 349 0.153333 0.100524 0.0921844
27 0 1 20 146 333 0.136986 0.090705 0.0835073
28 0 1 21 158 326 0.132911 0.0925299 0.0867769
29 0 1 23 152 305 0.151316 0.106821 0.100656
30 0 1 16 155 315 0.103226 0.0724101 0.0680851
31 0 1 23 145 297 0.158621 0.110832 0.104072
32 0 1 20 139 248 0.143885 0.10772 0.103359
33 0 1 28 160 311 0.175 0.125521 0.118896
34 0 1 18 164 326 0.109756 0.077847 0.0734694
35 0 1 25 169 351 0.147929 0.102646 0.0961538
36 0 1 21 177 382 0.118644 0.0807609 0.0751342
37 0 1 21 184 388 0.11413 0.0785949 0.0734266
38 0 1 26 201 385 0.129353 0.0934641 0.0887372
39 0 1 37 194 417 0.190722 0.130087 0.121113
40 0 1 29 210 404 0.138095 0.0995629 0.0944625
41 0 1 37 207 406 0.178744 0.12763 0.120718
42 0 1 36 198 396 0.181818 0.128565 0.121212
43 0 1 41 212 398 0.193396 0.141148 0.134426
44 0 1 26 171 345 0.152047 0.107045 0.100775
45 0 1 27 181 318 0.149171 0.112541 0.108216
46 0 1 18 155 283 0.116129 0.0859436 0.0821918
47 0 1 14 157 274 0.089172 0.0674999 0.0649652
48 0 1 12 140 248 0.0857143 0.0644008 0.0618557
49 0 1 13 172 201 0.0755814 0.0699167 0.0697051
50 0 1 12 188 209 0.0638298 0.0605382 0.0604534
51 0 1 15 180 258 0.0833333 0.0696058 0.0684932
52 0 1 15 180 275 0.0833333 0.06742 0.0659341
53 0 1 30 177 286 0.169492 0.133337 0.12959
54 0 1 28 170 300 0.164706 0.123986 0.119149
55 0 1 30 175 334 0.171429 0.124088 0.117878
56 0 1 24 201 362 0.119403 0.0889731 0.0852576
57 0 1 37 227 402 0.162996 0.122483 0.117647
58 0 1 36 206 386 0.174757 0.127666 0.121622
59 0 1 34 207 408 0.164251 0.116994 0.110569
60 0 1 41 218 375 0.188073 0.143397 0.13828
61 0 1 40 191 334 0.209424 0.158369 0.152381
62 0 1 41 205 356 0.2 0.151769 0.146168
63 0 1 38 188 331 0.202128 0.152332 0.146435
64 0 1 26 164 319 0.158537 0.113673 0.10766
65 0 1 30 169 324 0.177515 0.128205 0.121704
66 0 1 23 158 282 0.14557 0.108962 0.104545
67 0 1 23 176 305 0.130682 0.0992708 0.0956341
68 0 1 30 177 300 0.169492 0.130189 0.125786
69 0 1 25 177 309 0.141243 0.106899 0.102881
70 0 1 22 186 331 0.11828 0.088665 0.0851064
71 0 1 26 178 343 0.146067 0.105224 0.0998081
72 0 1 33 209 385 0.157895 0.116335 0.111111
73 0 1 35 214 386 0.163551 0.121778 0.116667
74 0 1 39 216 396 0.180556 0.133349 0.127451
75 0 1 47 218 429 0.215596 0.153688 0.145286
76 0 1 34 210 427 0.161905 0.113542 0.10675
77 0 1 44 204 380 0.215686 0.158032 0.150685
78 0 1 43 199 380 0.21608 0.156369 0.148532
79 0 1 29 187 339 0.15508 0.11518 0.110266
80 0 1 24 176 338 0.136364 0.0984003 0.0933852
81 0 1 26 183 296 0.142077 0.111713 0.108559
82 0 1 22 194 303 0.113402 0.0907404 0.0885312
83 0 1 12 160 250 0.075 0.06 0.0585366
84 0 1 27 189 263 0.142857 0.121103 0.119469
85 0 1 23 162 199 0.141975 0.128098 0.127424
86 0 1 17 194 176 0.0965909 0.0920008 0.0918919
87 0 1 13 206 181 0.0718232 0.0673241 0.0671835
88 0 1 20 199 204 0.100503 0.0992632 0.0992556
89 0 1 29 214 262 0.135514 0.122473 0.121849
90 0 1 24 197 279 0.121827 0.102371 0.10084
91 0 1 28 194 296 0.14433 0.116845 0.114286
92 0 1 33 181 293 0.18232 0.143298 0.139241
93 0 1 32 186 322 0.172043 0.130757 0.125984
94 0 1 36 189 336 0.190476 0.142857 0.137143
95 0 1 51 199 357 0.256281 0.191342 0.183453
96 0 1 36 207 388 0.173913 0.127029 0.121008
97 0 1 32 193 342 0.165803 0.124554 0.119626
98 0 1 34 208 343 0.163462 0.127292 0.123412
99 0 1 31 188 337 0.164894 0.123159 0.118095
100 0 1 46 183 347 0.251366 0.182544 0.173585
101 0 1 38 185 327 0.205405 0.154498 0.148438
102 0 1 46 172 307 0.267442 0.200182 0.192067
103 0 1 45 162 295 0.277778 0.205847 0.196937
104 0 1 42 168 272 0.25 0.196476 0.190909
105 0 1 33 153 244 0.215686 0.170794 0.166247
106 0 1 30 157 272 0.191083 0.145173 0.13986
107 0 1 40 161 273 0.248447 0.190794 0.184332
108 0 1 36 166 294 0.216867 0.162958 0.156522
109 0 1 36 163 306 0.220859 0.161194 0.153518
110 0 1 37 170 328 0.217647 0.15669 0.148594
111 0 1 45 183 345 0.245902 0.179093 0.170455
112 0 1 45 193 336 0.233161 0.176711 0.170132
113 0 1 48 193 362 0.248705 0.181597 0.172973
114 0 1 60 196 382 0.306122 0.219276 0.207612
115 0 1 46 209 372 0.220096 0.164973 0.158348
116 0 1 45 220 409 0.204545 0.150017 0.143084
117 0 1 52 215 376 0.24186 0.18289 0.175973
118 0 1 53 213 362 0.248826 0.190867 0.184348
119 0 1 49 207 346 0.236715 0.183093 0.177215
120 0 1 47 209 294 0.22488 0.189606 0.186879
121 0 1 38 208 302 0.182692 0.151617 0.14902
122 0 1 36 199 277 0.180905 0.153333 0.151261
123 0 1 37 209 266 0.177033 0.156923 0.155789
124 0 1 33 202 231 0.163366 0.152768 0.152425
125 0 1 27 212 236 0.127358 0.120709 0.120536
126 0 1 23 195 213 0.117949 0.112855 0.112745
127 0 1 22 209 209 0.105263 0.105263 0.105263
128 0 1 33 210 209 0.157895 0.157518 0.157518
129 0 1 28 192 216 0.145833 0.137493 0.137255
130 0 1 32 201 204 0.159204 0.158029 0.158025
131 0 1 29 190 198 0.152632 0.149516 0.149485
132 0 1 23 221 321 0.104072 0.0863534 0.0848708
133 0 1 29 202 276 0.143564 0.12282 0.121339
134 0 1 30 198 278 0.151515 0.127869 0.12605
135 0 1 23 189 256 0.121693 0.104563 0.103371
136 0 1 40 180 245 0.222222 0.190476 0.188235
137 0 1 43 183 228 0.234973 0.210511 0.209246
