#frame chA chB nCorr nA nB MNR GNR DICE
56 0 1 0 139 241 0 0 0
57 0 1 0 136 209 0 0 0
58 0 1 0 148 185 0 0 0
59 0 1 0 160 190 0 0 0
60 0 1 15 146 188 0.10274 0.090539 0.0898204
61 0 1 23 163 184 0.141104 0.132808 0.132565
62 0 1 25 149 168 0.167785 0.158013 0.157729
63 0 1 22 152 155 0.144737 0.143329 0.143322
64 0 1 23 139 136 0.169118 0.167283 0.167273
65 0 1 26 142 121 0.214876 0.198352 0.197719
66 0 1 13 110 73 0.178082 0.145073 0.142077
67 0 1 10 108 79 0.126582 0.108262 0.106952
68 0 1 9 89 64 0.140625 0.11925 0.117647
69 0 1 5 81 54 0.0925926 0.0756015 0.0740741
70 0 1 9 95 71 0.126761 0.109585 0.108434
71 0 1 5 57 60 0.0877193 0.0854982 0.0854701
72 0 1 4 69 59 0.0677966 0.0626916 0.0625
73 0 1 3 94 93 0.0322581 0.032086 0.0320856
74 0 1 1 65 58 0.0172414 0.0162866 0.0162602
75 0 1 2 89 65 0.0307692 0.0262953 0.025974
76 0 1 2 76 53 0.0377358 0.0315127 0.0310078
77 0 1 4 120 86 0.0465116 0.039375 0.038835
78 0 1 3 125 69 0.0434783 0.0323029 0.0309278
79 0 1 4 108 65 0.0615385 0.047741 0.0462428
80 0 1 4 167 109 0.0366972 0.0296475 0.0289855
81 0 1 10 169 106 0.0943396 0.0747143 0.0727273
82 0 1 12 169 111 0.108108 0.0876146 0.0857143
83 0 1 11 173 104 0.105769 0.0820074 0.0794224
84 0 1 15 179 103 0.145631 0.11047 0.106383
85 0 1 18 177 91 0.197802 0.141829 0.134328
86 0 1 13 171 87 0.149425 0.106582 0.100775
87 0 1 18 167 106 0.169811 0.135289 0.131868
88 0 1 17 192 116 0.146552 0.113912 0.11039
89 0 1 22 198 138 0.15942 0.133092 0.130952
90 0 1 27 190 145 0.186207 0.162668 0.161194
91 0 1 29 201 147 0.197279 0.16871 0.166667
92 0 1 33 194 147 0.22449 0.195413 0.193548
93 0 1 36 223 153 0.235294 0.194897 0.191489
94 0 1 27 218 141 0.191489 0.154002 0.150418
95 0 1 41 275 178 0.230337 0.185314 0.181015
96 0 1 28 183 137 0.20438 0.176837 0.175
97 0 1 23 190 108 0.212963 0.160561 0.154362
98 0 1 23 186 113 0.20354 0.158647 0.153846
99 0 1 26 192 110 0.236364 0.178907 0.172185
100 0 1 23 207 115 0.2 0.149071 0.142857
101 0 1 23 199 120 0.191667 0.148837 0.144201
102 0 1 20 206 133 0.150376 0.120829 0.117994
103 0 1 21 207 141 0.148936 0.122921 0.12069
104 0 1 17 212 142 0.119718 0.0979799 0.0960452
105 0 1 24 229 142 0.169014 0.133091 0.12938
106 0 1 20 224 162 0.123457 0.10499 0.103627
107 0 1 17 230 132 0.128788 0.0975659 0.0939227
108 0 1 22 251 169 0.130178 0.106818 0.104762
109 0 1 26 259 172 0.151163 0.123185 0.12065
110 0 1 42 272 188 0.223404 0.185732 0.182609
111 0 1 44 288 209 0.210526 0.179343 0.177062
112 0 1 43 293 197 0.218274 0.178979 0.17551
113 0 1 54 316 201 0.268657 0.214265 0.208897
114 0 1 48 318 202 0.237624 0.189388 0.184615
115 0 1 61 327 220 0.277273 0.227428 0.223035
116 0 1 54 302 193 0.279793 0.223672 0.218182
117 0 1 57 287 196 0.290816 0.240329 0.236025
118 0 1 53 261 181 0.292818 0.243846 0.239819
119 0 1 55 263 187 0.294118 0.248007 0.244444
120 0 1 54 269 173 0.312139 0.250319 0.244344
121 0 1 38 246 137 0.277372 0.206993 0.198433
122 0 1 36 292 154 0.233766 0.169766 0.161435
123 0 1 43 273 184 0.233696 0.191857 0.188184
124 0 1 41 252 151 0.271523 0.210182 0.203474
125 0 1 58 285 189 0.306878 0.249905 0.244726
126 0 1 52 287 183 0.284153 0.226901 0.221277
127 0 1 60 297 159 0.377358 0.276105 0.263158
128 0 1 58 317 173 0.33526 0.247671 0.236735
129 0 1 58 309 163 0.355828 0.258437 0.245763
130 0 1 63 294 153 0.411765 0.297044 0.281879
131 0 1 55 287 148 0.371622 0.266865 0.252874
132 0 1 49 269 140 0.35 0.252497 0.239609
133 0 1 45 257 166 0.271084 0.217867 0.212766
134 0 1 46 238 159 0.289308 0.236467 0.231738
135 0 1 32 231 132 0.242424 0.183256 0.176309
136 0 1 43 229 159 0.27044 0.225347 0.221649
137 0 1 44 249 176 0.25 0.210183 0.207059
