#frame chA chB nCorr nA nB MNR GNR DICE
55 0 1 0 69 294 0 0 0
56 0 1 0 85 291 0 0 0
57 0 1 0 69 255 0 0 0
58 0 1 0 99 236 0 0 0
59 0 1 13 128 226 0.101562 0.0764336 0.0734463
60 0 1 21 121 219 0.173554 0.129004 0.123529
61 0 1 17 110 205 0.154545 0.113208 0.107937
62 0 1 19 126 216 0.150794 0.115171 0.111111
63 0 1 18 112 189 0.160714 0.123718 0.119601
64 0 1 17 106 186 0.160377 0.121071 0.116438
65 0 1 15 80 161 0.1875 0.13217 0.124481
66 0 1 11 72 148 0.152778 0.10656 0.1
67 0 1 14 86 180 0.162791 0.112523 0.105263
68 0 1 12 74 162 0.162162 0.109599 0.101695
69 0 1 11 60 145 0.183333 0.117932 0.107317
70 0 1 7 98 234 0.0714286 0.046225 0.0421687
71 0 1 10 89 219 0.11236 0.071628 0.0649351
72 0 1 13 83 213 0.156627 0.097772 0.0878378
73 0 1 10 67 194 0.149254 0.0877125 0.0766283
74 0 1 14 63 181 0.222222 0.131105 0.114754
75 0 1 12 56 156 0.214286 0.128388 0.113208
76 0 1 20 79 204 0.253165 0.157544 0.141343
77 0 1 23 74 194 0.310811 0.19196 0.171642
78 0 1 18 69 189 0.26087 0.157622 0.139535
79 0 1 24 68 193 0.352941 0.209497 0.183908
80 0 1 33 69 190 0.478261 0.288212 0.254826
81 0 1 36 67 186 0.537313 0.322484 0.284585
82 0 1 33 71 198 0.464789 0.278325 0.245353
83 0 1 38 73 187 0.520548 0.325238 0.292308
84 0 1 39 78 201 0.5 0.311472 0.27957
85 0 1 29 73 184 0.39726 0.250223 0.225681
86 0 1 30 80 169 0.375 0.258008 0.240964
87 0 1 32 71 181 0.450704 0.282281 0.253968
88 0 1 42 74 178 0.567568 0.365951 0.333333
89 0 1 39 93 195 0.419355 0.289605 0.270833
90 0 1 36 105 195 0.342857 0.251588 0.24
91 0 1 35 100 198 0.35 0.248734 0.234899
92 0 1 40 105 189 0.380952 0.283945 0.272109
93 0 1 39 98 171 0.397959 0.301268 0.289963
94 0 1 30 102 144 0.294118 0.247537 0.243902
95 0 1 28 111 151 0.252252 0.216276 0.21374
96 0 1 23 93 138 0.247312 0.203024 0.199134
97 0 1 25 95 156 0.263158 0.20536 0.199203
98 0 1 25 87 164 0.287356 0.209295 0.199203
99 0 1 24 93 157 0.258065 0.198619 0.192
100 0 1 40 108 218 0.37037 0.260687 0.245399
101 0 1 47 89 211 0.52809 0.342974 0.313333
102 0 1 42 100 212 0.42 0.288457 0.269231
103 0 1 35 87 197 0.402299 0.267347 0.246479
104 0 1 48 82 195 0.585366 0.379592 0.34657
105 0 1 52 82 199 0.634146 0.407071 0.370107
106 0 1 49 75 185 0.653333 0.415987 0.376923
107 0 1 49 107 228 0.457944 0.313716 0.292537
108 0 1 44 103 225 0.427184 0.28903 0.268293
109 0 1 42 108 228 0.388889 0.267652 0.25
110 0 1 51 109 224 0.46789 0.326387 0.306306
111 0 1 48 113 221 0.424779 0.303743 0.287425
112 0 1 62 113 259 0.548673 0.362412 0.333333
113 0 1 70 119 258 0.588235 0.399498 0.371353
114 0 1 68 116 231 0.586207 0.415407 0.391931
115 0 1 63 117 224 0.538462 0.389156 0.369501
116 0 1 61 111 207 0.54955 0.402423 0.383648
117 0 1 42 107 189 0.392523 0.295343 0.283784
118 0 1 37 109 170 0.33945 0.271809 0.265233
119 0 1 32 100 139 0.32 0.27142 0.267782
120 0 1 29 110 142 0.263636 0.232037 0.230159
121 0 1 32 114 140 0.280702 0.253299 0.251969
122 0 1 36 108 118 0.333333 0.318896 0.318584
123 0 1 33 110 126 0.3 0.280306 0.279661
124 0 1 27 109 131 0.247706 0.225951 0.225
125 0 1 21 99 131 0.212121 0.184402 0.182609
126 0 1 33 116 168 0.284483 0.236391 0.232394
127 0 1 33 112 164 0.294643 0.243491 0.23913
128 0 1 45 124 210 0.362903 0.278864 0.269461
129 0 1 49 111 172 0.441441 0.354626 0.34629
130 0 1 53 112 202 0.473214 0.352364 0.33758
131 0 1 52 116 217 0.448276 0.327751 0.312312
132 0 1 58 114 196 0.508772 0.388014 0.374194
133 0 1 60 125 196 0.48 0.383326 0.373832
134 0 1 66 119 190 0.554622 0.438928 0.427184
135 0 1 54 99 197 0.545455 0.386672 0.364865
136 0 1 59 105 192 0.561905 0.415534 0.397306
137 0 1 53 105 187 0.504762 0.378234 0.363014
138 0 1 65 116 210 0.560345 0.416461 0.398773
139 0 1 60 123 209 0.487805 0.374219 0.361446
140 0 1 61 135 220 0.451852 0.353958 0.343662
141 0 1 63 139 215 0.453237 0.36443 0.355932
142 0 1 56 134 237 0.41791 0.31424 0.301887
143 0 1 53 138 249 0.384058 0.285915 0.273902
144 0 1 61 154 253 0.396104 0.309036 0.299754
145 0 1 60 154 238 0.38961 0.313402 0.306122
146 0 1 44 143 235 0.307692 0.240022 0.232804
147 0 1 44 155 197 0.283871 0.251799 0.25
148 0 1 35 129 156 0.271318 0.246724 0.245614
149 0 1 26 114 119 0.22807 0.223227 0.223176
150 0 1 33 108 105 0.314286 0.30989 0.309859
151 0 1 28 121 126 0.231405 0.226767 0.226721
152 0 1 29 117 120 0.247863 0.244745 0.244726
153 0 1 31 122 123 0.254098 0.253063 0.253061
154 0 1 39 115 171 0.33913 0.278111 0.272727
155 0 1 36 120 176 0.3 0.247717 0.243243
156 0 1 43 139 215 0.309353 0.248738 0.242938
157 0 1 40 127 192 0.314961 0.256158 0.250784
158 0 1 44 129 189 0.341085 0.281791 0.27673
159 0 1 58 120 193 0.483333 0.381117 0.370607
160 0 1 58 119 193 0.487395 0.382715 0.371795
161 0 1 62 111 188 0.558559 0.429192 0.414716
162 0 1 59 110 174 0.536364 0.426463 0.415493
163 0 1 58 106 183 0.54717 0.416437 0.401384
164 0 1 62 109 194 0.568807 0.426361 0.409241
165 0 1 62 116 212 0.534483 0.395362 0.378049
166 0 1 74 123 220 0.601626 0.44985 0.431487
167 0 1 68 135 232 0.503704 0.384236 0.370572
168 0 1 69 141 250 0.489362 0.36751 0.352941
169 0 1 77 148 285 0.52027 0.374919 0.355658
170 0 1 70 151 276 0.463576 0.34289 0.327869
171 0 1 66 150 276 0.44 0.324372 0.309859
172 0 1 74 170 293 0.435294 0.331569 0.319654
173 0 1 72 172 293 0.418605 0.320726 0.309677
174 0 1 77 174 282 0.442529 0.347609 0.337719
175 0 1 87 171 292 0.508772 0.389341 0.37581
176 0 1 65 151 261 0.430464 0.32742 0.315534
177 0 1 76 145 238 0.524138 0.409111 0.396867
178 0 1 70 132 242 0.530303 0.391655 0.374332
179 0 1 83 159 281 0.522013 0.392669 0.377273
180 0 1 76 152 289 0.5 0.362613 0.344671
181 0 1 74 154 292 0.480519 0.348963 0.331839
182 0 1 70 144 275 0.486111 0.351763 0.334129
183 0 1 76 147 279 0.517007 0.375278 0.356808
184 0 1 69 141 290 0.489362 0.341225 0.320186
185 0 1 65 132 268 0.492424 0.345588 0.325
186 0 1 62 154 269 0.402597 0.304618 0.293144
187 0 1 56 157 295 0.356688 0.260212 0.247788
188 0 1 72 165 304 0.436364 0.32148 0.307036
189 0 1 70 160 292 0.4375 0.323852 0.309735
190 0 1 79 161 302 0.490683 0.35827 0.341253
191 0 1 82 159 286 0.515723 0.384532 0.368539
192 0 1 85 174 283 0.488506 0.383046 0.371991
193 0 1 89 172 293 0.517442 0.396453 0.382796
194 0 1 72 167 291 0.431138 0.326609 0.31441
195 0 1 75 189 301 0.396825 0.314447 0.306122
196 0 1 72 183 304 0.393443 0.30526 0.295688
197 0 1 92 194 311 0.474227 0.374547 0.364356
198 0 1 78 187 303 0.417112 0.327682 0.318367
199 0 1 93 192 308 0.484375 0.382434 0.372
200 0 1 94 190 309 0.494737 0.387946 0.376754
201 0 1 89 181 299 0.491713 0.382574 0.370833
202 0 1 93 187 309 0.497326 0.386886 0.375
203 0 1 81 180 309 0.45 0.343455 0.331288
204 0 1 91 187 310 0.486631 0.377955 0.366197
205 0 1 87 180 309 0.483333 0.368896 0.355828
206 0 1 93 185 311 0.502703 0.387719 0.375
207 0 1 94 185 304 0.508108 0.396374 0.384458
208 0 1 98 186 308 0.526882 0.409444 0.396761
209 0 1 90 184 302 0.48913 0.381795 0.37037
210 0 1 90 187 310 0.481283 0.373801 0.362173
211 0 1 87 178 302 0.488764 0.375237 0.3625
212 0 1 86 185 307 0.464865 0.360864 0.349593
213 0 1 93 185 305 0.502703 0.391514 0.379592
214 0 1 91 187 306 0.486631 0.380417 0.369168
215 0 1 87 184 304 0.472826 0.367852 0.356557
216 0 1 89 184 304 0.483696 0.376309 0.364754
217 0 1 92 184 303 0.5 0.389635 0.377823
218 0 1 92 181 307 0.508287 0.390283 0.377049
219 0 1 91 185 308 0.491892 0.381224 0.369168
220 0 1 82 175 309 0.468571 0.352627 0.338843
221 0 1 87 184 302 0.472826 0.369068 0.358025
222 0 1 88 181 303 0.486188 0.37577 0.363636
223 0 1 88 186 304 0.473118 0.370075 0.359184
224 0 1 90 187 303 0.481283 0.378095 0.367347
225 0 1 80 185 302 0.432432 0.338455 0.328542
226 0 1 85 185 299 0.459459 0.361408 0.35124
227 0 1 83 183 295 0.453552 0.357225 0.34728
228 0 1 90 184 297 0.48913 0.384995 0.37422
229 0 1 93 184 303 0.505435 0.39387 0.38193
230 0 1 87 181 306 0.480663 0.369674 0.35729
231 0 1 88 185 300 0.475676 0.373539 0.362887
232 0 1 84 188 301 0.446809 0.353116 0.343558
233 0 1 94 184 304 0.51087 0.39745 0.385246
234 0 1 89 180 311 0.494444 0.376161 0.362525
235 0 1 87 188 309 0.462766 0.360962 0.350101
236 0 1 84 186 305 0.451613 0.352674 0.342159
237 0 1 84 178 311 0.47191 0.357017 0.343558
238 0 1 89 185 298 0.481081 0.37905 0.36853
239 0 1 87 187 307 0.465241 0.363103 0.352227
240 0 1 88 187 306 0.470588 0.367876 0.356998
241 0 1 81 188 304 0.430851 0.33882 0.329268
242 0 1 88 175 306 0.502857 0.38028 0.365904
243 0 1 88 177 293 0.497175 0.386422 0.374468
244 0 1 91 186 305 0.489247 0.382063 0.370672
245 0 1 83 182 311 0.456044 0.348869 0.336714
246 0 1 89 188 306 0.473404 0.371065 0.360324
247 0 1 77 182 311 0.423077 0.323649 0.312373
248 0 1 83 184 311 0.451087 0.346968 0.335354
249 0 1 85 179 303 0.47486 0.364982 0.352697
250 0 1 81 186 308 0.435484 0.338418 0.327935
251 0 1 86 185 309 0.464865 0.359694 0.348178
252 0 1 84 184 302 0.456522 0.356342 0.345679
253 0 1 79 181 312 0.436464 0.332438 0.320487
254 0 1 83 181 306 0.458564 0.352678 0.340862
255 0 1 80 180 308 0.444444 0.339765 0.327869
256 0 1 88 188 304 0.468085 0.368101 0.357724
257 0 1 84 181 304 0.464088 0.358099 0.346392
258 0 1 82 185 311 0.443243 0.34186 0.330645
259 0 1 84 182 308 0.461538 0.354787 0.342857
260 0 1 81 186 315 0.435484 0.334636 0.323353
261 0 1 91 181 310 0.502762 0.384168 0.370672
262 0 1 83 183 298 0.453552 0.355422 0.345114
263 0 1 80 182 303 0.43956 0.340669 0.329897
264 0 1 87 184 316 0.472826 0.3608 0.348
265 0 1 88 184 313 0.478261 0.366692 0.354125
266 0 1 85 192 302 0.442708 0.352992 0.34413
267 0 1 81 185 314 0.437838 0.336074 0.324649
268 0 1 88 177 308 0.497175 0.376895 0.362887
269 0 1 94 180 312 0.522222 0.396656 0.382114
270 0 1 91 180 307 0.505556 0.387111 0.373717
271 0 1 92 184 306 0.5 0.38772 0.37551
272 0 1 89 186 306 0.478495 0.373055 0.361789
273 0 1 81 186 308 0.435484 0.338418 0.327935
274 0 1 85 183 309 0.464481 0.357449 0.345528
275 0 1 95 195 316 0.487179 0.382704 0.37182
276 0 1 88 187 311 0.470588 0.364907 0.353414
277 0 1 86 189 315 0.455026 0.352462 0.34127
278 0 1 94 189 306 0.497355 0.390874 0.379798
279 0 1 93 179 311 0.519553 0.394163 0.379592
280 0 1 94 185 302 0.508108 0.397684 0.386037
281 0 1 89 188 315 0.473404 0.365726 0.353877
