#frame chA chB nCorr nA nB MNR GNR DICE
57 0 1 0 75 154 0 0 0
58 0 1 0 102 214 0 0 0
59 0 1 0 93 200 0 0 0
60 0 1 0 91 189 0 0 0
61 0 1 0 82 184 0 0 0
62 0 1 6 65 166 0.0923077 0.0577618 0.0519481
63 0 1 6 65 148 0.0923077 0.0611736 0.056338
64 0 1 9 80 175 0.1125 0.0760639 0.0705882
65 0 1 9 71 150 0.126761 0.0872103 0.081448
66 0 1 3 65 158 0.0461538 0.029603 0.0269058
67 0 1 4 48 115 0.0833333 0.0538382 0.0490798
68 0 1 2 63 164 0.031746 0.019676 0.0176211
69 0 1 2 58 144 0.0344828 0.0218844 0.019802
70 0 1 3 49 106 0.0612245 0.0416265 0.0387097
71 0 1 1 90 184 0.0111111 0.00777087 0.00729927
72 0 1 1 81 167 0.0123457 0.00859804 0.00806452
73 0 1 1 74 131 0.0135135 0.0101566 0.0097561
74 0 1 1 61 116 0.0163934 0.0118879 0.0112994
75 0 1 1 91 185 0.010989 0.00770714 0.00724638
76 0 1 1 77 161 0.012987 0.00898135 0.00840336
77 0 1 2 70 173 0.0285714 0.0181743 0.0164609
78 0 1 3 78 169 0.0384615 0.0261295 0.0242915
79 0 1 4 71 155 0.056338 0.0381298 0.0353982
80 0 1 4 79 162 0.0506329 0.0353581 0.033195
81 0 1 3 74 157 0.0405405 0.0278327 0.025974
82 0 1 1 80 152 0.0125 0.00906845 0.00862069
83 0 1 4 78 175 0.0512821 0.0342368 0.0316206
84 0 1 3 84 189 0.0357143 0.0238095 0.021978
85 0 1 1 87 211 0.0114943 0.00738073 0.00671141
86 0 1 0 84 208 0 0 0
87 0 1 0 74 183 0 0 0
88 0 1 3 78 205 0.0384615 0.0237245 0.0212014
89 0 1 2 80 226 0.025 0.0148741 0.0130719
90 0 1 8 88 218 0.0909091 0.0577591 0.0522876
91 0 1 9 86 221 0.104651 0.0652826 0.0586319
92 0 1 1 86 214 0.0116279 0.0073713 0.00666667
93 0 1 10 83 200 0.120482 0.0776151 0.0706714
94 0 1 9 100 269 0.09 0.054874 0.0487805
95 0 1 11 90 258 0.122222 0.0721874 0.0632184
96 0 1 10 79 186 0.126582 0.0824954 0.0754717
97 0 1 1 78 219 0.0128205 0.00765122 0.00673401
98 0 1 0 70 192 0 0 0
99 0 1 2 83 210 0.0240964 0.0151489 0.0136519
100 0 1 0 74 193 0 0 0
101 0 1 3 97 259 0.0309278 0.0189272 0.0168539
102 0 1 0 98 221 0 0 0
103 0 1 2 93 194 0.0215054 0.0148898 0.0139373
104 0 1 4 83 177 0.0481928 0.0330015 0.0307692
105 0 1 4 111 232 0.036036 0.0249261 0.0233236
106 0 1 2 112 196 0.0178571 0.0134987 0.012987
107 0 1 0 102 189 0 0 0
108 0 1 4 100 182 0.04 0.02965 0.0283688
109 0 1 1 100 187 0.01 0.00731272 0.00696864
110 0 1 5 109 214 0.0458716 0.0327378 0.0309598
111 0 1 10 123 230 0.0813008 0.0594543 0.0566572
112 0 1 9 131 277 0.0687023 0.0472462 0.0441176
113 0 1 5 135 284 0.037037 0.0255355 0.0238663
114 0 1 4 125 299 0.032 0.0206904 0.0188679
115 0 1 9 121 290 0.0743802 0.0480453 0.0437956
116 0 1 6 126 309 0.047619 0.0304079 0.0275862
117 0 1 4 104 278 0.0384615 0.0235245 0.0209424
118 0 1 6 113 283 0.0530973 0.033552 0.030303
119 0 1 13 111 275 0.117117 0.0744073 0.0673575
120 0 1 7 106 262 0.0660377 0.0420044 0.0380435
121 0 1 7 99 248 0.0707071 0.044674 0.0403458
122 0 1 3 89 235 0.0337079 0.020744 0.0185185
123 0 1 5 101 250 0.049505 0.0314658 0.02849
124 0 1 7 82 241 0.0853659 0.0497946 0.0433437
125 0 1 9 83 250 0.108434 0.0624789 0.0540541
126 0 1 9 103 260 0.0873786 0.0549968 0.0495868
127 0 1 5 105 286 0.047619 0.0288531 0.0255754
128 0 1 6 108 284 0.0555556 0.0342594 0.0306122
129 0 1 6 105 256 0.0571429 0.0365962 0.033241
130 0 1 6 110 222 0.0545455 0.0383953 0.0361446
131 0 1 5 107 241 0.046729 0.0311365 0.0287356
132 0 1 7 106 207 0.0660377 0.0472563 0.0447284
133 0 1 10 103 209 0.0970874 0.0681567 0.0641026
134 0 1 14 101 193 0.138614 0.100274 0.0952381
135 0 1 12 84 188 0.142857 0.0954911 0.0882353
136 0 1 7 121 243 0.0578512 0.0408227 0.0384615
137 0 1 12 119 234 0.10084 0.0719118 0.0679887
138 0 1 11 134 267 0.0820896 0.0581547 0.0548628
139 0 1 13 137 282 0.0948905 0.0661391 0.0620525
140 0 1 18 136 286 0.132353 0.0912683 0.0853081
141 0 1 9 136 272 0.0661765 0.0467938 0.0441176
142 0 1 7 135 299 0.0518519 0.0348414 0.0322581
143 0 1 8 109 288 0.0733945 0.0451524 0.0403023
144 0 1 12 119 288 0.10084 0.0648204 0.0589681
145 0 1 11 108 290 0.101852 0.0621558 0.0552764
146 0 1 9 105 301 0.0857143 0.0506249 0.044335
147 0 1 14 110 279 0.127273 0.0799152 0.0719794
148 0 1 10 107 261 0.0934579 0.0598395 0.0543478
149 0 1 9 99 255 0.0909091 0.0566441 0.0508475
150 0 1 4 87 226 0.045977 0.0285263 0.0255591
151 0 1 7 100 239 0.07 0.0452792 0.0412979
152 0 1 0 88 215 0 0 0
153 0 1 0 114 240 0 0 0
154 0 1 2 96 241 0.0208333 0.0131488 0.0118694
155 0 1 4 92 250 0.0434783 0.0263752 0.0233918
156 0 1 1 100 228 0.01 0.00662266 0.00609756
157 0 1 7 110 254 0.0636364 0.0418779 0.0384615
158 0 1 4 126 243 0.031746 0.0228598 0.0216802
159 0 1 8 120 234 0.0666667 0.047741 0.0451977
160 0 1 8 123 225 0.0650406 0.048089 0.045977
161 0 1 7 114 203 0.0614035 0.0460148 0.044164
162 0 1 11 126 244 0.0873016 0.0627354 0.0594595
163 0 1 12 124 244 0.0967742 0.0689883 0.0652174
164 0 1 10 133 251 0.075188 0.0547315 0.0520833
165 0 1 12 126 251 0.0952381 0.0674775 0.0636605
166 0 1 16 143 269 0.111888 0.0815785 0.0776699
167 0 1 6 136 287 0.0441176 0.0303697 0.0283688
168 0 1 14 133 279 0.105263 0.0726775 0.0679612
169 0 1 14 130 308 0.107692 0.069965 0.0639269
170 0 1 14 142 308 0.0985916 0.0669435 0.0622222
171 0 1 8 131 305 0.0610687 0.0400225 0.0366972
172 0 1 12 134 313 0.0895522 0.0585945 0.0536913
173 0 1 17 138 356 0.123188 0.0766981 0.0688259
174 0 1 20 152 350 0.131579 0.086711 0.0796813
175 0 1 18 148 339 0.121622 0.0803603 0.073922
176 0 1 15 146 320 0.10274 0.0693969 0.0643777
177 0 1 13 142 296 0.0915493 0.0634094 0.0593607
178 0 1 16 133 291 0.120301 0.0813294 0.0754717
179 0 1 20 139 293 0.143885 0.0991035 0.0925926
180 0 1 12 154 332 0.0779221 0.0530703 0.0493827
181 0 1 14 143 329 0.0979021 0.0645449 0.059322
182 0 1 18 156 318 0.115385 0.0808159 0.0759494
183 0 1 15 150 321 0.1 0.0683586 0.0636943
184 0 1 15 133 310 0.112782 0.0738728 0.0677201
185 0 1 14 133 278 0.105263 0.0728081 0.0681265
186 0 1 13 150 347 0.0866667 0.0569814 0.0523139
187 0 1 9 148 371 0.0608108 0.0384083 0.0346821
188 0 1 21 147 367 0.142857 0.0904123 0.0817121
189 0 1 16 149 356 0.107383 0.0694707 0.0633663
190 0 1 15 145 362 0.103448 0.0654716 0.0591716
191 0 1 13 148 342 0.0878378 0.0577829 0.0530612
192 0 1 17 150 348 0.113333 0.074407 0.0682731
193 0 1 20 156 347 0.128205 0.0859613 0.0795229
194 0 1 20 158 352 0.126582 0.0848067 0.0784314
195 0 1 18 137 320 0.131387 0.0859681 0.0787746
196 0 1 18 146 334 0.123288 0.0815122 0.075
197 0 1 16 143 335 0.111888 0.073102 0.0669456
198 0 1 18 143 330 0.125874 0.0828605 0.0761099
199 0 1 18 147 336 0.122449 0.0809924 0.0745342
200 0 1 21 147 336 0.142857 0.0944911 0.0869565
201 0 1 18 138 331 0.130435 0.0842207 0.0767591
202 0 1 15 144 329 0.104167 0.0689147 0.0634249
203 0 1 14 139 325 0.100719 0.0658687 0.0603448
204 0 1 19 136 336 0.139706 0.0888821 0.0805085
205 0 1 19 138 329 0.137681 0.0891695 0.0813705
206 0 1 23 133 331 0.172932 0.10962 0.0991379
207 0 1 26 137 330 0.189781 0.12228 0.111349
208 0 1 23 140 333 0.164286 0.106523 0.0972516
209 0 1 24 136 330 0.176471 0.113288 0.103004
210 0 1 26 139 329 0.18705 0.121582 0.111111
211 0 1 23 137 319 0.167883 0.11002 0.100877
212 0 1 23 137 333 0.167883 0.107683 0.0978723
213 0 1 26 139 326 0.18705 0.12214 0.111828
214 0 1 21 139 326 0.151079 0.0986514 0.0903226
215 0 1 20 145 327 0.137931 0.0918485 0.0847458
216 0 1 26 143 325 0.181818 0.120605 0.111111
217 0 1 22 141 327 0.156028 0.102456 0.0940171
218 0 1 25 138 332 0.181159 0.116797 0.106383
219 0 1 23 142 325 0.161972 0.107064 0.0985011
220 0 1 16 144 330 0.111111 0.0733976 0.0675105
221 0 1 23 135 327 0.17037 0.109468 0.0995671
222 0 1 22 138 325 0.15942 0.103882 0.0950324
223 0 1 24 143 326 0.167832 0.111156 0.102345
224 0 1 24 143 327 0.167832 0.110986 0.102128
225 0 1 21 144 324 0.145833 0.0972222 0.0897436
226 0 1 24 136 329 0.176471 0.11346 0.103226
227 0 1 19 140 323 0.135714 0.0893487 0.0820734
228 0 1 21 142 325 0.147887 0.0977537 0.0899358
229 0 1 27 142 324 0.190141 0.125877 0.11588
230 0 1 21 141 325 0.148936 0.0980998 0.0901288
231 0 1 20 141 320 0.141844 0.0941554 0.0867679
232 0 1 22 143 328 0.153846 0.101582 0.0934183
233 0 1 22 143 325 0.153846 0.10205 0.0940171
