#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 193 214 0 0 0
3 0 1 0 191 185 0 0 0
4 0 1 0 210 167 0 0 0
5 0 1 0 198 169 0 0 0
6 0 1 9 221 183 0.0491803 0.0447529 0.0445545
7 0 1 15 174 152 0.0986842 0.0922348 0.0920245
8 0 1 16 191 173 0.0924855 0.0880198 0.0879121
9 0 1 21 225 203 0.103448 0.0982607 0.0981308
10 0 1 20 191 168 0.119048 0.11165 0.111421
11 0 1 25 209 189 0.132275 0.125787 0.125628
12 0 1 23 252 203 0.1133 0.10169 0.101099
13 0 1 32 179 165 0.193939 0.186201 0.186047
14 0 1 23 211 173 0.132948 0.120383 0.119792
15 0 1 21 193 132 0.159091 0.131569 0.129231
16 0 1 24 236 125 0.192 0.139733 0.132964
17 0 1 29 233 173 0.16763 0.144443 0.142857
18 0 1 45 261 208 0.216346 0.193135 0.191898
19 0 1 48 273 226 0.212389 0.193244 0.192385
20 0 1 62 272 190 0.326316 0.272728 0.268398
21 0 1 51 308 227 0.22467 0.192878 0.190654
22 0 1 60 310 202 0.29703 0.23977 0.234375
23 0 1 71 337 233 0.304721 0.253376 0.249123
24 0 1 72 340 253 0.284585 0.245489 0.242833
25 0 1 82 339 265 0.309434 0.273584 0.271523
26 0 1 71 288 268 0.264925 0.255561 0.255396
27 0 1 56 298 239 0.23431 0.209836 0.208566
28 0 1 58 302 246 0.235772 0.212793 0.211679
29 0 1 63 272 222 0.283784 0.256377 0.255061
30 0 1 47 293 226 0.207965 0.182646 0.181118
31 0 1 59 282 220 0.268182 0.236873 0.23506
32 0 1 56 334 247 0.226721 0.194969 0.192771
33 0 1 56 299 241 0.232365 0.208614 0.207407
34 0 1 62 318 243 0.255144 0.223036 0.221034
35 0 1 59 323 276 0.213768 0.197604 0.196995
36 0 1 81 355 286 0.283217 0.254207 0.25273
37 0 1 82 376 298 0.275168 0.244969 0.243323
38 0 1 83 378 296 0.280405 0.248134 0.246291
39 0 1 108 429 361 0.299169 0.274436 0.273418
40 0 1 107 435 347 0.308357 0.275407 0.273657
41 0 1 119 442 344 0.34593 0.30518 0.302799
42 0 1 128 411 354 0.361582 0.335573 0.334641
43 0 1 108 384 325 0.332308 0.305715 0.304654
44 0 1 101 376 283 0.35689 0.309624 0.306525
45 0 1 96 349 249 0.385542 0.325656 0.32107
46 0 1 85 358 263 0.323194 0.277013 0.273752
47 0 1 81 325 260 0.311538 0.278648 0.276923
48 0 1 80 324 268 0.298507 0.271488 0.27027
49 0 1 60 290 195 0.307692 0.25231 0.247423
50 0 1 75 365 230 0.326087 0.258852 0.252101
51 0 1 83 349 273 0.304029 0.268896 0.266881
52 0 1 88 364 284 0.309859 0.273699 0.271605
53 0 1 105 341 273 0.384615 0.344137 0.34202
54 0 1 100 383 281 0.355872 0.304823 0.301205
55 0 1 120 400 288 0.416667 0.353553 0.348837
56 0 1 107 400 305 0.35082 0.30634 0.303546
57 0 1 130 418 313 0.415335 0.359404 0.355677
58 0 1 130 433 313 0.415335 0.353124 0.348525
59 0 1 137 492 365 0.375342 0.323289 0.31972
60 0 1 115 442 336 0.342262 0.298413 0.29563
61 0 1 99 408 279 0.354839 0.293429 0.28821
62 0 1 94 387 280 0.335714 0.285557 0.281859
63 0 1 88 372 259 0.339768 0.283505 0.278922
64 0 1 92 380 262 0.351145 0.291572 0.286604
65 0 1 83 346 242 0.342975 0.286835 0.282313
66 0 1 67 343 266 0.25188 0.221813 0.220033
67 0 1 59 345 251 0.23506 0.200496 0.197987
68 0 1 69 339 242 0.285124 0.240903 0.237522
69 0 1 61 373 280 0.217857 0.188754 0.18683
70 0 1 77 374 305 0.252459 0.227984 0.226804
71 0 1 86 389 320 0.26875 0.243752 0.242595
72 0 1 94 444 329 0.285714 0.245945 0.243208
73 0 1 116 444 357 0.32493 0.291362 0.289638
74 0 1 103 445 357 0.288515 0.258418 0.256858
75 0 1 136 476 394 0.345178 0.314042 0.312644
76 0 1 122 494 386 0.316062 0.279385 0.277273
77 0 1 114 431 314 0.363057 0.309886 0.30604
78 0 1 119 412 302 0.39404 0.337361 0.333333
79 0 1 104 419 269 0.386617 0.309778 0.302326
80 0 1 95 371 264 0.359848 0.303553 0.299213
81 0 1 94 349 245 0.383673 0.321464 0.316498
82 0 1 83 311 238 0.34874 0.305077 0.302368
83 0 1 75 327 251 0.298805 0.261788 0.259516
84 0 1 69 287 209 0.330144 0.281731 0.278226
85 0 1 52 293 200 0.26 0.21481 0.210953
86 0 1 55 352 208 0.264423 0.203264 0.196429
87 0 1 68 352 218 0.311927 0.245476 0.238596
88 0 1 68 389 237 0.28692 0.223955 0.217252
89 0 1 93 383 290 0.32069 0.279052 0.276374
90 0 1 105 387 300 0.35 0.308158 0.305677
91 0 1 102 356 296 0.344595 0.314217 0.312883
92 0 1 111 366 288 0.385417 0.34189 0.33945
93 0 1 116 394 304 0.381579 0.335176 0.332378
94 0 1 118 406 298 0.395973 0.339243 0.335227
95 0 1 125 410 292 0.428082 0.361266 0.356125
96 0 1 132 497 348 0.37931 0.317399 0.312426
97 0 1 118 468 294 0.401361 0.318116 0.309711
98 0 1 106 436 282 0.375887 0.3023 0.295265
99 0 1 93 423 277 0.33574 0.27169 0.265714
100 0 1 108 421 291 0.371134 0.308558 0.303371
101 0 1 92 410 274 0.335766 0.274486 0.269006
102 0 1 95 393 271 0.350554 0.2911 0.286145
103 0 1 75 369 242 0.309917 0.250981 0.245499
104 0 1 87 344 242 0.359504 0.301531 0.296928
105 0 1 70 312 208 0.336538 0.274783 0.269231
106 0 1 61 354 240 0.254167 0.209278 0.205387
107 0 1 74 357 255 0.290196 0.24526 0.24183
108 0 1 67 378 263 0.254753 0.212496 0.209048
109 0 1 93 389 284 0.327465 0.279801 0.276374
110 0 1 89 376 291 0.305842 0.26906 0.266867
111 0 1 115 425 314 0.366242 0.314803 0.311231
112 0 1 107 426 303 0.353135 0.297823 0.293553
113 0 1 124 436 331 0.374622 0.326411 0.323338
114 0 1 138 437 363 0.380165 0.346485 0.345
115 0 1 132 468 377 0.350133 0.314254 0.312426
116 0 1 143 476 360 0.397222 0.345447 0.342105
117 0 1 130 476 360 0.361111 0.314043 0.311005
118 0 1 143 462 355 0.402817 0.353103 0.350061
119 0 1 145 455 347 0.417867 0.36492 0.361596
120 0 1 129 432 313 0.412141 0.350813 0.346309
121 0 1 134 435 299 0.448161 0.371556 0.365123
122 0 1 112 398 279 0.401434 0.336105 0.330871
123 0 1 110 432 286 0.384615 0.312945 0.306407
124 0 1 122 430 275 0.443636 0.35478 0.346099
125 0 1 104 384 250 0.416 0.335659 0.328076
126 0 1 87 415 260 0.334615 0.264855 0.257778
127 0 1 93 396 256 0.363281 0.292089 0.285276
128 0 1 97 388 255 0.380392 0.30838 0.301711
129 0 1 103 393 267 0.385768 0.317969 0.312121
130 0 1 105 367 275 0.381818 0.330514 0.327103
131 0 1 99 369 256 0.386719 0.322108 0.3168
132 0 1 97 356 252 0.384921 0.323852 0.319079
133 0 1 103 413 341 0.302053 0.274464 0.27321
134 0 1 103 399 336 0.306548 0.281307 0.280272
135 0 1 91 367 311 0.292605 0.269357 0.268437
136 0 1 104 366 302 0.344371 0.312816 0.311377
137 0 1 95 338 263 0.361217 0.318631 0.31614
138 0 1 96 406 323 0.297214 0.265098 0.263374
139 0 1 98 401 326 0.300613 0.271047 0.269601
