#frame chA chB nCorr nA nB MNR GNR DICE
166 0 1 0 450 333 0 0 0
167 0 1 0 435 330 0 0 0
168 0 1 0 408 306 0 0 0
169 0 1 0 394 334 0 0 0
170 0 1 187 327 306 0.611111 0.591163 0.590837
171 0 1 212 337 332 0.638554 0.633799 0.633782
172 0 1 220 324 320 0.6875 0.683243 0.68323
173 0 1 219 347 328 0.667683 0.649146 0.648889
174 0 1 233 340 323 0.721362 0.703097 0.702866
175 0 1 240 328 314 0.764331 0.747841 0.747664
176 0 1 235 313 300 0.783333 0.766894 0.766721
177 0 1 229 376 390 0.609043 0.598011 0.597911
178 0 1 225 355 394 0.633803 0.601617 0.600801
179 0 1 202 232 340 0.87069 0.71923 0.706294
180 0 1 208 275 420 0.756364 0.612029 0.598561
181 0 1 211 262 394 0.805344 0.656725 0.643293
182 0 1 211 297 380 0.710438 0.628076 0.623338
183 0 1 195 271 354 0.719557 0.629576 0.624
184 0 1 225 337 443 0.667656 0.582325 0.576923
185 0 1 219 323 443 0.678019 0.57895 0.571802
186 0 1 196 296 397 0.662162 0.571762 0.565657
187 0 1 180 277 391 0.649819 0.546946 0.538922
188 0 1 197 267 370 0.737828 0.626772 0.618524
189 0 1 207 290 446 0.713793 0.575578 0.5625
190 0 1 191 271 405 0.704797 0.576529 0.565089
191 0 1 182 229 389 0.79476 0.609788 0.588997
192 0 1 173 266 412 0.650376 0.522585 0.510324
193 0 1 187 234 364 0.799145 0.640742 0.625418
194 0 1 171 242 402 0.706612 0.548246 0.531056
195 0 1 154 215 363 0.716279 0.551249 0.532872
196 0 1 158 226 394 0.699115 0.529486 0.509677
197 0 1 151 226 346 0.668142 0.539989 0.527972
198 0 1 146 222 359 0.657658 0.517165 0.502582
199 0 1 137 205 327 0.668293 0.529139 0.515038
200 0 1 137 213 351 0.643192 0.501046 0.485816
201 0 1 133 207 308 0.642512 0.526734 0.516505
202 0 1 126 220 343 0.572727 0.458682 0.447602
203 0 1 124 203 318 0.610837 0.488045 0.476008
204 0 1 135 196 309 0.688776 0.548563 0.534653
205 0 1 111 218 313 0.509174 0.424935 0.418079
206 0 1 128 217 312 0.589862 0.491929 0.483932
207 0 1 127 197 292 0.64467 0.529516 0.519427
208 0 1 116 222 338 0.522523 0.42347 0.414286
209 0 1 124 227 329 0.546256 0.453744 0.446043
210 0 1 133 220 309 0.604545 0.510107 0.502836
211 0 1 127 209 286 0.607656 0.519455 0.513131
212 0 1 119 190 259 0.626316 0.536439 0.530067
213 0 1 113 233 311 0.484979 0.419779 0.415441
214 0 1 117 237 316 0.493671 0.427532 0.423146
215 0 1 100 219 275 0.456621 0.407485 0.404858
216 0 1 96 215 286 0.446512 0.387141 0.383234
217 0 1 110 209 256 0.526316 0.475554 0.473118
