#frame chA chB nCorr nA nB MNR GNR DICE
83 0 1 0 173 82 0 0 0
84 0 1 0 131 77 0 0 0
85 0 1 0 126 87 0 0 0
86 0 1 0 100 106 0 0 0
87 0 1 1 77 80 0.012987 0.0127412 0.0127389
88 0 1 1 64 57 0.0175439 0.0165567 0.0165289
89 0 1 1 40 35 0.0285714 0.0267261 0.0266667
90 0 1 1 40 38 0.0263158 0.0256495 0.025641
91 0 1 2 52 55 0.0384615 0.0373979 0.0373832
92 0 1 0 36 36 0 0 0
93 0 1 0 40 43 0 0 0
94 0 1 0 57 43 0 0 0
95 0 1 1 39 33 0.030303 0.0278747 0.0277778
96 0 1 1 29 31 0.0344828 0.0333519 0.0333333
97 0 1 0 29 23 0 0 0
98 0 1 2 20 18 0.111111 0.105409 0.105263
99 0 1 4 16 20 0.25 0.223607 0.222222
100 0 1 3 6 5 0.6 0.547723 0.545455
101 0 1 2 7 3 0.666667 0.436436 0.4
102 0 1 2 8 8 0.25 0.25 0.25
103 0 1 1 7 5 0.2 0.169031 0.166667
104 0 1 1 6 4 0.25 0.204124 0.2
109 0 1 0 36 14 0 0 0
110 0 1 2 58 41 0.0487805 0.0410132 0.040404
111 0 1 4 73 41 0.097561 0.073115 0.0701754
112 0 1 8 72 44 0.181818 0.142134 0.137931
113 0 1 10 90 64 0.15625 0.131762 0.12987
114 0 1 13 91 67 0.19403 0.166489 0.164557
115 0 1 15 98 78 0.192308 0.171566 0.170455
116 0 1 10 84 70 0.142857 0.13041 0.12987
117 0 1 13 110 65 0.2 0.153741 0.148571
118 0 1 10 122 80 0.125 0.101222 0.0990099
119 0 1 5 122 72 0.0694444 0.0533487 0.0515464
120 0 1 3 116 34 0.0882353 0.0477697 0.04
121 0 1 2 153 42 0.047619 0.0249494 0.0205128
122 0 1 9 150 69 0.130435 0.0884652 0.0821918
123 0 1 15 126 81 0.185185 0.148478 0.144928
124 0 1 13 121 71 0.183099 0.140256 0.135417
125 0 1 10 95 55 0.181818 0.138343 0.133333
126 0 1 12 103 62 0.193548 0.150164 0.145455
127 0 1 14 97 55 0.254545 0.191673 0.184211
128 0 1 9 103 52 0.173077 0.122977 0.116129
129 0 1 8 96 53 0.150943 0.112154 0.107383
130 0 1 8 75 38 0.210526 0.149854 0.141593
131 0 1 9 49 41 0.219512 0.200795 0.2
132 0 1 5 31 28 0.178571 0.169711 0.169492
133 0 1 2 17 16 0.125 0.121268 0.121212
134 0 1 1 13 13 0.0769231 0.0769231 0.0769231
135 0 1 1 8 7 0.142857 0.133631 0.133333
142 0 1 0 7 3 0 0 0
147 0 1 6 62 30 0.2 0.139122 0.130435
148 0 1 14 86 48 0.291667 0.2179 0.208955
149 0 1 21 117 65 0.323077 0.240807 0.230769
150 0 1 19 123 62 0.306452 0.217573 0.205405
151 0 1 19 124 79 0.240506 0.191968 0.187192
152 0 1 18 138 67 0.268657 0.187196 0.17561
153 0 1 17 130 65 0.261538 0.184936 0.174359
154 0 1 18 139 66 0.272727 0.187929 0.17561
155 0 1 11 143 55 0.2 0.124035 0.111111
156 0 1 11 143 49 0.22449 0.131409 0.114583
157 0 1 11 134 47 0.234043 0.138609 0.121547
158 0 1 9 139 50 0.18 0.107957 0.0952381
159 0 1 10 127 41 0.243902 0.138582 0.119048
160 0 1 6 130 35 0.171429 0.0889499 0.0727273
161 0 1 7 119 37 0.189189 0.105493 0.0897436
162 0 1 5 98 31 0.16129 0.0907144 0.0775194
163 0 1 7 93 29 0.241379 0.13479 0.114754
164 0 1 4 88 20 0.2 0.0953463 0.0740741
165 0 1 3 77 19 0.157895 0.078433 0.0625
166 0 1 5 76 12 0.416667 0.165567 0.113636
167 0 1 6 57 12 0.5 0.229416 0.173913
168 0 1 2 73 18 0.111111 0.0551737 0.043956
169 0 1 2 70 13 0.153846 0.0662994 0.0481928
170 0 1 2 98 46 0.0434783 0.0297878 0.0277778
171 0 1 1 82 34 0.0294118 0.0189389 0.0172414
172 0 1 1 70 38 0.0263158 0.0193892 0.0185185
173 0 1 1 168 171 0.00595238 0.00589994 0.0058997
174 0 1 3 154 163 0.0194805 0.0189351 0.0189274
175 0 1 9 158 157 0.0573248 0.0571431 0.0571429
176 0 1 5 151 158 0.0331126 0.0323708 0.0323625
177 0 1 27 147 155 0.183673 0.178871 0.178808
178 0 1 34 139 150 0.244604 0.235465 0.235294
179 0 1 27 128 121 0.22314 0.216953 0.216867
180 0 1 41 130 138 0.315385 0.306107 0.30597
181 0 1 35 130 125 0.28 0.274563 0.27451
182 0 1 36 125 129 0.288 0.2835 0.283465
183 0 1 40 124 130 0.322581 0.315049 0.314961
184 0 1 32 127 115 0.278261 0.264789 0.264463
185 0 1 38 124 125 0.306452 0.305223 0.305221
186 0 1 35 121 122 0.289256 0.288068 0.288066
187 0 1 36 124 127 0.290323 0.286873 0.286853
188 0 1 38 121 114 0.333333 0.323548 0.323404
189 0 1 31 120 128 0.258333 0.25013 0.25
190 0 1 31 117 115 0.269565 0.267251 0.267241
191 0 1 39 117 128 0.333333 0.318689 0.318367
192 0 1 41 123 133 0.333333 0.320557 0.320312
193 0 1 38 128 124 0.306452 0.301625 0.301587
194 0 1 44 123 141 0.357724 0.334111 0.333333
195 0 1 40 129 140 0.310078 0.297647 0.297398
196 0 1 39 131 134 0.29771 0.294358 0.29434
197 0 1 42 133 140 0.315789 0.307793 0.307692
198 0 1 36 131 149 0.274809 0.257676 0.257143
199 0 1 39 142 149 0.274648 0.268119 0.268041
200 0 1 40 137 147 0.291971 0.281865 0.28169
201 0 1 42 144 143 0.293706 0.292685 0.292683
202 0 1 45 147 154 0.306122 0.299084 0.299003
203 0 1 42 157 148 0.283784 0.27553 0.27541
204 0 1 38 157 154 0.246753 0.244384 0.244373
205 0 1 36 164 153 0.235294 0.227266 0.227129
206 0 1 43 170 160 0.26875 0.260726 0.260606
207 0 1 41 159 156 0.262821 0.260329 0.260317
208 0 1 35 156 150 0.233333 0.228802 0.228758
209 0 1 42 151 157 0.278146 0.272779 0.272727
210 0 1 41 140 154 0.292857 0.279228 0.278912
211 0 1 43 142 153 0.302817 0.291728 0.291525
212 0 1 36 143 146 0.251748 0.249148 0.249135
213 0 1 39 137 158 0.284672 0.265079 0.264407
214 0 1 42 140 148 0.3 0.291779 0.291667
215 0 1 44 142 159 0.309859 0.292826 0.292359
216 0 1 35 140 137 0.255474 0.252722 0.252708
217 0 1 44 139 153 0.316547 0.301717 0.30137
218 0 1 43 133 154 0.323308 0.300457 0.299652
219 0 1 43 141 152 0.304965 0.293722 0.293515
220 0 1 44 140 149 0.314286 0.304646 0.304498
221 0 1 45 137 153 0.328467 0.310818 0.310345
222 0 1 39 137 144 0.284672 0.277666 0.27758
223 0 1 35 125 146 0.28 0.259082 0.258303
224 0 1 39 135 158 0.288889 0.267036 0.266212
225 0 1 43 135 160 0.318519 0.292578 0.291525
226 0 1 43 144 162 0.298611 0.281533 0.281046
227 0 1 32 137 141 0.233577 0.23024 0.230216
228 0 1 43 138 141 0.311594 0.308262 0.308244
229 0 1 45 143 146 0.314685 0.311435 0.311419
230 0 1 46 139 162 0.330935 0.306544 0.305648
231 0 1 42 145 147 0.289655 0.287678 0.287671
232 0 1 38 163 125 0.304 0.266216 0.263889
233 0 1 36 157 131 0.274809 0.251025 0.25
234 0 1 33 166 128 0.257812 0.226389 0.22449
235 0 1 30 149 114 0.263158 0.230184 0.228137
236 0 1 24 137 102 0.235294 0.203026 0.200837
237 0 1 27 144 97 0.278351 0.228453 0.224066
238 0 1 21 133 76 0.276316 0.208875 0.200957
239 0 1 19 143 116 0.163793 0.147522 0.146718
240 0 1 13 131 107 0.121495 0.109803 0.109244
241 0 1 15 137 101 0.148515 0.127518 0.12605
242 0 1 13 127 102 0.127451 0.11422 0.113537
243 0 1 15 117 96 0.15625 0.141535 0.140845
244 0 1 13 154 149 0.0872483 0.0858203 0.0858086
245 0 1 11 142 126 0.0873016 0.0822362 0.0820896
246 0 1 17 137 116 0.146552 0.134853 0.134387
247 0 1 13 122 102 0.127451 0.116537 0.116071
