#frame chA chB nCorr nA nB MNR GNR DICE
197 0 1 0 80 282 0 0 0
198 0 1 0 106 312 0 0 0
199 0 1 0 97 286 0 0 0
200 0 1 0 95 285 0 0 0
201 0 1 6 92 281 0.0652174 0.0373168 0.0321716
202 0 1 14 95 277 0.147368 0.0863031 0.0752688
203 0 1 14 93 267 0.150538 0.0888446 0.0777778
204 0 1 29 92 259 0.315217 0.187869 0.165242
205 0 1 23 180 377 0.127778 0.0882919 0.0825853
206 0 1 26 159 350 0.163522 0.110215 0.102161
207 0 1 22 155 334 0.141935 0.0966905 0.0899796
208 0 1 22 155 326 0.141935 0.0978696 0.0914761
209 0 1 37 152 335 0.243421 0.163967 0.151951
210 0 1 46 147 337 0.312925 0.206673 0.190083
211 0 1 55 156 356 0.352564 0.233386 0.214844
212 0 1 63 153 352 0.411765 0.271471 0.249505
213 0 1 57 157 330 0.363057 0.250419 0.234086
214 0 1 58 160 328 0.3625 0.253181 0.237705
215 0 1 57 159 315 0.358491 0.254695 0.240506
216 0 1 67 164 342 0.408537 0.282904 0.264822
217 0 1 56 158 326 0.35443 0.246746 0.231405
218 0 1 62 158 340 0.392405 0.2675 0.248996
219 0 1 66 148 319 0.445946 0.303751 0.282655
220 0 1 75 154 330 0.487013 0.332693 0.309917
221 0 1 72 159 329 0.45283 0.314801 0.295082
222 0 1 66 149 325 0.442953 0.299923 0.278481
223 0 1 63 162 314 0.388889 0.27933 0.264706
224 0 1 68 146 340 0.465753 0.305206 0.279835
225 0 1 67 146 315 0.458904 0.312423 0.290672
226 0 1 76 146 339 0.520548 0.341615 0.313402
227 0 1 61 135 331 0.451852 0.288569 0.261803
228 0 1 71 127 317 0.559055 0.353856 0.31982
229 0 1 64 120 310 0.533333 0.331825 0.297674
230 0 1 59 127 294 0.464567 0.305335 0.280285
231 0 1 49 113 277 0.433628 0.27696 0.251282
232 0 1 49 155 244 0.316129 0.251962 0.245614
233 0 1 37 155 207 0.23871 0.206562 0.20442
234 0 1 23 124 183 0.185484 0.152683 0.149837
235 0 1 25 114 146 0.219298 0.193781 0.192308
236 0 1 25 114 135 0.219298 0.201521 0.200803
237 0 1 32 104 132 0.307692 0.273115 0.271186
238 0 1 28 104 123 0.269231 0.247565 0.246696
239 0 1 32 96 110 0.333333 0.3114 0.31068
240 0 1 31 107 91 0.340659 0.314159 0.313131
241 0 1 33 97 92 0.358696 0.349329 0.349206
242 0 1 33 93 96 0.354839 0.34925 0.349206
243 0 1 34 93 93 0.365591 0.365591 0.365591
244 0 1 38 89 81 0.469136 0.447555 0.447059
245 0 1 31 83 77 0.402597 0.387773 0.3875
246 0 1 31 85 83 0.373494 0.369074 0.369048
247 0 1 34 91 77 0.441558 0.406175 0.404762
248 0 1 37 87 71 0.521127 0.470774 0.468354
249 0 1 35 88 72 0.486111 0.439704 0.4375
250 0 1 24 81 72 0.333333 0.31427 0.313726
251 0 1 23 78 73 0.315068 0.304803 0.304636
252 0 1 25 70 72 0.357143 0.352148 0.352113
253 0 1 30 80 86 0.375 0.361682 0.361446
254 0 1 22 72 85 0.305556 0.28122 0.280255
255 0 1 20 69 87 0.289855 0.258134 0.25641
256 0 1 20 70 74 0.285714 0.277885 0.277778
257 0 1 30 71 71 0.422535 0.422535 0.422535
258 0 1 31 76 91 0.407895 0.372764 0.371257
259 0 1 21 76 85 0.276316 0.261278 0.26087
260 0 1 18 73 86 0.246575 0.227176 0.226415
261 0 1 24 72 83 0.333333 0.31046 0.309677
262 0 1 21 74 89 0.283784 0.258767 0.257669
263 0 1 27 75 86 0.36 0.336189 0.335404
264 0 1 30 70 81 0.428571 0.39841 0.397351
265 0 1 25 75 85 0.333333 0.313112 0.3125
266 0 1 25 68 81 0.367647 0.336855 0.33557
267 0 1 21 64 78 0.328125 0.297223 0.295775
268 0 1 33 71 83 0.464789 0.429879 0.428571
269 0 1 31 73 81 0.424658 0.403142 0.402597
270 0 1 28 74 80 0.378378 0.363913 0.363636
271 0 1 32 73 77 0.438356 0.426818 0.426667
272 0 1 31 73 81 0.424658 0.403142 0.402597
273 0 1 33 74 80 0.445946 0.428897 0.428571
274 0 1 31 74 82 0.418919 0.39796 0.397436
275 0 1 26 75 81 0.346667 0.33358 0.333333
276 0 1 27 71 80 0.380282 0.358253 0.357616
277 0 1 32 74 82 0.432432 0.410797 0.410256
278 0 1 27 74 79 0.364865 0.35313 0.352941
279 0 1 31 70 83 0.442857 0.406699 0.405229
280 0 1 31 76 79 0.407895 0.400075 0.4
281 0 1 31 73 84 0.424658 0.395877 0.394904
282 0 1 29 75 78 0.386667 0.379158 0.379085
283 0 1 32 75 81 0.426667 0.41056 0.410256
284 0 1 26 70 80 0.371429 0.34744 0.346667
285 0 1 29 70 86 0.414286 0.373766 0.371795
286 0 1 33 74 81 0.445946 0.426241 0.425806
287 0 1 31 71 82 0.43662 0.40628 0.405229
288 0 1 32 74 79 0.432432 0.418524 0.418301
289 0 1 27 69 80 0.391304 0.363408 0.362416
290 0 1 30 68 81 0.441176 0.404226 0.402685
291 0 1 28 71 83 0.394366 0.364745 0.363636
292 0 1 31 71 85 0.43662 0.399046 0.397436
293 0 1 33 75 84 0.44 0.415761 0.415094
294 0 1 30 75 81 0.4 0.3849 0.384615
295 0 1 30 68 82 0.441176 0.401754 0.4
296 0 1 26 72 84 0.361111 0.334324 0.333333
297 0 1 26 72 85 0.361111 0.332351 0.33121
298 0 1 30 67 85 0.447761 0.397534 0.394737
299 0 1 33 73 81 0.452055 0.429151 0.428571
300 0 1 29 70 84 0.414286 0.378189 0.376623
301 0 1 31 75 83 0.413333 0.392909 0.392405
302 0 1 29 69 83 0.42029 0.383208 0.381579
303 0 1 30 74 83 0.405405 0.382795 0.382166
304 0 1 31 70 85 0.442857 0.401886 0.4
305 0 1 32 72 81 0.444444 0.419026 0.418301
306 0 1 28 74 82 0.378378 0.359447 0.358974
307 0 1 33 75 83 0.44 0.418258 0.417722
308 0 1 28 71 81 0.394366 0.369221 0.368421
309 0 1 30 72 82 0.416667 0.390434 0.38961
310 0 1 33 71 85 0.464789 0.424791 0.423077
311 0 1 31 72 82 0.430556 0.403449 0.402597
312 0 1 30 69 84 0.434783 0.394055 0.392157
313 0 1 33 75 82 0.44 0.420801 0.420382
314 0 1 29 70 85 0.414286 0.375958 0.374194
315 0 1 31 72 81 0.430556 0.405932 0.405229
316 0 1 28 72 87 0.388889 0.353779 0.352201
317 0 1 26 70 76 0.371429 0.356466 0.356164
318 0 1 30 71 83 0.422535 0.390799 0.38961
319 0 1 33 73 78 0.452055 0.437326 0.437086
320 0 1 26 77 78 0.337662 0.335491 0.335484
321 0 1 30 71 80 0.422535 0.398059 0.397351
