========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          44.063      45.320      10.324      19.722      67.606         782
Total Init                      5002.741    5002.741       0.000    5002.741    5002.741           1
Pipeline                         188.518     187.118      35.036     130.969     750.142         798
SuperPoint Extract               129.101     134.686      30.558      66.744     719.497         798
KAZE Extract                     124.642     123.518      14.147      97.657     178.962         798
SIFT Extract                      35.466      32.607      11.224      22.695     106.239         798
Correlation                        5.652       5.941       1.721       1.741      14.186         782
AKAZE Extract                     26.148      25.560       5.331      17.420      46.811         798
BRISK Extract                     49.024      49.338       9.079      23.566      73.547         798
ORB Extract                        8.300       8.150       1.121       5.742      12.154         798

========== 02 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          44.435      45.763      10.682      19.919      73.407         782
Total Init                      4825.124    4825.124       0.000    4825.124    4825.124           1
Pipeline                         186.739     183.543      31.474     125.590     370.554         798
SuperPoint Extract               125.824     131.153      26.246      64.627     303.279         798
KAZE Extract                     122.072     120.789      15.805      96.407     188.122         798
SIFT Extract                      35.804      31.310      11.558      23.258      92.762         798
Correlation                        5.624       5.749       1.752       1.528      11.817         782
AKAZE Extract                     26.691      25.940       5.506      17.262      46.690         798
BRISK Extract                     49.495      49.721       9.225      22.531      75.191         798
ORB Extract                        8.430       8.305       1.164       5.578      15.508         798

========== 03 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          43.197      44.053      10.469      18.745      75.635         782
Total Init                      4684.889    4684.889       0.000    4684.889    4684.889           1
Pipeline                         187.249     183.781      28.493     132.634     377.669         798
SuperPoint Extract               126.905     130.809      25.491      74.834     291.605         798
KAZE Extract                     127.680     128.321      12.480      96.559     186.635         798
SIFT Extract                      37.203      34.279      11.564      22.600     122.801         798
Correlation                        5.545       5.661       1.702       1.853      10.859         782
AKAZE Extract                     26.367      25.434       5.384      17.495      48.150         798
BRISK Extract                     49.313      49.957       8.985      24.570      73.104         798
ORB Extract                        8.032       7.903       1.213       5.021      17.172         798

========== 04 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          43.660      44.231      10.332      18.737      71.213         782
Total Init                      4717.147    4717.147       0.000    4717.147    4717.147           1
Pipeline                         187.400     185.915      26.469     129.336     387.059         798
SuperPoint Extract               127.882     134.117      23.275      75.642     291.422         798
KAZE Extract                     126.291     126.291      12.846      98.637     181.071         798
SIFT Extract                      35.542      33.435      10.237      22.714     100.804         798
Correlation                        5.693       5.923       1.685       1.716      10.603         782
AKAZE Extract                     25.912      25.025       5.228      16.969      51.481         798
BRISK Extract                     49.111      49.206       9.102      22.168      74.887         798
ORB Extract                        8.248       8.137       1.114       5.410      12.841         798

========== 05 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          44.369      45.801      10.935      19.827      75.396         782
Total Init                      4642.160    4642.160       0.000    4642.160    4642.160           1
Pipeline                         188.570     186.598      26.209     128.139     380.854         798
SuperPoint Extract               131.228     136.077      22.006      76.261     296.964         798
KAZE Extract                     124.271     123.554      11.751      99.947     166.942         798
SIFT Extract                      33.720      30.874       9.086      23.095      86.811         798
Correlation                        5.694       5.863       1.785       1.926      11.070         782
AKAZE Extract                     27.029      26.660       5.488      17.385      46.236         798
