========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          25.685      20.567      12.651       5.317      67.549        3680
Total Init                       419.774     419.774       0.000     419.774     419.774           1
Pipeline                         154.543     143.994      30.169     100.205     421.044        3682
SuperPoint Extract               116.002     110.504      26.444      59.166     413.605        3682
KAZE Extract                     109.838     110.587      12.581      82.954     191.292        3682
SIFT Extract                      32.530      29.019       9.825      21.481      88.533        3682
Correlation                        1.754       1.668       0.724       0.220       5.033        3680
AKAZE Extract                     25.587      24.221       5.969      15.691      50.811        3682
BRISK Extract                     81.057      80.521      18.004      20.255     135.207        3682
ORB Extract                        9.326       9.296       1.389       5.059      15.210        3682

========== 02 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          26.439      20.437      13.100       5.206      68.049        3680
Total Init                       356.972     356.972       0.000     356.972     356.972           1
Pipeline                         153.715     144.131      28.591     106.427     358.607        3682
SuperPoint Extract               111.817     107.390      25.453      57.889     286.624        3682
KAZE Extract                     112.479     111.497      10.792      86.969     201.668        3682
Correlation                        1.814       1.753       0.668       0.148       4.498        3680
AKAZE Extract                     24.960      23.429       5.837      15.556      60.557        3682
SIFT Extract                      30.569      28.021       8.098      21.234      95.089        3682
BRISK Extract                     80.550      79.868      18.118      20.945     134.947        3682
ORB Extract                        9.172       9.151       1.377       5.209      25.096        3682

========== 03 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          26.384      20.937      13.179       5.939      60.404        3680
Total Init                       353.246     353.246       0.000     353.246     353.246           1
Pipeline                         153.975     148.928      27.428     103.932     349.505        3682
SuperPoint Extract               112.337     108.672      25.792      55.632     276.989        3682
KAZE Extract                     110.409     109.625      11.324      85.516     180.582        3682
Correlation                        1.804       1.726       0.706       0.184       4.381        3680
AKAZE Extract                     24.566      23.478       5.553      15.539      52.483        3682
SIFT Extract                      30.973      28.206       8.300      20.328      85.871        3682
BRISK Extract                     79.660      78.873      17.758      20.237     131.854        3682
ORB Extract                        9.040       9.042       1.302       4.878      15.366        3682

========== 04 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          27.237      21.822      13.734       5.639      61.604        3680
Total Init                       360.370     360.370       0.000     360.370     360.370           1
Pipeline                         155.054     148.414      29.683     106.588     355.034        3682
SuperPoint Extract               113.311     108.514      26.922      58.929     281.196        3682
KAZE Extract                     110.635     109.473       9.412      86.007     187.534        3682
Correlation                        1.856       1.797       0.698       0.205       4.252        3680
AKAZE Extract                     24.106      22.067       5.732      15.654      52.928        3682
SIFT Extract                      29.289      27.471       6.534      20.204      85.452        3682
BRISK Extract                     79.755      79.328      17.659      22.013     129.286        3682
ORB Extract                        9.039       9.013       1.232       5.198      14.372        3682

========== 05 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          24.550      19.440      12.021       5.483      55.897        3680
Total Init                       355.005     355.005       0.000     355.005     355.005           1
Pipeline                         148.661     139.930      28.121      92.612     349.542        3682
SuperPoint Extract               111.029     106.546      24.983      59.156     282.295        3682
KAZE Extract                     108.480     107.905      11.007      81.643     181.905        3682
Correlation                        1.702       1.657       0.677       0.163       4.002        3680
AKAZE Extract                     24.707      23.088       5.816      15.575      47.047        3682
SIFT Extract                      30.735      27.608       8.664      21.086      86.129        3682
BRISK Extract                     79.531      78.619      17.586      21.017     128.134        3682
ORB Extract                        9.175       9.153       1.251       5.651      18.361        3682

========== 06 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          25.678      19.784      12.712       5.254      69.126        3680
Total Init                       355.819     355.819       0.000     355.819     355.819           1
Pipeline                         150.289     140.930      26.748      96.990     352.310        3682
SuperPoint Extract               108.400     104.124      24.058      55.522     274.497        3682
KAZE Extract                     110.314     111.164      11.059      83.629     198.028        3682
Correlation                        1.758       1.713       0.660       0.147       4.569        3680
AKAZE Extract                     24.049      22.498       5.527      15.738      47.304        3682
SIFT Extract                      31.416      28.571       9.004      21.366      86.741        3682
BRISK Extract                     78.891      77.996      17.352      20.322     130.353        3682
ORB Extract                        8.933       8.897       1.218       5.350      14.275        3682

========== 07 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          25.380      20.418      12.086       5.557      55.087        3680
Total Init                       338.980     338.980       0.000     338.980     338.980           1
Pipeline                         148.688     140.264      26.863      92.535     335.662        3682
SuperPoint Extract               109.275     105.303      23.873      53.842     278.793        3682
KAZE Extract                     107.010     107.085      11.283      80.629     209.443        3682
Correlation                        1.723       1.706       0.652       0.518       4.141        3680
AKAZE Extract                     24.217      22.475       5.801      14.925      54.378        3682
SIFT Extract                      30.964      27.721       8.927      20.970      91.356        3682
BRISK Extract                     78.537      77.987      17.405      20.738     130.456        3682
ORB Extract                        9.038       9.010       1.307       5.279      15.948        3682

========== 08 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          25.051      19.643      12.431       4.897      73.503        3680
Total Init                       338.116     338.116       0.000     338.116     338.116           1
Pipeline                         150.940     141.632      26.469     102.215     334.903        3682
SuperPoint Extract               109.508     104.924      25.652      59.061     254.232        3682
KAZE Extract                     110.882     110.561       9.528      83.097     177.922        3682
Correlation                        1.721       1.662       0.664       0.208       5.293        3680
AKAZE Extract                     23.449      21.735       5.346      15.409      49.099        3682
SIFT Extract                      29.786      27.884       7.037      21.065      89.247        3682
BRISK Extract                     78.163      77.239      17.481      19.735     129.871        3682
ORB Extract                        8.788       8.711       1.230       5.143      13.756        3682

========== 09 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          25.542      20.202      12.634       5.418      66.022        3680
Total Init                       348.102     348.102       0.000     348.102     348.102           1
Pipeline                         150.788     140.875      28.002      95.683     344.712        3682
SuperPoint Extract               110.699     105.847      25.309      54.615     277.974        3682
KAZE Extract                     107.621     108.351      12.557      77.618     198.730        3682
Correlation                        1.719       1.694       0.683       0.149       5.092        3680
AKAZE Extract                     24.486      23.203       5.808      15.100      50.546        3682
SIFT Extract                      31.522      28.475       9.369      20.639      88.657        3682
BRISK Extract                     78.547      77.990      17.413      20.365     131.204        3682
ORB Extract                        8.943       8.876       1.355       4.762      16.000        3682

========== 10 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          24.175      19.661      11.645       5.093      57.752        3680
Total Init                       339.684     339.684       0.000     339.684     339.684           1
Pipeline                         149.069     141.542      25.079      92.001     335.968        3682
SuperPoint Extract               107.605     103.024      24.048      58.942     261.562        3682
KAZE Extract                     110.759     111.453      11.025      81.617     197.442        3682
SIFT Extract                      32.154      29.462       9.458      21.100      88.770        3682
Correlation                        1.653       1.572       0.680       0.192       4.306        3680
AKAZE Extract                     24.568      23.332       5.760      15.223      48.490        3682
BRISK Extract                     78.655      78.294      17.233      19.814     130.580        3682
ORB Extract                        8.878       8.795       1.274       5.261      17.564        3682

========== 11 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          25.265      19.808      12.537       5.194      64.646        3680
Total Init                       342.701     342.701       0.000     342.701     342.701           1
Pipeline                         145.942     137.531      27.805      93.672     339.513        3682
SuperPoint Extract               108.886     105.336      23.578      53.516     269.890        3682
KAZE Extract                     102.285     100.128      12.216      79.322     192.662        3682
Correlation                        1.763       1.657       0.674       0.214       4.680        3680
AKAZE Extract                     25.246      23.913       5.895      15.855      51.197        3682
SIFT Extract                      33.211      29.237      10.129      20.442      93.740        3682
BRISK Extract                     79.315      79.948      17.344      19.508     130.691        3682
ORB Extract                        9.311       9.293       1.352       5.208      16.226        3682

========== 12 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          26.886      22.031      13.540       5.240      64.568        3680
Total Init                       334.583     334.583       0.000     334.583     334.583           1
Pipeline                         156.676     148.866      29.821     100.003     330.471        3682
SuperPoint Extract               114.256     109.429      29.053      58.832     277.387        3682
KAZE Extract                     111.626     111.057      10.265      89.464     205.090        3682
Correlation                        1.821       1.801       0.700       0.456       4.310        3680
AKAZE Extract                     24.063      22.493       5.431      15.052      54.100        3682
SIFT Extract                      31.024      29.303       7.593      20.088      89.540        3682
BRISK Extract                     79.505      79.919      17.620      20.176     141.091        3682
ORB Extract                        8.956       8.903       1.364       5.004      15.322        3682

========== 13 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          26.468      21.077      12.786       5.560      64.575        3680
Total Init                       343.276     343.276       0.000     343.276     343.276           1
