========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           5
Tracking                          30.006      27.988      15.964       3.807     553.649        7270
Reset Count                        1.000       1.000       0.000       1.000       1.000          10
Correlation                        0.454       0.387       0.367       0.006      13.065        7196
Total Init                     90483.985   90483.985       0.000   90483.985   90483.985           1
Pipeline                         429.580     425.622      60.437     173.094    1434.588        7513
SuperPoint Extract               389.247     384.619      55.924     165.500    1425.255        7513
BRISK Extract                     71.054      60.130      36.932       3.919     506.254        7513

========== 02 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           4
Tracking                          28.098      25.472      21.185       3.076     537.849        7273
Reset Count                        1.000       1.000       0.000       1.000       1.000           9
Correlation                        0.405       0.352       0.285       0.008       9.002        7200
Total Init                     97091.082   97091.082       0.000   97091.082   97091.082           1
Pipeline                         386.792     384.764      51.759     193.813    1063.555        7513
SuperPoint Extract               349.776     347.881      44.970     184.052    1036.792        7513
BRISK Extract                     64.755      54.786      33.622       4.798     202.536        7513

========== 03 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           3
Tracking                          23.640      21.364      13.543       2.585     200.114        7273
Reset Count                        1.000       1.000       0.000       1.000       1.000           8
Correlation                        0.367       0.309       0.343       0.005       7.925        7231
Total Init                     87555.978   87555.978       0.000   87555.978   87555.978           1
Pipeline                         384.653     382.305      48.500     174.584     815.839        7513
SuperPoint Extract               352.080     349.774      43.970     167.248     797.294        7513
BRISK Extract                     65.002      55.434      33.090       6.323     220.850        7513

========== 04 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           5
Tracking                          21.797      19.456      14.757       3.247     276.051        7279
Reset Count                        1.000       1.000       0.000       1.000       1.000           6
Correlation                        0.320       0.277       0.214       0.004       4.872        7182
Total Init                     68151.589   68151.589       0.000   68151.589   68151.589           1
Pipeline                         312.964     310.241      45.260     117.319    1127.092        7513
SuperPoint Extract               285.563     282.995      41.646     115.375    1117.824        7513
BRISK Extract                     50.007      42.273      26.646       3.325     174.233        7513

========== 13 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           4
Tracking                          19.088      17.552      10.162       2.064     230.215        7269
Reset Count                        1.000       1.000       0.000       1.000       1.000          11
Correlation                        0.292       0.252       0.202       0.006       4.624        7208
Total Init                     65978.847   65978.847       0.000   65978.847   65978.847           1
Pipeline                         283.406     280.876      40.038     100.933    1068.533        7513
SuperPoint Extract               258.819     256.174      36.182      97.636     602.095        7513
BRISK Extract                     45.656      37.860      24.778       3.732     155.807        7513

========== 14 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           9
Tracking                          21.389      18.259      16.436       3.823     278.112        6643
Reset Count                        1.000       1.000       0.000       1.000       1.000          14
Correlation                        0.285       0.247       0.193       0.006       6.067        6503
Total Init                     64510.905   64510.905       0.000   64510.905   64510.905           1
Pipeline                         287.286     284.793      43.269     105.282     676.042        7513
SuperPoint Extract               259.984     257.373      38.085     104.021     461.144        7513
BRISK Extract                     45.985      38.006      25.284       2.929     151.849        7513

========== 15 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           5
Tracking                          19.459      17.643      10.931       2.788     179.366        7272
Reset Count                        1.000       1.000       0.000       1.000       1.000           8
Correlation                        0.294       0.254       0.230       0.003       8.597        7193
Total Init                     66855.549   66855.549       0.000   66855.549   66855.549           1
Pipeline                         284.343     281.937      40.279     121.488     526.320        7513
SuperPoint Extract               259.481     256.626      37.378     111.991     446.686        7513
BRISK Extract                     45.860      37.902      24.897       3.564     155.870        7513

========== 20 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Lost Count                         1.000       1.000       0.000       1.000       1.000           4
Tracking                          15.094      14.140       8.604       1.804     213.478        7256
Reset Count                        1.000       1.000       0.000       1.000       1.000          17
Correlation                        0.224       0.206       0.113       0.003       1.916        7163
Total Init                     54245.831   54245.831       0.000   54245.831   54245.831           1
Pipeline                         230.644     229.113      33.390      91.668     454.289        7513
SuperPoint Extract               211.725     209.978      30.960      87.825     361.586        7513
BRISK Extract                     36.934      29.908      20.271       2.878     128.742        7513

