,AKZ+BSK,AKZ+KAZ,AKZ+SFT,AKZ+SPP,BSK+KAZ,BSK+SFT,BSK+SPP,KAZ+SFT,KAZ+SPP,ORB+AKZ,ORB+BSK,ORB+KAZ,ORB+SFT,ORB+SPP,SFT+SPP
fr1,none,both,one,both,both,both,both,both,both,both,both,both,both,both,none
fr2,none,both,both,both,both,both,both,both,both,both,both,both,both,both,none
fr3,both,one,one,NA,both,both,NA,both,NA,both,NA,one,NA,NA,NA
kt00,none,both,none,one,both,one,both,one,both,none,one,both,none,one,none
kt01,one,both,none,both,both,both,both,both,both,both,both,both,one,both,one
kt04,none,one,none,none,one,one,none,one,one,none,none,one,none,none,none
kt07,none,both,one,both,one,both,one,both,both,one,both,both,none,one,none
mh01,none,both,both,both,both,both,both,both,both,both,both,both,both,both,none
mh03,one,both,both,both,one,both,both,both,both,both,one,both,one,both,none
mh05,none,both,none,one,one,one,one,both,one,both,one,both,none,one,one
oxf,none,one,none,none,one,one,one,one,none,none,one,one,none,none,none
