=== FBow ===
Load=0.01345s, Transform mean=1.42712ms, rmse=1.43225ms, Score mean=0.216962ms, rmse=0.22071ms
Load=0.011818s, Transform mean=1.40825ms, rmse=1.41326ms, Score mean=0.213553ms, rmse=0.217269ms
Load=0.010552s, Transform mean=1.39561ms, rmse=1.39997ms, Score mean=0.217723ms, rmse=0.221641ms
Load=0.010555s, Transform mean=1.42716ms, rmse=1.43305ms, Score mean=0.219241ms, rmse=0.222988ms
Load=0.010899s, Transform mean=1.44014ms, rmse=1.44646ms, Score mean=0.217814ms, rmse=0.22149ms
Load=0.01029s, Transform mean=1.40796ms, rmse=1.41379ms, Score mean=0.214113ms, rmse=0.218001ms
Load=0.010995s, Transform mean=1.42816ms, rmse=1.43365ms, Score mean=0.215779ms, rmse=0.219725ms
Load=0.01145s, Transform mean=1.46381ms, rmse=1.47055ms, Score mean=0.218436ms, rmse=0.222267ms
Load=0.010902s, Transform mean=1.41893ms, rmse=1.42386ms, Score mean=0.214294ms, rmse=0.217873ms
Load=0.011357s, Transform mean=1.42151ms, rmse=1.42793ms, Score mean=0.213864ms, rmse=0.217795ms
Load=0.010724s, Transform mean=1.39357ms, rmse=1.39942ms, Score mean=0.212481ms, rmse=0.216293ms
Load=0.011042s, Transform mean=1.40217ms, rmse=1.40741ms, Score mean=0.21484ms, rmse=0.218747ms
Load=0.011019s, Transform mean=1.43431ms, rmse=1.43946ms, Score mean=0.21751ms, rmse=0.221311ms
Load=0.01232s, Transform mean=1.41516ms, rmse=1.42202ms, Score mean=0.215001ms, rmse=0.218765ms
Load=0.010885s, Transform mean=1.39287ms, rmse=1.39792ms, Score mean=0.21536ms, rmse=0.21917ms
Load=0.011329s, Transform mean=1.4344ms, rmse=1.43861ms, Score mean=0.217132ms, rmse=0.220973ms
Load=0.01591s, Transform mean=1.39635ms, rmse=1.40477ms, Score mean=0.222246ms, rmse=0.226573ms
Load=0.012127s, Transform mean=1.45682ms, rmse=1.46256ms, Score mean=0.230359ms, rmse=0.234311ms
Load=0.012966s, Transform mean=1.40854ms, rmse=1.41415ms, Score mean=0.217967ms, rmse=0.221577ms
Load=0.011122s, Transform mean=1.39114ms, rmse=1.39878ms, Score mean=0.211434ms, rmse=0.215277ms

=== DBoW2 ===

Load=0.13155s, Transform mean=4.16999ms, rmse=4.17852ms, Score mean=0.144425ms, rmse=0.147328ms
Load=0.062207s, Transform mean=4.1763ms, rmse=4.19017ms, Score mean=0.143682ms, rmse=0.146623ms
Load=0.092657s, Transform mean=4.15074ms, rmse=4.16491ms, Score mean=0.14242ms, rmse=0.145229ms
Load=0.126655s, Transform mean=4.15471ms, rmse=4.17393ms, Score mean=0.142765ms, rmse=0.145745ms
Load=0.120069s, Transform mean=4.20362ms, rmse=4.21762ms, Score mean=0.145664ms, rmse=0.148679ms
Load=0.124264s, Transform mean=4.14767ms, rmse=4.16373ms, Score mean=0.142394ms, rmse=0.145105ms
Load=0.107805s, Transform mean=4.09793ms, rmse=4.11243ms, Score mean=0.142316ms, rmse=0.145103ms
Load=0.133721s, Transform mean=4.12409ms, rmse=4.14116ms, Score mean=0.14294ms, rmse=0.1458ms
Load=0.103612s, Transform mean=4.0724ms, rmse=4.10324ms, Score mean=0.140668ms, rmse=0.143471ms
Load=0.126682s, Transform mean=4.10067ms, rmse=4.10713ms, Score mean=0.142248ms, rmse=0.145188ms
Load=0.06918s, Transform mean=4.21382ms, rmse=4.22418ms, Score mean=0.146849ms, rmse=0.14976ms
Load=0.066674s, Transform mean=4.11779ms, rmse=4.13009ms, Score mean=0.143836ms, rmse=0.146721ms
Load=0.071035s, Transform mean=4.21174ms, rmse=4.23081ms, Score mean=0.144163ms, rmse=0.147771ms
Load=0.061979s, Transform mean=4.23152ms, rmse=4.24915ms, Score mean=0.145345ms, rmse=0.148374ms
Load=0.119797s, Transform mean=4.15774ms, rmse=4.16422ms, Score mean=0.144691ms, rmse=0.147429ms
Load=0.061341s, Transform mean=4.12503ms, rmse=4.14196ms, Score mean=0.142423ms, rmse=0.145251ms
Load=0.064935s, Transform mean=4.14634ms, rmse=4.15833ms, Score mean=0.142066ms, rmse=0.14479ms
Load=0.059408s, Transform mean=4.10751ms, rmse=4.12066ms, Score mean=0.142772ms, rmse=0.145677ms
Load=0.121507s, Transform mean=4.11157ms, rmse=4.12142ms, Score mean=0.143171ms, rmse=0.145914ms
